"hospital_code","hospital_name","date","attendances","within_4_hours","over_4_hours"
"C313H","Inverclyde Royal Hospital - Type 1",2011-02-28,2568,2440,128
"C418H","Royal Alexandra Hospital - Type 1",2011-02-28,5433,4874,559
"F704H","Victoria Hospital (NHS Fife) - Type 1",2011-02-28,2932,2719,213
"F708H","Adamson Hospital",2011-02-28,85,85,0
"F709H","St Andrews Community Hospital",2011-02-28,349,349,0
"F805H","Queen Margaret Hospital - Type 1",2011-02-28,2934,2695,239
"G107H","Glasgow Royal Infirmary - Type 1",2011-02-28,5543,4961,582
"G207H","Stobhill Hospital - Type 1",2011-02-28,3214,3121,93
"G306H","Victoria Infirmary - Type 1",2011-02-28,4735,4288,447
"G306H","New Victoria Hospital",2011-02-28,1184,1184,0
"G405H","Southern General Hospital - Type 1",2011-02-28,3440,3277,163
"G513H","Royal Hospital For Children Glasgow - Type 1",2011-02-28,3520,3424,96
"G516H","Western Infirmary/Gartnavel General - Type 1",2011-02-28,4488,3677,811
"H101H","Dunbar Hospital",2011-02-28,168,168,0
"H103H","Caithness General Hospital - Type 1",2011-02-28,398,395,3
"H106H","Lawson Memorial Hospital",2011-02-28,38,38,0
"H202H","Raigmore Hospital - Type 1",2011-02-28,2202,2157,45
"H208H","Nairn Town And County Hospital",2011-02-28,248,248,0
"H210H","Ian Charles Community Hospital",2011-02-28,57,57,0
"H212H","Belford Hospital - Type 1",2011-02-28,619,606,13
"H214H","Dr Mackinnon Memorial Hospital",2011-02-28,299,299,0
"H215H","Portree Community Hospital",2011-02-28,193,193,0
"H217H","Ross Memorial Hospital",2011-02-28,119,119,0
"H219H","County Community Hospital",2011-02-28,126,126,0
"H224H","Mid Argyll Community Hospital And Integrated Care Centre",2011-02-28,227,225,2
"H227B","Aviemore Health Centre",2011-02-28,185,185,0
"L106H","University Hospital Monklands - Type 1",2011-02-28,4994,4729,265
"L206H","Kello Hospital",2011-02-28,43,43,0
"L207H","Lady Home Hospital",2011-02-28,66,66,0
"L302H","University Hospital Hairmyres - Type 1",2011-02-28,4255,4039,216
"L308H","University Hospital Wishaw - Type 1",2011-02-28,4970,4701,269
"N101H","Aberdeen Royal Infirmary - Type 1",2011-02-28,4678,4545,133
"N121H","Royal Aberdeen Children's Hospital - Type 1",2011-02-28,1308,1301,7
"N151H","Aboyne Hospital",2011-02-28,62,62,0
"N331H","Inverurie Hospital",2011-02-28,20,20,0
"N332H","Insch War Memorial Hospital",2011-02-28,45,45,0
"N333H","Peterhead Community Hospital",2011-02-28,924,920,4
"N334H","Fraserburgh Hospital",2011-02-28,633,633,0
"N335H","Jubilee Hospital",2011-02-28,261,260,1
"N336H","Turriff Hospital",2011-02-28,147,147,0
"N337H","Chalmers Hospital",2011-02-28,236,236,0
"N411H","Dr Gray's Hospital - Type 1",2011-02-28,1720,1673,47
"N431H","Seafield Hospital",2011-02-28,78,78,0
"N432H","Stephen Hospital",2011-02-28,39,39,0
"N433H","Turner Memorial Hospital",2011-02-28,50,50,0
"N434H","Leanchoil Hospital",2011-02-28,33,33,0
"N451H","Fleming Hospital",2011-02-28,26,26,0
"N494H","Kincardine Community Hospital",2011-02-28,64,64,0
"R103H","Balfour Hospital - Type 3",2011-02-28,163,162,1
"S102H","Belhaven Hospital",2011-02-28,9,9,0
"S108H","Edington Cottage Hospital",2011-02-28,113,113,0
"S116H","Western General Hospital",2011-02-28,2852,2797,55
"S308H","St John's Hospital - Type 1",2011-02-28,3767,3644,123
"S314H","Royal Infirmary Of Edinburgh - Type 1",2011-02-28,8322,8030,292
"S319H","Royal Hospital for Children and Young People Edinburgh - Type 1",2011-02-28,3260,3203,57
"T101H","Ninewells Hospital - Type 1",2011-02-28,3493,3454,39
"T202H","Perth Royal Infirmary - Type 1",2011-02-28,1788,1779,9
"T205H","St Margaret's Hospital",2011-02-28,26,26,0
"T207H","Aberfeldy Community Hospital",2011-02-28,8,8,0
"T209H","Blairgowrie Community Hospital",2011-02-28,221,221,0
"T304H","Arbroath Infirmary",2011-02-28,981,980,1
"T305H","Brechin Infirmary",2011-02-28,264,262,2
"T316H","Crieff Community Hospital",2011-02-28,156,156,0
"T319H","Whitehills Health And Community Care Centre",2011-02-28,530,530,0
"T320H","Pitlochry Community Hospital",2011-02-28,85,85,0
"T357C","Links Health Centre",2011-02-28,591,591,0
"V102H","Falkirk Community Hospital",2011-02-28,1182,1182,0
"V201H","Stirling Royal Infirmary - Type 1",2011-02-28,4175,3764,411
"W106H","St Brendan's Hospital",2011-02-28,45,43,2
"W107H","Western Isles Hospital - Type 1",2011-02-28,455,436,19
"W108H","Uist & Barra Hospital",2011-02-28,72,72,0
"Y101H","Castle Douglas Hospital",2011-02-28,26,26,0
"Y106H","Kirkcudbright Hospital",2011-02-28,53,53,0
"Y109H","Moffat Hospital",2011-02-28,5,5,0
"Y110H","Newton Stewart Hospital",2011-02-28,29,29,0
"Y144H","Galloway Community Hospital - Type 1",2011-02-28,885,866,19
"Y146H","Dumfries & Galloway Royal Infirmary - Type 1",2011-02-28,2562,2421,141
"Z102H","Gilbert Bain Hospital - Type 1",2011-02-28,602,600,2
"A101H","Arran War Memorial Hospital",2011-03-31,232,232,0
"A110H","Lady Margaret Hospital",2011-03-31,33,33,0
"A111H","University Hospital Crosshouse - Type 1",2011-03-31,6002,5824,178
"A210H","University Hospital Ayr - Type 1",2011-03-31,3670,3478,192
"A216H","Girvan Community Hospital",2011-03-31,101,101,0
"B103H","Knoll Community Hospital",2011-03-31,15,15,0
"B105H","Hawick Community  Hospital",2011-03-31,91,91,0
"B114H","Kelso Community Hospital",2011-03-31,29,29,0
"B118H","Hay Lodge Hospital",2011-03-31,89,89,0
"B120H","Borders General Hospital - Type 1",2011-03-31,2051,1981,70
"C106H","Cowal Community Hospital",2011-03-31,528,522,6
"C108H","Islay Hospital",2011-03-31,81,78,3
"C113H","Victoria Hospital (NHS Highland)",2011-03-31,290,286,4
"C117J","Dunaros Hospital",2011-03-31,49,47,2
"C121H","Lorn & Islands Hospital - Type 1",2011-03-31,455,451,4
"C122H","Campbeltown Hospital",2011-03-31,399,399,0
"C206H","Vale Of Leven District General Hospital",2011-03-31,1232,1207,25
"C313H","Inverclyde Royal Hospital - Type 1",2011-03-31,2825,2711,114
"C418H","Royal Alexandra Hospital - Type 1",2011-03-31,6410,5947,463
"F704H","Victoria Hospital (NHS Fife) - Type 1",2011-03-31,2822,2750,72
"F708H","Adamson Hospital",2011-03-31,117,117,0
"F709H","St Andrews Community Hospital",2011-03-31,416,416,0
"F805H","Queen Margaret Hospital - Type 1",2011-03-31,4159,3738,421
"G107H","Glasgow Royal Infirmary - Type 1",2011-03-31,7118,6405,713
"G207H","Stobhill Hospital - Type 1",2011-03-31,1697,1681,16
"G207H","New Stobhill Hospital",2011-03-31,692,692,0
"G306H","Victoria Infirmary - Type 1",2011-03-31,5134,4808,326
"G306H","New Victoria Hospital",2011-03-31,1509,1509,0
"G405H","Southern General Hospital - Type 1",2011-03-31,4066,3937,129
"G513H","Royal Hospital For Children Glasgow - Type 1",2011-03-31,4453,4332,121
"G516H","Western Infirmary/Gartnavel General - Type 1",2011-03-31,4799,4174,625
"H101H","Dunbar Hospital",2011-03-31,173,172,1
"H103H","Caithness General Hospital - Type 1",2011-03-31,474,466,8
"H106H","Lawson Memorial Hospital",2011-03-31,38,38,0
"H202H","Raigmore Hospital - Type 1",2011-03-31,2586,2541,45
"H208H","Nairn Town And County Hospital",2011-03-31,340,339,1
"H210H","Ian Charles Community Hospital",2011-03-31,94,94,0
"H212H","Belford Hospital - Type 1",2011-03-31,629,615,14
"H214H","Dr Mackinnon Memorial Hospital",2011-03-31,330,330,0
"H215H","Portree Community Hospital",2011-03-31,190,190,0
"H217H","Ross Memorial Hospital",2011-03-31,141,141,0
"H219H","County Community Hospital",2011-03-31,173,172,1
"H224H","Mid Argyll Community Hospital And Integrated Care Centre",2011-03-31,254,251,3
"H227B","Aviemore Health Centre",2011-03-31,162,162,0
"L106H","University Hospital Monklands - Type 1",2011-03-31,5924,5482,442
"L206H","Kello Hospital",2011-03-31,54,54,0
"L207H","Lady Home Hospital",2011-03-31,113,113,0
"L302H","University Hospital Hairmyres - Type 1",2011-03-31,5042,4481,561
"L308H","University Hospital Wishaw - Type 1",2011-03-31,5650,5275,375
"N101H","Aberdeen Royal Infirmary - Type 1",2011-03-31,5192,5060,132
"N121H","Royal Aberdeen Children's Hospital - Type 1",2011-03-31,1804,1792,12
"N151H","Aboyne Hospital",2011-03-31,71,71,0
"N331H","Inverurie Hospital",2011-03-31,20,20,0
"N332H","Insch War Memorial Hospital",2011-03-31,56,56,0
"N333H","Peterhead Community Hospital",2011-03-31,1114,1110,4
"N334H","Fraserburgh Hospital",2011-03-31,766,766,0
"N335H","Jubilee Hospital",2011-03-31,289,289,0
"N336H","Turriff Hospital",2011-03-31,166,166,0
"N337H","Chalmers Hospital",2011-03-31,311,311,0
"N411H","Dr Gray's Hospital - Type 1",2011-03-31,1940,1848,92
"N431H","Seafield Hospital",2011-03-31,74,74,0
"N432H","Stephen Hospital",2011-03-31,36,36,0
"N433H","Turner Memorial Hospital",2011-03-31,131,131,0
"N434H","Leanchoil Hospital",2011-03-31,55,55,0
"N451H","Fleming Hospital",2011-03-31,27,27,0
"N494H","Kincardine Community Hospital",2011-03-31,98,98,0
"R103H","Balfour Hospital - Type 3",2011-03-31,252,251,1
"S102H","Belhaven Hospital",2011-03-31,7,7,0
"S108H","Edington Cottage Hospital",2011-03-31,130,130,0
"S116H","Western General Hospital",2011-03-31,3329,3261,68
"S308H","St John's Hospital - Type 1",2011-03-31,4394,4256,138
"S314H","Royal Infirmary Of Edinburgh - Type 1",2011-03-31,9475,9139,336
"S319H","Royal Hospital for Children and Young People Edinburgh - Type 1",2011-03-31,3910,3869,41
"T101H","Ninewells Hospital - Type 1",2011-03-31,4005,3930,75
"T202H","Perth Royal Infirmary - Type 1",2011-03-31,1990,1975,15
"T205H","St Margaret's Hospital",2011-03-31,24,24,0
"T207H","Aberfeldy Community Hospital",2011-03-31,16,16,0
"T209H","Blairgowrie Community Hospital",2011-03-31,227,227,0
"T304H","Arbroath Infirmary",2011-03-31,1069,1069,0
"T305H","Brechin Infirmary",2011-03-31,287,287,0
"T316H","Crieff Community Hospital",2011-03-31,210,208,2
"T319H","Whitehills Health And Community Care Centre",2011-03-31,543,543,0
"T320H","Pitlochry Community Hospital",2011-03-31,111,111,0
"T357C","Links Health Centre",2011-03-31,550,550,0
"V102H","Falkirk Community Hospital",2011-03-31,1416,1416,0
"V201H","Stirling Royal Infirmary - Type 1",2011-03-31,4808,4419,389
"W106H","St Brendan's Hospital",2011-03-31,56,56,0
"W107H","Western Isles Hospital - Type 1",2011-03-31,513,495,18
"W108H","Uist & Barra Hospital",2011-03-31,80,80,0
"Y101H","Castle Douglas Hospital",2011-03-31,43,43,0
"Y106H","Kirkcudbright Hospital",2011-03-31,72,72,0
"Y109H","Moffat Hospital",2011-03-31,10,10,0
"Y110H","Newton Stewart Hospital",2011-03-31,24,24,0
"Y144H","Galloway Community Hospital - Type 1",2011-03-31,889,860,29
"Y146H","Dumfries & Galloway Royal Infirmary - Type 1",2011-03-31,2784,2650,134
"Z102H","Gilbert Bain Hospital - Type 1",2011-03-31,685,684,1
"A101H","Arran War Memorial Hospital",2011-04-30,245,245,0
"A110H","Lady Margaret Hospital",2011-04-30,61,61,0
"A111H","University Hospital Crosshouse - Type 1",2011-04-30,6011,5850,161
"A210H","University Hospital Ayr - Type 1",2011-04-30,3813,3705,108
"A216H","Girvan Community Hospital",2011-04-30,103,103,0
"B103H","Knoll Community Hospital",2011-04-30,17,17,0
"B105H","Hawick Community  Hospital",2011-04-30,119,119,0
"B114H","Kelso Community Hospital",2011-04-30,23,23,0
"B118H","Hay Lodge Hospital",2011-04-30,70,70,0
"B120H","Borders General Hospital - Type 1",2011-04-30,2012,1982,30
"C106H","Cowal Community Hospital",2011-04-30,632,626,6
"C108H","Islay Hospital",2011-04-30,97,95,2
"C113H","Victoria Hospital (NHS Highland)",2011-04-30,379,376,3
"C117J","Dunaros Hospital",2011-04-30,71,69,2
"C121H","Lorn & Islands Hospital - Type 1",2011-04-30,582,578,4
"C122H","Campbeltown Hospital",2011-04-30,486,478,8
"C206H","Vale Of Leven District General Hospital",2011-04-30,1198,1183,15
"C313H","Inverclyde Royal Hospital - Type 1",2011-04-30,2981,2814,167
"C418H","Royal Alexandra Hospital - Type 1",2011-04-30,6296,5796,500
"F704H","Victoria Hospital (NHS Fife) - Type 1",2011-04-30,2991,2905,86
"F708H","Adamson Hospital",2011-04-30,107,107,0
"F709H","St Andrews Community Hospital",2011-04-30,443,443,0
"F805H","Queen Margaret Hospital - Type 1",2011-04-30,4397,3714,683
"G107H","Glasgow Royal Infirmary - Type 1",2011-04-30,7118,6770,348
"G207H","New Stobhill Hospital",2011-04-30,1271,1271,0
"G306H","Victoria Infirmary - Type 1",2011-04-30,5168,4810,358
"G306H","New Victoria Hospital",2011-04-30,1538,1538,0
"G405H","Southern General Hospital - Type 1",2011-04-30,4050,3972,78
"G513H","Royal Hospital For Children Glasgow - Type 1",2011-04-30,3933,3806,127
"G516H","Western Infirmary/Gartnavel General - Type 1",2011-04-30,4863,4493,370
"H101H","Dunbar Hospital",2011-04-30,195,194,1
"H103H","Caithness General Hospital - Type 1",2011-04-30,516,511,5
"H106H","Lawson Memorial Hospital",2011-04-30,45,45,0
"H202H","Raigmore Hospital - Type 1",2011-04-30,2773,2723,50
"H208H","Nairn Town And County Hospital",2011-04-30,340,340,0
"H210H","Ian Charles Community Hospital",2011-04-30,88,88,0
"H212H","Belford Hospital - Type 1",2011-04-30,776,761,15
"H214H","Dr Mackinnon Memorial Hospital",2011-04-30,406,406,0
"H215H","Portree Community Hospital",2011-04-30,293,293,0
"H217H","Ross Memorial Hospital",2011-04-30,142,142,0
"H219H","County Community Hospital",2011-04-30,148,147,1
"H224H","Mid Argyll Community Hospital And Integrated Care Centre",2011-04-30,320,318,2
"H227B","Aviemore Health Centre",2011-04-30,150,150,0
"L106H","University Hospital Monklands - Type 1",2011-04-30,5658,5225,433
"L206H","Kello Hospital",2011-04-30,54,54,0
"L207H","Lady Home Hospital",2011-04-30,91,91,0
"L302H","University Hospital Hairmyres - Type 1",2011-04-30,4910,4589,321
"L308H","University Hospital Wishaw - Type 1",2011-04-30,5578,5214,364
"N101H","Aberdeen Royal Infirmary - Type 1",2011-04-30,5325,5216,109
"N121H","Royal Aberdeen Children's Hospital - Type 1",2011-04-30,1708,1690,18
"N151H","Aboyne Hospital",2011-04-30,121,121,0
"N331H","Inverurie Hospital",2011-04-30,34,34,0
"N332H","Insch War Memorial Hospital",2011-04-30,60,60,0
"N333H","Peterhead Community Hospital",2011-04-30,1195,1190,5
"N334H","Fraserburgh Hospital",2011-04-30,778,778,0
"N335H","Jubilee Hospital",2011-04-30,288,286,2
"N336H","Turriff Hospital",2011-04-30,209,209,0
"N337H","Chalmers Hospital",2011-04-30,358,358,0
"N411H","Dr Gray's Hospital - Type 1",2011-04-30,2081,1984,97
"N431H","Seafield Hospital",2011-04-30,82,82,0
"N432H","Stephen Hospital",2011-04-30,37,37,0
"N433H","Turner Memorial Hospital",2011-04-30,88,88,0
"N434H","Leanchoil Hospital",2011-04-30,44,44,0
"N451H","Fleming Hospital",2011-04-30,23,23,0
"N494H","Kincardine Community Hospital",2011-04-30,98,98,0
"R103H","Balfour Hospital - Type 3",2011-04-30,262,260,2
"S102H","Belhaven Hospital",2011-04-30,20,20,0
"S108H","Edington Cottage Hospital",2011-04-30,150,150,0
"S116H","Western General Hospital",2011-04-30,3231,3133,98
"S308H","St John's Hospital - Type 1",2011-04-30,4419,4298,121
"S314H","Royal Infirmary Of Edinburgh - Type 1",2011-04-30,9187,8793,394
"S319H","Royal Hospital for Children and Young People Edinburgh - Type 1",2011-04-30,3527,3507,20
"T101H","Ninewells Hospital - Type 1",2011-04-30,4302,4196,106
"T202H","Perth Royal Infirmary - Type 1",2011-04-30,2232,2208,24
"T205H","St Margaret's Hospital",2011-04-30,26,26,0
"T207H","Aberfeldy Community Hospital",2011-04-30,23,23,0
"T209H","Blairgowrie Community Hospital",2011-04-30,321,321,0
"T304H","Arbroath Infirmary",2011-04-30,1400,1399,1
"T305H","Brechin Infirmary",2011-04-30,306,306,0
"T316H","Crieff Community Hospital",2011-04-30,232,232,0
"T319H","Whitehills Health And Community Care Centre",2011-04-30,750,749,1
"T320H","Pitlochry Community Hospital",2011-04-30,183,183,0
"T357C","Links Health Centre",2011-04-30,726,725,1
"V102H","Falkirk Community Hospital",2011-04-30,1462,1462,0
"V201H","Stirling Royal Infirmary - Type 1",2011-04-30,4892,4591,301
"W106H","St Brendan's Hospital",2011-04-30,49,49,0
"W107H","Western Isles Hospital - Type 1",2011-04-30,536,519,17
"W108H","Uist & Barra Hospital",2011-04-30,119,119,0
"Y101H","Castle Douglas Hospital",2011-04-30,51,51,0
"Y106H","Kirkcudbright Hospital",2011-04-30,84,84,0
"Y109H","Moffat Hospital",2011-04-30,7,7,0
"Y110H","Newton Stewart Hospital",2011-04-30,45,45,0
"Y144H","Galloway Community Hospital - Type 1",2011-04-30,1084,1057,27
"Y146H","Dumfries & Galloway Royal Infirmary - Type 1",2011-04-30,2878,2737,141
"Z102H","Gilbert Bain Hospital - Type 1",2011-04-30,729,726,3
"A101H","Arran War Memorial Hospital",2011-05-31,217,217,0
"A110H","Lady Margaret Hospital",2011-05-31,55,55,0
"A111H","University Hospital Crosshouse - Type 1",2011-05-31,6141,5932,209
"A210H","University Hospital Ayr - Type 1",2011-05-31,3977,3854,123
"A216H","Girvan Community Hospital",2011-05-31,101,101,0
"B103H","Knoll Community Hospital",2011-05-31,33,33,0
"B105H","Hawick Community  Hospital",2011-05-31,134,134,0
"B114H","Kelso Community Hospital",2011-05-31,29,29,0
"B118H","Hay Lodge Hospital",2011-05-31,83,83,0
"B120H","Borders General Hospital - Type 1",2011-05-31,2070,2018,52
"C106H","Cowal Community Hospital",2011-05-31,562,561,1
"C108H","Islay Hospital",2011-05-31,97,95,2
"C113H","Victoria Hospital (NHS Highland)",2011-05-31,352,345,7
"C117J","Dunaros Hospital",2011-05-31,96,93,3
"C121H","Lorn & Islands Hospital - Type 1",2011-05-31,532,525,7
"C122H","Campbeltown Hospital",2011-05-31,444,436,8
"C206H","Vale Of Leven District General Hospital",2011-05-31,1281,1268,13
"C313H","Inverclyde Royal Hospital - Type 1",2011-05-31,3069,2928,141
"C418H","Royal Alexandra Hospital - Type 1",2011-05-31,6392,5947,445
"F704H","Victoria Hospital (NHS Fife) - Type 1",2011-05-31,2886,2802,84
"F708H","Adamson Hospital",2011-05-31,126,126,0
"F709H","St Andrews Community Hospital",2011-05-31,451,451,0
"F805H","Queen Margaret Hospital - Type 1",2011-05-31,4497,4012,485
"G107H","Glasgow Royal Infirmary - Type 1",2011-05-31,7392,7053,339
"G207H","New Stobhill Hospital",2011-05-31,1372,1372,0
"G306H","Victoria Infirmary - Type 1",2011-05-31,5264,4974,290
"G306H","New Victoria Hospital",2011-05-31,1603,1603,0
"G405H","Southern General Hospital - Type 1",2011-05-31,4297,4083,214
"G513H","Royal Hospital For Children Glasgow - Type 1",2011-05-31,3795,3690,105
"G516H","Western Infirmary/Gartnavel General - Type 1",2011-05-31,5173,4735,438
"H101H","Dunbar Hospital",2011-05-31,213,212,1
"H103H","Caithness General Hospital - Type 1",2011-05-31,540,537,3
"H106H","Lawson Memorial Hospital",2011-05-31,33,32,1
"H202H","Raigmore Hospital - Type 1",2011-05-31,2878,2825,53
"H208H","Nairn Town And County Hospital",2011-05-31,319,319,0
"H210H","Ian Charles Community Hospital",2011-05-31,95,95,0
"H212H","Belford Hospital - Type 1",2011-05-31,895,878,17
"H214H","Dr Mackinnon Memorial Hospital",2011-05-31,386,386,0
"H215H","Portree Community Hospital",2011-05-31,252,252,0
"H217H","Ross Memorial Hospital",2011-05-31,182,182,0
"H219H","County Community Hospital",2011-05-31,183,183,0
"H224H","Mid Argyll Community Hospital And Integrated Care Centre",2011-05-31,306,306,0
"H227B","Aviemore Health Centre",2011-05-31,196,196,0
"L106H","University Hospital Monklands - Type 1",2011-05-31,5916,5463,453
"L206H","Kello Hospital",2011-05-31,49,49,0
"L207H","Lady Home Hospital",2011-05-31,112,112,0
"L302H","University Hospital Hairmyres - Type 1",2011-05-31,5101,4550,551
"L308H","University Hospital Wishaw - Type 1",2011-05-31,5611,5323,288
"N101H","Aberdeen Royal Infirmary - Type 1",2011-05-31,5699,5575,124
"N121H","Royal Aberdeen Children's Hospital - Type 1",2011-05-31,1713,1701,12
"N151H","Aboyne Hospital",2011-05-31,106,106,0
"N331H","Inverurie Hospital",2011-05-31,35,35,0
"N332H","Insch War Memorial Hospital",2011-05-31,51,51,0
"N333H","Peterhead Community Hospital",2011-05-31,1172,1170,2
"N334H","Fraserburgh Hospital",2011-05-31,807,807,0
"N335H","Jubilee Hospital",2011-05-31,298,298,0
"N336H","Turriff Hospital",2011-05-31,186,186,0
"N337H","Chalmers Hospital",2011-05-31,399,399,0
"N411H","Dr Gray's Hospital - Type 1",2011-05-31,2175,2073,102
"N431H","Seafield Hospital",2011-05-31,93,93,0
"N432H","Stephen Hospital",2011-05-31,43,43,0
"N433H","Turner Memorial Hospital",2011-05-31,64,64,0
"N434H","Leanchoil Hospital",2011-05-31,41,41,0
"N451H","Fleming Hospital",2011-05-31,30,30,0
"N494H","Kincardine Community Hospital",2011-05-31,131,131,0
"R103H","Balfour Hospital - Type 3",2011-05-31,301,301,0
"S102H","Belhaven Hospital",2011-05-31,8,8,0
"S108H","Edington Cottage Hospital",2011-05-31,114,114,0
"S116H","Western General Hospital",2011-05-31,3331,3275,56
"S308H","St John's Hospital - Type 1",2011-05-31,4593,4444,149
"S314H","Royal Infirmary Of Edinburgh - Type 1",2011-05-31,9791,9411,380
"S319H","Royal Hospital for Children and Young People Edinburgh - Type 1",2011-05-31,3562,3546,16
"T101H","Ninewells Hospital - Type 1",2011-05-31,4500,4413,87
"T202H","Perth Royal Infirmary - Type 1",2011-05-31,2248,2228,20
"T205H","St Margaret's Hospital",2011-05-31,34,34,0
"T207H","Aberfeldy Community Hospital",2011-05-31,17,17,0
"T209H","Blairgowrie Community Hospital",2011-05-31,280,280,0
"T304H","Arbroath Infirmary",2011-05-31,1272,1271,1
"T305H","Brechin Infirmary",2011-05-31,322,322,0
"T316H","Crieff Community Hospital",2011-05-31,230,230,0
"T319H","Whitehills Health And Community Care Centre",2011-05-31,753,753,0
"T320H","Pitlochry Community Hospital",2011-05-31,174,174,0
"T357C","Links Health Centre",2011-05-31,655,655,0
"V102H","Falkirk Community Hospital",2011-05-31,1588,1588,0
"V201H","Stirling Royal Infirmary - Type 1",2011-05-31,5108,4764,344
"W106H","St Brendan's Hospital",2011-05-31,43,42,1
"W107H","Western Isles Hospital - Type 1",2011-05-31,553,541,12
"W108H","Uist & Barra Hospital",2011-05-31,122,122,0
"Y101H","Castle Douglas Hospital",2011-05-31,50,50,0
"Y106H","Kirkcudbright Hospital",2011-05-31,50,50,0
"Y109H","Moffat Hospital",2011-05-31,7,7,0
"Y110H","Newton Stewart Hospital",2011-05-31,39,39,0
"Y144H","Galloway Community Hospital - Type 1",2011-05-31,949,924,25
"Y146H","Dumfries & Galloway Royal Infirmary - Type 1",2011-05-31,2995,2847,148
"Z102H","Gilbert Bain Hospital - Type 1",2011-05-31,790,789,1
"A101H","Arran War Memorial Hospital",2011-06-30,260,260,0
"A110H","Lady Margaret Hospital",2011-06-30,44,44,0
"A111H","University Hospital Crosshouse - Type 1",2011-06-30,5984,5772,212
"A210H","University Hospital Ayr - Type 1",2011-06-30,3920,3734,186
"A216H","Girvan Community Hospital",2011-06-30,118,118,0
"B103H","Knoll Community Hospital",2011-06-30,20,20,0
"B105H","Hawick Community  Hospital",2011-06-30,131,131,0
"B114H","Kelso Community Hospital",2011-06-30,14,14,0
"B118H","Hay Lodge Hospital",2011-06-30,74,74,0
"B120H","Borders General Hospital - Type 1",2011-06-30,2041,2017,24
"C106H","Cowal Community Hospital",2011-06-30,610,607,3
"C108H","Islay Hospital",2011-06-30,114,112,2
"C113H","Victoria Hospital (NHS Highland)",2011-06-30,320,315,5
"C117J","Dunaros Hospital",2011-06-30,77,75,2
"C121H","Lorn & Islands Hospital - Type 1",2011-06-30,579,574,5
"C122H","Campbeltown Hospital",2011-06-30,410,402,8
"C206H","Vale Of Leven District General Hospital",2011-06-30,1229,1210,19
"C313H","Inverclyde Royal Hospital - Type 1",2011-06-30,2920,2822,98
"C418H","Royal Alexandra Hospital - Type 1",2011-06-30,6412,5887,525
"F704H","Victoria Hospital (NHS Fife) - Type 1",2011-06-30,2690,2648,42
"F708H","Adamson Hospital",2011-06-30,114,114,0
"F709H","St Andrews Community Hospital",2011-06-30,500,500,0
"F805H","Queen Margaret Hospital - Type 1",2011-06-30,4396,3890,506
"G107H","Glasgow Royal Infirmary - Type 1",2011-06-30,7022,6799,223
"G207H","New Stobhill Hospital",2011-06-30,1349,1349,0
"G306H","Victoria Infirmary - Type 1",2011-06-30,5183,4924,259
"G306H","New Victoria Hospital",2011-06-30,1512,1512,0
"G405H","Southern General Hospital - Type 1",2011-06-30,4006,3860,146
"G513H","Royal Hospital For Children Glasgow - Type 1",2011-06-30,3564,3470,94
"G516H","Western Infirmary/Gartnavel General - Type 1",2011-06-30,4793,4495,298
"H101H","Dunbar Hospital",2011-06-30,203,203,0
"H103H","Caithness General Hospital - Type 1",2011-06-30,565,558,7
"H106H","Lawson Memorial Hospital",2011-06-30,35,33,2
"H202H","Raigmore Hospital - Type 1",2011-06-30,2817,2748,69
"H208H","Nairn Town And County Hospital",2011-06-30,300,299,1
"H210H","Ian Charles Community Hospital",2011-06-30,109,109,0
"H212H","Belford Hospital - Type 1",2011-06-30,919,910,9
"H214H","Dr Mackinnon Memorial Hospital",2011-06-30,399,399,0
"H215H","Portree Community Hospital",2011-06-30,279,279,0
"H217H","Ross Memorial Hospital",2011-06-30,189,189,0
"H219H","County Community Hospital",2011-06-30,160,160,0
"H224H","Mid Argyll Community Hospital And Integrated Care Centre",2011-06-30,292,288,4
"H227B","Aviemore Health Centre",2011-06-30,147,147,0
"L106H","University Hospital Monklands - Type 1",2011-06-30,5774,5297,477
"L206H","Kello Hospital",2011-06-30,68,68,0
"L207H","Lady Home Hospital",2011-06-30,106,106,0
"L302H","University Hospital Hairmyres - Type 1",2011-06-30,4733,4334,399
"L308H","University Hospital Wishaw - Type 1",2011-06-30,5360,5056,304
"N101H","Aberdeen Royal Infirmary - Type 1",2011-06-30,5199,5078,121
"N121H","Royal Aberdeen Children's Hospital - Type 1",2011-06-30,1567,1562,5
"N151H","Aboyne Hospital",2011-06-30,28,28,0
"N331H","Inverurie Hospital",2011-06-30,29,29,0
"N332H","Insch War Memorial Hospital",2011-06-30,58,58,0
"N333H","Peterhead Community Hospital",2011-06-30,1046,1045,1
"N334H","Fraserburgh Hospital",2011-06-30,821,821,0
"N335H","Jubilee Hospital",2011-06-30,306,306,0
"N336H","Turriff Hospital",2011-06-30,186,186,0
"N337H","Chalmers Hospital",2011-06-30,381,381,0
"N411H","Dr Gray's Hospital - Type 1",2011-06-30,2041,1940,101
"N431H","Seafield Hospital",2011-06-30,83,83,0
"N432H","Stephen Hospital",2011-06-30,37,37,0
"N433H","Turner Memorial Hospital",2011-06-30,78,78,0
"N434H","Leanchoil Hospital",2011-06-30,51,51,0
"N451H","Fleming Hospital",2011-06-30,42,42,0
"N494H","Kincardine Community Hospital",2011-06-30,106,106,0
"R103H","Balfour Hospital - Type 3",2011-06-30,243,242,1
"S102H","Belhaven Hospital",2011-06-30,16,16,0
