"hb_code","date","age_group","delay_reason","num_delayed_bed_days","average_daily_delayed_beds"
"S92000003",2017-10-01,"75plus","Code 9 AWI",3723,120
"S92000003",2017-10-01,"75plus","Code 9 Non-AWI",1294,42
"S08000015",2017-11-01,"18plus","All Delay Reasons",3495,117
"S08000015",2017-11-01,"18plus","Health and Social Care Reasons",2810,94
"S08000015",2017-11-01,"18plus","Patient and Family Related Reasons",0,0
"S08000015",2017-11-01,"18plus","Code 9 AWI",479,16
"S08000015",2017-11-01,"18plus","Code 9 Non-AWI",206,7
"S08000015",2017-11-01,"18-74","All Delay Reasons",655,22
"S08000015",2017-11-01,"18-74","Health and Social Care Reasons",404,13
"S08000015",2017-11-01,"18-74","Patient and Family Related Reasons",0,0
"S08000015",2017-11-01,"18-74","Code 9 AWI",111,4
"S08000015",2017-11-01,"18-74","Code 9 Non-AWI",140,5
"S08000015",2017-11-01,"75plus","All Delay Reasons",2840,95
"S08000015",2017-11-01,"75plus","Health and Social Care Reasons",2406,80
"S08000015",2017-11-01,"75plus","Patient and Family Related Reasons",0,0
"S08000015",2017-11-01,"75plus","Code 9 AWI",368,12
"S08000015",2017-11-01,"75plus","Code 9 Non-AWI",66,2
"S08000016",2017-11-01,"18plus","All Delay Reasons",1405,47
"S08000016",2017-11-01,"18plus","Health and Social Care Reasons",954,32
"S08000016",2017-11-01,"18plus","Patient and Family Related Reasons",42,1
"S08000016",2017-11-01,"18plus","Code 9 AWI",394,13
"S08000016",2017-11-01,"18plus","Code 9 Non-AWI",15,1
"S08000016",2017-11-01,"18-74","All Delay Reasons",275,9
"S08000016",2017-11-01,"18-74","Health and Social Care Reasons",94,3
"S08000016",2017-11-01,"18-74","Patient and Family Related Reasons",30,1
"S08000016",2017-11-01,"18-74","Code 9 AWI",138,5
"S08000016",2017-11-01,"18-74","Code 9 Non-AWI",13,0
"S08000016",2017-11-01,"75plus","All Delay Reasons",1130,38
"S08000016",2017-11-01,"75plus","Health and Social Care Reasons",860,29
"S08000016",2017-11-01,"75plus","Patient and Family Related Reasons",12,0
"S08000016",2017-11-01,"75plus","Code 9 AWI",256,9
"S08000016",2017-11-01,"75plus","Code 9 Non-AWI",2,0
"S08000017",2017-11-01,"18plus","All Delay Reasons",1018,34
"S08000017",2017-11-01,"18plus","Health and Social Care Reasons",907,30
"S08000017",2017-11-01,"18plus","Patient and Family Related Reasons",30,1
"S08000017",2017-11-01,"18plus","Code 9 AWI",81,3
"S08000017",2017-11-01,"18plus","Code 9 Non-AWI",0,0
"S08000017",2017-11-01,"18-74","All Delay Reasons",257,9
"S08000017",2017-11-01,"18-74","Health and Social Care Reasons",257,9
"S08000017",2017-11-01,"18-74","Patient and Family Related Reasons",0,0
"S08000017",2017-11-01,"18-74","Code 9 AWI",0,0
"S08000017",2017-11-01,"18-74","Code 9 Non-AWI",0,0
"S08000017",2017-11-01,"75plus","All Delay Reasons",761,25
"S08000017",2017-11-01,"75plus","Health and Social Care Reasons",650,22
"S08000017",2017-11-01,"75plus","Patient and Family Related Reasons",30,1
"S08000017",2017-11-01,"75plus","Code 9 AWI",81,3
"S08000017",2017-11-01,"75plus","Code 9 Non-AWI",0,0
"S08000019",2017-11-01,"18plus","All Delay Reasons",2108,70
"S08000019",2017-11-01,"18plus","Health and Social Care Reasons",1400,47
"S08000019",2017-11-01,"18plus","Patient and Family Related Reasons",45,2
"S08000019",2017-11-01,"18plus","Code 9 AWI",543,18
"S08000019",2017-11-01,"18plus","Code 9 Non-AWI",120,4
"S08000019",2017-11-01,"18-74","All Delay Reasons",683,23
"S08000019",2017-11-01,"18-74","Health and Social Care Reasons",406,14
"S08000019",2017-11-01,"18-74","Patient and Family Related Reasons",8,0
"S08000019",2017-11-01,"18-74","Code 9 AWI",149,5
"S08000019",2017-11-01,"18-74","Code 9 Non-AWI",120,4
"S08000019",2017-11-01,"75plus","All Delay Reasons",1425,48
"S08000019",2017-11-01,"75plus","Health and Social Care Reasons",994,33
"S08000019",2017-11-01,"75plus","Patient and Family Related Reasons",37,1
"S08000019",2017-11-01,"75plus","Code 9 AWI",394,13
"S08000019",2017-11-01,"75plus","Code 9 Non-AWI",0,0
"S08000020",2017-11-01,"18plus","All Delay Reasons",3768,126
"S08000020",2017-11-01,"18plus","Health and Social Care Reasons",2991,100
"S08000020",2017-11-01,"18plus","Patient and Family Related Reasons",146,5
"S08000020",2017-11-01,"18plus","Code 9 AWI",571,19
"S08000020",2017-11-01,"18plus","Code 9 Non-AWI",60,2
"S08000020",2017-11-01,"18-74","All Delay Reasons",980,33
"S08000020",2017-11-01,"18-74","Health and Social Care Reasons",683,23
"S08000020",2017-11-01,"18-74","Patient and Family Related Reasons",60,2
"S08000020",2017-11-01,"18-74","Code 9 AWI",177,6
"S08000020",2017-11-01,"18-74","Code 9 Non-AWI",60,2
"S08000020",2017-11-01,"75plus","All Delay Reasons",2788,93
"S08000020",2017-11-01,"75plus","Health and Social Care Reasons",2308,77
"S08000020",2017-11-01,"75plus","Patient and Family Related Reasons",86,3
"S08000020",2017-11-01,"75plus","Code 9 AWI",394,13
"S08000020",2017-11-01,"75plus","Code 9 Non-AWI",0,0
"S08000022",2017-11-01,"18plus","All Delay Reasons",3415,114
"S08000022",2017-11-01,"18plus","Health and Social Care Reasons",2200,73
"S08000022",2017-11-01,"18plus","Patient and Family Related Reasons",53,2
"S08000022",2017-11-01,"18plus","Code 9 AWI",542,18
"S08000022",2017-11-01,"18plus","Code 9 Non-AWI",620,21
"S08000022",2017-11-01,"18-74","All Delay Reasons",694,23
"S08000022",2017-11-01,"18-74","Health and Social Care Reasons",429,14
"S08000022",2017-11-01,"18-74","Patient and Family Related Reasons",10,0
"S08000022",2017-11-01,"18-74","Code 9 AWI",125,4
"S08000022",2017-11-01,"18-74","Code 9 Non-AWI",130,4
"S08000022",2017-11-01,"75plus","All Delay Reasons",2721,91
"S08000022",2017-11-01,"75plus","Health and Social Care Reasons",1771,59
"S08000022",2017-11-01,"75plus","Patient and Family Related Reasons",43,1
"S08000022",2017-11-01,"75plus","Code 9 AWI",417,14
"S08000022",2017-11-01,"75plus","Code 9 Non-AWI",490,16
"S08000024",2017-11-01,"18plus","All Delay Reasons",9925,331
"S08000024",2017-11-01,"18plus","Health and Social Care Reasons",8598,287
"S08000024",2017-11-01,"18plus","Patient and Family Related Reasons",145,5
"S08000024",2017-11-01,"18plus","Code 9 AWI",765,26
"S08000024",2017-11-01,"18plus","Code 9 Non-AWI",417,14
"S08000024",2017-11-01,"18-74","All Delay Reasons",3012,100
"S08000024",2017-11-01,"18-74","Health and Social Care Reasons",2553,85
"S08000024",2017-11-01,"18-74","Patient and Family Related Reasons",27,1
"S08000024",2017-11-01,"18-74","Code 9 AWI",60,2
"S08000024",2017-11-01,"18-74","Code 9 Non-AWI",372,12
"S08000024",2017-11-01,"75plus","All Delay Reasons",6913,230
"S08000024",2017-11-01,"75plus","Health and Social Care Reasons",6045,202
"S08000024",2017-11-01,"75plus","Patient and Family Related Reasons",118,4
"S08000024",2017-11-01,"75plus","Code 9 AWI",705,24
"S08000024",2017-11-01,"75plus","Code 9 Non-AWI",45,2
"S08000025",2017-11-01,"18plus","All Delay Reasons",30,1
"S08000025",2017-11-01,"18plus","Health and Social Care Reasons",0,0
"S08000025",2017-11-01,"18plus","Patient and Family Related Reasons",0,0
"S08000025",2017-11-01,"18plus","Code 9 AWI",0,0
"S08000025",2017-11-01,"18plus","Code 9 Non-AWI",30,1
"S08000025",2017-11-01,"18-74","All Delay Reasons",30,1
"S08000025",2017-11-01,"18-74","Health and Social Care Reasons",0,0
"S08000025",2017-11-01,"18-74","Patient and Family Related Reasons",0,0
"S08000025",2017-11-01,"18-74","Code 9 AWI",0,0
"S08000025",2017-11-01,"18-74","Code 9 Non-AWI",30,1
"S08000025",2017-11-01,"75plus","All Delay Reasons",0,0
"S08000025",2017-11-01,"75plus","Health and Social Care Reasons",0,0
"S08000025",2017-11-01,"75plus","Patient and Family Related Reasons",0,0
"S08000025",2017-11-01,"75plus","Code 9 AWI",0,0
"S08000025",2017-11-01,"75plus","Code 9 Non-AWI",0,0
"S08000026",2017-11-01,"18plus","All Delay Reasons",116,4
"S08000026",2017-11-01,"18plus","Health and Social Care Reasons",74,2
"S08000026",2017-11-01,"18plus","Patient and Family Related Reasons",33,1
"S08000026",2017-11-01,"18plus","Code 9 AWI",0,0
"S08000026",2017-11-01,"18plus","Code 9 Non-AWI",9,0
"S08000026",2017-11-01,"18-74","All Delay Reasons",56,2
"S08000026",2017-11-01,"18-74","Health and Social Care Reasons",17,1
"S08000026",2017-11-01,"18-74","Patient and Family Related Reasons",30,1
"S08000026",2017-11-01,"18-74","Code 9 AWI",0,0
"S08000026",2017-11-01,"18-74","Code 9 Non-AWI",9,0
"S08000026",2017-11-01,"75plus","All Delay Reasons",60,2
"S08000026",2017-11-01,"75plus","Health and Social Care Reasons",57,2
"S08000026",2017-11-01,"75plus","Patient and Family Related Reasons",3,0
"S08000026",2017-11-01,"75plus","Code 9 AWI",0,0
"S08000026",2017-11-01,"75plus","Code 9 Non-AWI",0,0
"S08000028",2017-11-01,"18plus","All Delay Reasons",438,15
"S08000028",2017-11-01,"18plus","Health and Social Care Reasons",226,8
"S08000028",2017-11-01,"18plus","Patient and Family Related Reasons",0,0
"S08000028",2017-11-01,"18plus","Code 9 AWI",0,0
"S08000028",2017-11-01,"18plus","Code 9 Non-AWI",212,7
"S08000028",2017-11-01,"18-74","All Delay Reasons",30,1
"S08000028",2017-11-01,"18-74","Health and Social Care Reasons",30,1
"S08000028",2017-11-01,"18-74","Patient and Family Related Reasons",0,0
"S08000028",2017-11-01,"18-74","Code 9 AWI",0,0
"S08000028",2017-11-01,"18-74","Code 9 Non-AWI",0,0
"S08000028",2017-11-01,"75plus","All Delay Reasons",408,14
"S08000028",2017-11-01,"75plus","Health and Social Care Reasons",196,7
"S08000028",2017-11-01,"75plus","Patient and Family Related Reasons",0,0
"S08000028",2017-11-01,"75plus","Code 9 AWI",0,0
"S08000028",2017-11-01,"75plus","Code 9 Non-AWI",212,7
"S08000029",2017-11-01,"18plus","All Delay Reasons",1954,65
"S08000029",2017-11-01,"18plus","Health and Social Care Reasons",1423,47
"S08000029",2017-11-01,"18plus","Patient and Family Related Reasons",30,1
"S08000029",2017-11-01,"18plus","Code 9 AWI",463,15
"S08000029",2017-11-01,"18plus","Code 9 Non-AWI",38,1
"S08000029",2017-11-01,"18-74","All Delay Reasons",813,27
"S08000029",2017-11-01,"18-74","Health and Social Care Reasons",559,19
"S08000029",2017-11-01,"18-74","Patient and Family Related Reasons",1,0
"S08000029",2017-11-01,"18-74","Code 9 AWI",245,8
"S08000029",2017-11-01,"18-74","Code 9 Non-AWI",8,0
"S08000029",2017-11-01,"75plus","All Delay Reasons",1141,38
"S08000029",2017-11-01,"75plus","Health and Social Care Reasons",864,29
"S08000029",2017-11-01,"75plus","Patient and Family Related Reasons",29,1
"S08000029",2017-11-01,"75plus","Code 9 AWI",218,7
"S08000029",2017-11-01,"75plus","Code 9 Non-AWI",30,1
"S08000030",2017-11-01,"18plus","All Delay Reasons",2971,99
"S08000030",2017-11-01,"18plus","Health and Social Care Reasons",2014,67
"S08000030",2017-11-01,"18plus","Patient and Family Related Reasons",166,6
"S08000030",2017-11-01,"18plus","Code 9 AWI",290,10
"S08000030",2017-11-01,"18plus","Code 9 Non-AWI",501,17
"S08000030",2017-11-01,"18-74","All Delay Reasons",1194,40
"S08000030",2017-11-01,"18-74","Health and Social Care Reasons",624,21
"S08000030",2017-11-01,"18-74","Patient and Family Related Reasons",45,2
"S08000030",2017-11-01,"18-74","Code 9 AWI",52,2
"S08000030",2017-11-01,"18-74","Code 9 Non-AWI",473,16
"S08000030",2017-11-01,"75plus","All Delay Reasons",1777,59
"S08000030",2017-11-01,"75plus","Health and Social Care Reasons",1390,46
"S08000030",2017-11-01,"75plus","Patient and Family Related Reasons",121,4
"S08000030",2017-11-01,"75plus","Code 9 AWI",238,8
"S08000030",2017-11-01,"75plus","Code 9 Non-AWI",28,1
"S08000031",2017-11-01,"18plus","All Delay Reasons",5016,167
"S08000031",2017-11-01,"18plus","Health and Social Care Reasons",3499,117
"S08000031",2017-11-01,"18plus","Patient and Family Related Reasons",257,9
"S08000031",2017-11-01,"18plus","Code 9 AWI",648,22
"S08000031",2017-11-01,"18plus","Code 9 Non-AWI",612,20
"S08000031",2017-11-01,"18-74","All Delay Reasons",2303,77
"S08000031",2017-11-01,"18-74","Health and Social Care Reasons",1433,48
"S08000031",2017-11-01,"18-74","Patient and Family Related Reasons",33,1
"S08000031",2017-11-01,"18-74","Code 9 AWI",258,9
"S08000031",2017-11-01,"18-74","Code 9 Non-AWI",579,19
"S08000031",2017-11-01,"75plus","All Delay Reasons",2713,90
"S08000031",2017-11-01,"75plus","Health and Social Care Reasons",2066,69
"S08000031",2017-11-01,"75plus","Patient and Family Related Reasons",224,7
"S08000031",2017-11-01,"75plus","Code 9 AWI",390,13
"S08000031",2017-11-01,"75plus","Code 9 Non-AWI",33,1
"S08000032",2017-11-01,"18plus","All Delay Reasons",6661,222
"S08000032",2017-11-01,"18plus","Health and Social Care Reasons",5462,182
"S08000032",2017-11-01,"18plus","Patient and Family Related Reasons",385,13
"S08000032",2017-11-01,"18plus","Code 9 AWI",496,17
"S08000032",2017-11-01,"18plus","Code 9 Non-AWI",318,11
"S08000032",2017-11-01,"18-74","All Delay Reasons",1988,66
"S08000032",2017-11-01,"18-74","Health and Social Care Reasons",1413,47
"S08000032",2017-11-01,"18-74","Patient and Family Related Reasons",82,3
"S08000032",2017-11-01,"18-74","Code 9 AWI",257,9
"S08000032",2017-11-01,"18-74","Code 9 Non-AWI",236,8
"S08000032",2017-11-01,"75plus","All Delay Reasons",4673,156
"S08000032",2017-11-01,"75plus","Health and Social Care Reasons",4049,135
"S08000032",2017-11-01,"75plus","Patient and Family Related Reasons",303,10
"S08000032",2017-11-01,"75plus","Code 9 AWI",239,8
"S08000032",2017-11-01,"75plus","Code 9 Non-AWI",82,3
"S92000003",2017-11-01,"18plus","All Delay Reasons",42320,1411
"S92000003",2017-11-01,"18plus","Health and Social Care Reasons",32558,1085
"S92000003",2017-11-01,"18plus","Patient and Family Related Reasons",1332,44
"S92000003",2017-11-01,"18plus","Code 9 AWI",5272,176
"S92000003",2017-11-01,"18plus","Code 9 Non-AWI",3158,105
"S92000003",2017-11-01,"18-74","All Delay Reasons",12970,432
"S92000003",2017-11-01,"18-74","Health and Social Care Reasons",8902,297
"S92000003",2017-11-01,"18-74","Patient and Family Related Reasons",326,11
"S92000003",2017-11-01,"18-74","Code 9 AWI",1572,52
"S92000003",2017-11-01,"18-74","Code 9 Non-AWI",2170,72
"S92000003",2017-11-01,"75plus","All Delay Reasons",29350,978
"S92000003",2017-11-01,"75plus","Health and Social Care Reasons",23656,789
"S92000003",2017-11-01,"75plus","Patient and Family Related Reasons",1006,34
"S92000003",2017-11-01,"75plus","Code 9 AWI",3700,123
"S92000003",2017-11-01,"75plus","Code 9 Non-AWI",988,33
"S08000015",2017-12-01,"18plus","All Delay Reasons",3124,101
"S08000015",2017-12-01,"18plus","Health and Social Care Reasons",2578,83
"S08000015",2017-12-01,"18plus","Patient and Family Related Reasons",0,0
"S08000015",2017-12-01,"18plus","Code 9 AWI",393,13
"S08000015",2017-12-01,"18plus","Code 9 Non-AWI",153,5
"S08000015",2017-12-01,"18-74","All Delay Reasons",625,20
"S08000015",2017-12-01,"18-74","Health and Social Care Reasons",408,13
"S08000015",2017-12-01,"18-74","Patient and Family Related Reasons",0,0
"S08000015",2017-12-01,"18-74","Code 9 AWI",95,3
"S08000015",2017-12-01,"18-74","Code 9 Non-AWI",122,4
"S08000015",2017-12-01,"75plus","All Delay Reasons",2499,81
"S08000015",2017-12-01,"75plus","Health and Social Care Reasons",2170,70
"S08000015",2017-12-01,"75plus","Patient and Family Related Reasons",0,0
"S08000015",2017-12-01,"75plus","Code 9 AWI",298,10
"S08000015",2017-12-01,"75plus","Code 9 Non-AWI",31,1
"S08000016",2017-12-01,"18plus","All Delay Reasons",1405,45
"S08000016",2017-12-01,"18plus","Health and Social Care Reasons",1017,33
"S08000016",2017-12-01,"18plus","Patient and Family Related Reasons",74,2
"S08000016",2017-12-01,"18plus","Code 9 AWI",309,10
"S08000016",2017-12-01,"18plus","Code 9 Non-AWI",5,0
"S08000016",2017-12-01,"18-74","All Delay Reasons",314,10
"S08000016",2017-12-01,"18-74","Health and Social Care Reasons",161,5
"S08000016",2017-12-01,"18-74","Patient and Family Related Reasons",43,1
"S08000016",2017-12-01,"18-74","Code 9 AWI",105,3
"S08000016",2017-12-01,"18-74","Code 9 Non-AWI",5,0
"S08000016",2017-12-01,"75plus","All Delay Reasons",1091,35
"S08000016",2017-12-01,"75plus","Health and Social Care Reasons",856,28
"S08000016",2017-12-01,"75plus","Patient and Family Related Reasons",31,1
"S08000016",2017-12-01,"75plus","Code 9 AWI",204,7
"S08000016",2017-12-01,"75plus","Code 9 Non-AWI",0,0
"S08000017",2017-12-01,"18plus","All Delay Reasons",1143,37
"S08000017",2017-12-01,"18plus","Health and Social Care Reasons",1000,32
"S08000017",2017-12-01,"18plus","Patient and Family Related Reasons",33,1
"S08000017",2017-12-01,"18plus","Code 9 AWI",79,3
"S08000017",2017-12-01,"18plus","Code 9 Non-AWI",31,1
"S08000017",2017-12-01,"18-74","All Delay Reasons",328,11
"S08000017",2017-12-01,"18-74","Health and Social Care Reasons",310,10
"S08000017",2017-12-01,"18-74","Patient and Family Related Reasons",0,0
"S08000017",2017-12-01,"18-74","Code 9 AWI",0,0
"S08000017",2017-12-01,"18-74","Code 9 Non-AWI",18,1
"S08000017",2017-12-01,"75plus","All Delay Reasons",815,26
"S08000017",2017-12-01,"75plus","Health and Social Care Reasons",690,22
"S08000017",2017-12-01,"75plus","Patient and Family Related Reasons",33,1
"S08000017",2017-12-01,"75plus","Code 9 AWI",79,3
"S08000017",2017-12-01,"75plus","Code 9 Non-AWI",13,0
"S08000019",2017-12-01,"18plus","All Delay Reasons",2135,69
"S08000019",2017-12-01,"18plus","Health and Social Care Reasons",1385,45
"S08000019",2017-12-01,"18plus","Patient and Family Related Reasons",80,3
"S08000019",2017-12-01,"18plus","Code 9 AWI",509,16
"S08000019",2017-12-01,"18plus","Code 9 Non-AWI",161,5
"S08000019",2017-12-01,"18-74","All Delay Reasons",544,18
"S08000019",2017-12-01,"18-74","Health and Social Care Reasons",272,9
"S08000019",2017-12-01,"18-74","Patient and Family Related Reasons",0,0
"S08000019",2017-12-01,"18-74","Code 9 AWI",133,4
"S08000019",2017-12-01,"18-74","Code 9 Non-AWI",139,4
"S08000019",2017-12-01,"75plus","All Delay Reasons",1591,51
"S08000019",2017-12-01,"75plus","Health and Social Care Reasons",1113,36
"S08000019",2017-12-01,"75plus","Patient and Family Related Reasons",80,3
"S08000019",2017-12-01,"75plus","Code 9 AWI",376,12
"S08000019",2017-12-01,"75plus","Code 9 Non-AWI",22,1
"S08000020",2017-12-01,"18plus","All Delay Reasons",4433,143
"S08000020",2017-12-01,"18plus","Health and Social Care Reasons",3704,119
"S08000020",2017-12-01,"18plus","Patient and Family Related Reasons",85,3
"S08000020",2017-12-01,"18plus","Code 9 AWI",563,18
"S08000020",2017-12-01,"18plus","Code 9 Non-AWI",81,3
"S08000020",2017-12-01,"18-74","All Delay Reasons",1249,40
"S08000020",2017-12-01,"18-74","Health and Social Care Reasons",983,32
"S08000020",2017-12-01,"18-74","Patient and Family Related Reasons",49,2
"S08000020",2017-12-01,"18-74","Code 9 AWI",155,5
"S08000020",2017-12-01,"18-74","Code 9 Non-AWI",62,2
"S08000020",2017-12-01,"75plus","All Delay Reasons",3184,103
"S08000020",2017-12-01,"75plus","Health and Social Care Reasons",2721,88
"S08000020",2017-12-01,"75plus","Patient and Family Related Reasons",36,1
"S08000020",2017-12-01,"75plus","Code 9 AWI",408,13
"S08000020",2017-12-01,"75plus","Code 9 Non-AWI",19,1
"S08000022",2017-12-01,"18plus","All Delay Reasons",3674,119
"S08000022",2017-12-01,"18plus","Health and Social Care Reasons",2413,78
"S08000022",2017-12-01,"18plus","Patient and Family Related Reasons",255,8
"S08000022",2017-12-01,"18plus","Code 9 AWI",522,17
"S08000022",2017-12-01,"18plus","Code 9 Non-AWI",484,16
"S08000022",2017-12-01,"18-74","All Delay Reasons",593,19
"S08000022",2017-12-01,"18-74","Health and Social Care Reasons",372,12
"S08000022",2017-12-01,"18-74","Patient and Family Related Reasons",10,0
"S08000022",2017-12-01,"18-74","Code 9 AWI",129,4
"S08000022",2017-12-01,"18-74","Code 9 Non-AWI",82,3
"S08000022",2017-12-01,"75plus","All Delay Reasons",3081,99
"S08000022",2017-12-01,"75plus","Health and Social Care Reasons",2041,66
"S08000022",2017-12-01,"75plus","Patient and Family Related Reasons",245,8
"S08000022",2017-12-01,"75plus","Code 9 AWI",393,13
"S08000022",2017-12-01,"75plus","Code 9 Non-AWI",402,13
"S08000024",2017-12-01,"18plus","All Delay Reasons",9855,318
"S08000024",2017-12-01,"18plus","Health and Social Care Reasons",8512,275
"S08000024",2017-12-01,"18plus","Patient and Family Related Reasons",216,7
"S08000024",2017-12-01,"18plus","Code 9 AWI",761,25
"S08000024",2017-12-01,"18plus","Code 9 Non-AWI",366,12
"S08000024",2017-12-01,"18-74","All Delay Reasons",3084,99
"S08000024",2017-12-01,"18-74","Health and Social Care Reasons",2537,82
"S08000024",2017-12-01,"18-74","Patient and Family Related Reasons",87,3
"S08000024",2017-12-01,"18-74","Code 9 AWI",125,4
"S08000024",2017-12-01,"18-74","Code 9 Non-AWI",335,11
"S08000024",2017-12-01,"75plus","All Delay Reasons",6771,218
"S08000024",2017-12-01,"75plus","Health and Social Care Reasons",5975,193
"S08000024",2017-12-01,"75plus","Patient and Family Related Reasons",129,4
"S08000024",2017-12-01,"75plus","Code 9 AWI",636,21
"S08000024",2017-12-01,"75plus","Code 9 Non-AWI",31,1
"S08000025",2017-12-01,"18plus","All Delay Reasons",2,0
"S08000025",2017-12-01,"18plus","Health and Social Care Reasons",0,0
"S08000025",2017-12-01,"18plus","Patient and Family Related Reasons",0,0
"S08000025",2017-12-01,"18plus","Code 9 AWI",0,0
"S08000025",2017-12-01,"18plus","Code 9 Non-AWI",2,0
"S08000025",2017-12-01,"18-74","All Delay Reasons",2,0
"S08000025",2017-12-01,"18-74","Health and Social Care Reasons",0,0
"S08000025",2017-12-01,"18-74","Patient and Family Related Reasons",0,0
"S08000025",2017-12-01,"18-74","Code 9 AWI",0,0
"S08000025",2017-12-01,"18-74","Code 9 Non-AWI",2,0
"S08000025",2017-12-01,"75plus","All Delay Reasons",0,0
"S08000025",2017-12-01,"75plus","Health and Social Care Reasons",0,0
"S08000025",2017-12-01,"75plus","Patient and Family Related Reasons",0,0
"S08000025",2017-12-01,"75plus","Code 9 AWI",0,0
"S08000025",2017-12-01,"75plus","Code 9 Non-AWI",0,0
"S08000026",2017-12-01,"18plus","All Delay Reasons",96,3
"S08000026",2017-12-01,"18plus","Health and Social Care Reasons",89,3
"S08000026",2017-12-01,"18plus","Patient and Family Related Reasons",7,0
"S08000026",2017-12-01,"18plus","Code 9 AWI",0,0
"S08000026",2017-12-01,"18plus","Code 9 Non-AWI",0,0
"S08000026",2017-12-01,"18-74","All Delay Reasons",17,1
"S08000026",2017-12-01,"18-74","Health and Social Care Reasons",12,0
"S08000026",2017-12-01,"18-74","Patient and Family Related Reasons",5,0
"S08000026",2017-12-01,"18-74","Code 9 AWI",0,0
"S08000026",2017-12-01,"18-74","Code 9 Non-AWI",0,0
"S08000026",2017-12-01,"75plus","All Delay Reasons",79,3
"S08000026",2017-12-01,"75plus","Health and Social Care Reasons",77,2
"S08000026",2017-12-01,"75plus","Patient and Family Related Reasons",2,0
"S08000026",2017-12-01,"75plus","Code 9 AWI",0,0
"S08000026",2017-12-01,"75plus","Code 9 Non-AWI",0,0
"S08000028",2017-12-01,"18plus","All Delay Reasons",511,16
"S08000028",2017-12-01,"18plus","Health and Social Care Reasons",318,10
"S08000028",2017-12-01,"18plus","Patient and Family Related Reasons",0,0
"S08000028",2017-12-01,"18plus","Code 9 AWI",0,0
"S08000028",2017-12-01,"18plus","Code 9 Non-AWI",193,6
"S08000028",2017-12-01,"18-74","All Delay Reasons",140,5
"S08000028",2017-12-01,"18-74","Health and Social Care Reasons",114,4
"S08000028",2017-12-01,"18-74","Patient and Family Related Reasons",0,0
"S08000028",2017-12-01,"18-74","Code 9 AWI",0,0
"S08000028",2017-12-01,"18-74","Code 9 Non-AWI",26,1
"S08000028",2017-12-01,"75plus","All Delay Reasons",371,12
"S08000028",2017-12-01,"75plus","Health and Social Care Reasons",204,7
"S08000028",2017-12-01,"75plus","Patient and Family Related Reasons",0,0
"S08000028",2017-12-01,"75plus","Code 9 AWI",0,0
"S08000028",2017-12-01,"75plus","Code 9 Non-AWI",167,5
"S08000029",2017-12-01,"18plus","All Delay Reasons",2021,65
"S08000029",2017-12-01,"18plus","Health and Social Care Reasons",1235,40
"S08000029",2017-12-01,"18plus","Patient and Family Related Reasons",0,0
"S08000029",2017-12-01,"18plus","Code 9 AWI",676,22
"S08000029",2017-12-01,"18plus","Code 9 Non-AWI",110,4
"S08000029",2017-12-01,"18-74","All Delay Reasons",817,26
"S08000029",2017-12-01,"18-74","Health and Social Care Reasons",483,16
"S08000029",2017-12-01,"18-74","Patient and Family Related Reasons",0,0
"S08000029",2017-12-01,"18-74","Code 9 AWI",272,9
"S08000029",2017-12-01,"18-74","Code 9 Non-AWI",62,2
"S08000029",2017-12-01,"75plus","All Delay Reasons",1204,39
"S08000029",2017-12-01,"75plus","Health and Social Care Reasons",752,24
"S08000029",2017-12-01,"75plus","Patient and Family Related Reasons",0,0
"S08000029",2017-12-01,"75plus","Code 9 AWI",404,13
"S08000029",2017-12-01,"75plus","Code 9 Non-AWI",48,2
"S08000030",2017-12-01,"18plus","All Delay Reasons",3035,98
"S08000030",2017-12-01,"18plus","Health and Social Care Reasons",2139,69
"S08000030",2017-12-01,"18plus","Patient and Family Related Reasons",110,4
"S08000030",2017-12-01,"18plus","Code 9 AWI",235,8
"S08000030",2017-12-01,"18plus","Code 9 Non-AWI",551,18
"S08000030",2017-12-01,"18-74","All Delay Reasons",1360,44
"S08000030",2017-12-01,"18-74","Health and Social Care Reasons",757,24
"S08000030",2017-12-01,"18-74","Patient and Family Related Reasons",43,1
"S08000030",2017-12-01,"18-74","Code 9 AWI",31,1
"S08000030",2017-12-01,"18-74","Code 9 Non-AWI",529,17
"S08000030",2017-12-01,"75plus","All Delay Reasons",1675,54
"S08000030",2017-12-01,"75plus","Health and Social Care Reasons",1382,45
"S08000030",2017-12-01,"75plus","Patient and Family Related Reasons",67,2
"S08000030",2017-12-01,"75plus","Code 9 AWI",204,7
"S08000030",2017-12-01,"75plus","Code 9 Non-AWI",22,1
"S08000031",2017-12-01,"18plus","All Delay Reasons",4547,147
"S08000031",2017-12-01,"18plus","Health and Social Care Reasons",3083,99
"S08000031",2017-12-01,"18plus","Patient and Family Related Reasons",204,7
"S08000031",2017-12-01,"18plus","Code 9 AWI",564,18
"S08000031",2017-12-01,"18plus","Code 9 Non-AWI",696,22
"S08000031",2017-12-01,"18-74","All Delay Reasons",2382,77
"S08000031",2017-12-01,"18-74","Health and Social Care Reasons",1341,43
"S08000031",2017-12-01,"18-74","Patient and Family Related Reasons",113,4
"S08000031",2017-12-01,"18-74","Code 9 AWI",290,9
"S08000031",2017-12-01,"18-74","Code 9 Non-AWI",638,21
"S08000031",2017-12-01,"75plus","All Delay Reasons",2165,70
"S08000031",2017-12-01,"75plus","Health and Social Care Reasons",1742,56
