"lhb22_code","lhb22_name","date","pathway_stage","waits_over_18_weeks","waits_over_53_weeks","total_waits"
"W11000030","Cwm Taf Morgannwg University Health Board",2025-02-01,"Waiting for new OP appointment",42016,14216,71094
"W11000023","Betsi Cadwaladr University LHB",2025-03-01,"Waiting for new OP appointment",68062,28639,107348
"W11000024","Powys Teaching LHB",2025-03-01,"Waiting for new OP appointment",1163,NA,3568
"W11000025","Hywel Dda LHB",2025-03-01,"Waiting for new OP appointment",18080,NA,50785
"W11000029","Cardiff and Vale University LHB",2025-03-01,"Waiting for new OP appointment",46246,14772,77357
"W11000030","Cwm Taf Morgannwg University Health Board",2025-03-01,"Waiting for new OP appointment",41638,13729,70915
"W11000031","Swansea Bay University Health Board",2025-03-01,"Waiting for new OP appointment",21585,NA,48226
"W11000028","Aneurin Bevan LHB",2025-03-01,"Waiting for new OP appointment",50993,13812,92660
"W11000023","Betsi Cadwaladr University LHB",2025-04-01,"Waiting for new OP appointment",69212,29931,107976
"W11000025","Hywel Dda LHB",2025-04-01,"Waiting for new OP appointment",17628,33,49958
"W11000029","Cardiff and Vale University LHB",2025-04-01,"Waiting for new OP appointment",46832,15337,78635
"W11000031","Swansea Bay University Health Board",2025-04-01,"Waiting for new OP appointment",21676,NA,48166
"W11000024","Powys Teaching LHB",2025-04-01,"Waiting for new OP appointment",1223,NA,3696
"W11000028","Aneurin Bevan LHB",2025-04-01,"Waiting for new OP appointment",51529,14124,94400
"W11000030","Cwm Taf Morgannwg University Health Board",2025-04-01,"Waiting for new OP appointment",41208,13733,70500
"W11000023","Betsi Cadwaladr University LHB",2025-05-01,"Waiting for new OP appointment",68199,30665,108891
"W11000024","Powys Teaching LHB",2025-05-01,"Waiting for new OP appointment",1221,NA,3717
"W11000025","Hywel Dda LHB",2025-05-01,"Waiting for new OP appointment",17341,84,50134
"W11000029","Cardiff and Vale University LHB",2025-05-01,"Waiting for new OP appointment",46600,16150,79247
"W11000030","Cwm Taf Morgannwg University Health Board",2025-05-01,"Waiting for new OP appointment",40504,14210,70530
"W11000028","Aneurin Bevan LHB",2025-05-01,"Waiting for new OP appointment",50689,14419,95986
"W11000031","Swansea Bay University Health Board",2025-05-01,"Waiting for new OP appointment",21539,NA,49068
"W11000023","Betsi Cadwaladr University LHB",2025-06-01,"Waiting for new OP appointment",67023,29578,107847
"W11000024","Powys Teaching LHB",2025-06-01,"Waiting for new OP appointment",1192,4,3745
"W11000025","Hywel Dda LHB",2025-06-01,"Waiting for new OP appointment",17228,71,50449
"W11000029","Cardiff and Vale University LHB",2025-06-01,"Waiting for new OP appointment",46146,15542,78754
"W11000030","Cwm Taf Morgannwg University Health Board",2025-06-01,"Waiting for new OP appointment",39646,13429,69653
"W11000031","Swansea Bay University Health Board",2025-06-01,"Waiting for new OP appointment",21563,NA,49272
"W11000028","Aneurin Bevan LHB",2025-06-01,"Waiting for new OP appointment",51069,14364,96768
"W11000023","Betsi Cadwaladr University LHB",2025-07-01,"Waiting for new OP appointment",66740,29456,107909
"W11000025","Hywel Dda LHB",2025-07-01,"Waiting for new OP appointment",17690,116,50621
"W11000029","Cardiff and Vale University LHB",2025-07-01,"Waiting for new OP appointment",45623,14997,78735
"W11000024","Powys Teaching LHB",2025-07-01,"Waiting for new OP appointment",1244,NA,3866
"W11000028","Aneurin Bevan LHB",2025-07-01,"Waiting for new OP appointment",52126,14933,96989
"W11000030","Cwm Taf Morgannwg University Health Board",2025-07-01,"Waiting for new OP appointment",38987,13694,67830
"W11000031","Swansea Bay University Health Board",2025-07-01,"Waiting for new OP appointment",21887,NA,50676
"W11000023","Betsi Cadwaladr University LHB",2019-01-01,"Waiting for diagnostic or AHP test, intervention or result",2504,106,24499
"W11000024","Powys Teaching LHB",2019-01-01,"Waiting for diagnostic or AHP test, intervention or result",35,NA,2777
"W11000025","Hywel Dda LHB",2019-01-01,"Waiting for diagnostic or AHP test, intervention or result",189,3,416
"W11000026","Abertawe Bro Morgannwg University LHB",2019-01-01,"Waiting for diagnostic or AHP test, intervention or result",1575,NA,11008
"W11000028","Aneurin Bevan LHB",2019-01-01,"Waiting for diagnostic or AHP test, intervention or result",1433,NA,11428
"W11000027","Cwm Taf LHB",2019-01-01,"Waiting for diagnostic or AHP test, intervention or result",836,NA,3150
"W11000029","Cardiff and Vale University LHB",2019-01-01,"Waiting for diagnostic or AHP test, intervention or result",195,NA,9314
"W11000023","Betsi Cadwaladr University LHB",2019-02-01,"Waiting for diagnostic or AHP test, intervention or result",2562,129,25525
"W11000024","Powys Teaching LHB",2019-02-01,"Waiting for diagnostic or AHP test, intervention or result",37,NA,2966
"W11000025","Hywel Dda LHB",2019-02-01,"Waiting for diagnostic or AHP test, intervention or result",182,1,410
"W11000026","Abertawe Bro Morgannwg University LHB",2019-02-01,"Waiting for diagnostic or AHP test, intervention or result",1469,NA,11047
"W11000028","Aneurin Bevan LHB",2019-02-01,"Waiting for diagnostic or AHP test, intervention or result",1499,NA,12258
"W11000027","Cwm Taf LHB",2019-02-01,"Waiting for diagnostic or AHP test, intervention or result",895,NA,3536
"W11000029","Cardiff and Vale University LHB",2019-02-01,"Waiting for diagnostic or AHP test, intervention or result",189,NA,9971
"W11000023","Betsi Cadwaladr University LHB",2019-03-01,"Waiting for diagnostic or AHP test, intervention or result",2711,88,27156
"W11000024","Powys Teaching LHB",2019-03-01,"Waiting for diagnostic or AHP test, intervention or result",36,NA,3232
"W11000026","Abertawe Bro Morgannwg University LHB",2019-03-01,"Waiting for diagnostic or AHP test, intervention or result",1530,NA,11624
"W11000028","Aneurin Bevan LHB",2019-03-01,"Waiting for diagnostic or AHP test, intervention or result",1588,NA,13008
"W11000029","Cardiff and Vale University LHB",2019-03-01,"Waiting for diagnostic or AHP test, intervention or result",195,1,10179
"W11000027","Cwm Taf LHB",2019-03-01,"Waiting for diagnostic or AHP test, intervention or result",881,NA,3307
"W11000025","Hywel Dda LHB",2019-03-01,"Waiting for diagnostic or AHP test, intervention or result",188,NA,442
"W11000023","Betsi Cadwaladr University LHB",2019-04-01,"Waiting for diagnostic or AHP test, intervention or result",2980,101,23898
"W11000024","Powys Teaching LHB",2019-04-01,"Waiting for diagnostic or AHP test, intervention or result",49,NA,3246
"W11000028","Aneurin Bevan LHB",2019-04-01,"Waiting for diagnostic or AHP test, intervention or result",1583,NA,12814
"W11000031","Swansea Bay University Health Board",2019-04-01,"Waiting for diagnostic or AHP test, intervention or result",882,1,8157
"W11000025","Hywel Dda LHB",2019-04-01,"Waiting for diagnostic or AHP test, intervention or result",180,NA,407
"W11000029","Cardiff and Vale University LHB",2019-04-01,"Waiting for diagnostic or AHP test, intervention or result",148,NA,11525
"W11000030","Cwm Taf Morgannwg University Health Board",2019-04-01,"Waiting for diagnostic or AHP test, intervention or result",1325,NA,7137
"W11000023","Betsi Cadwaladr University LHB",2019-05-01,"Waiting for diagnostic or AHP test, intervention or result",2899,107,24631
"W11000024","Powys Teaching LHB",2019-05-01,"Waiting for diagnostic or AHP test, intervention or result",50,NA,3214
"W11000028","Aneurin Bevan LHB",2019-05-01,"Waiting for diagnostic or AHP test, intervention or result",1505,1,12571
"W11000031","Swansea Bay University Health Board",2019-05-01,"Waiting for diagnostic or AHP test, intervention or result",748,NA,7754
"W11000025","Hywel Dda LHB",2019-05-01,"Waiting for diagnostic or AHP test, intervention or result",174,NA,376
"W11000029","Cardiff and Vale University LHB",2019-05-01,"Waiting for diagnostic or AHP test, intervention or result",130,NA,11633
"W11000030","Cwm Taf Morgannwg University Health Board",2019-05-01,"Waiting for diagnostic or AHP test, intervention or result",1394,NA,7511
"W11000023","Betsi Cadwaladr University LHB",2019-06-01,"Waiting for diagnostic or AHP test, intervention or result",2990,95,24274
"W11000024","Powys Teaching LHB",2019-06-01,"Waiting for diagnostic or AHP test, intervention or result",52,NA,3094
"W11000028","Aneurin Bevan LHB",2019-06-01,"Waiting for diagnostic or AHP test, intervention or result",1478,1,12167
"W11000030","Cwm Taf Morgannwg University Health Board",2019-06-01,"Waiting for diagnostic or AHP test, intervention or result",1484,1,7273
"W11000031","Swansea Bay University Health Board",2019-06-01,"Waiting for diagnostic or AHP test, intervention or result",808,NA,7664
"W11000025","Hywel Dda LHB",2019-06-01,"Waiting for diagnostic or AHP test, intervention or result",171,NA,377
"W11000029","Cardiff and Vale University LHB",2019-06-01,"Waiting for diagnostic or AHP test, intervention or result",94,NA,10714
"W11000023","Betsi Cadwaladr University LHB",2019-07-01,"Waiting for diagnostic or AHP test, intervention or result",2865,82,24092
"W11000024","Powys Teaching LHB",2019-07-01,"Waiting for diagnostic or AHP test, intervention or result",61,NA,2973
"W11000025","Hywel Dda LHB",2019-07-01,"Waiting for diagnostic or AHP test, intervention or result",152,NA,354
"W11000028","Aneurin Bevan LHB",2019-07-01,"Waiting for diagnostic or AHP test, intervention or result",1423,1,12791
"W11000030","Cwm Taf Morgannwg University Health Board",2019-07-01,"Waiting for diagnostic or AHP test, intervention or result",1508,23,7381
"W11000031","Swansea Bay University Health Board",2019-07-01,"Waiting for diagnostic or AHP test, intervention or result",831,4,7693
"W11000029","Cardiff and Vale University LHB",2019-07-01,"Waiting for diagnostic or AHP test, intervention or result",85,NA,9583
"W11000023","Betsi Cadwaladr University LHB",2019-08-01,"Waiting for diagnostic or AHP test, intervention or result",3042,91,24270
"W11000024","Powys Teaching LHB",2019-08-01,"Waiting for diagnostic or AHP test, intervention or result",80,NA,2958
"W11000028","Aneurin Bevan LHB",2019-08-01,"Waiting for diagnostic or AHP test, intervention or result",1512,NA,12828
"W11000030","Cwm Taf Morgannwg University Health Board",2019-08-01,"Waiting for diagnostic or AHP test, intervention or result",1563,13,7174
"W11000031","Swansea Bay University Health Board",2019-08-01,"Waiting for diagnostic or AHP test, intervention or result",751,NA,7254
"W11000029","Cardiff and Vale University LHB",2019-08-01,"Waiting for diagnostic or AHP test, intervention or result",54,NA,9448
"W11000025","Hywel Dda LHB",2019-08-01,"Waiting for diagnostic or AHP test, intervention or result",158,NA,326
"W11000023","Betsi Cadwaladr University LHB",2019-09-01,"Waiting for diagnostic or AHP test, intervention or result",3011,88,23217
"W11000024","Powys Teaching LHB",2019-09-01,"Waiting for diagnostic or AHP test, intervention or result",90,NA,3141
"W11000025","Hywel Dda LHB",2019-09-01,"Waiting for diagnostic or AHP test, intervention or result",178,NA,351
"W11000028","Aneurin Bevan LHB",2019-09-01,"Waiting for diagnostic or AHP test, intervention or result",1589,1,13084
"W11000031","Swansea Bay University Health Board",2019-09-01,"Waiting for diagnostic or AHP test, intervention or result",834,NA,7130
"W11000029","Cardiff and Vale University LHB",2019-09-01,"Waiting for diagnostic or AHP test, intervention or result",52,NA,9474
"W11000030","Cwm Taf Morgannwg University Health Board",2019-09-01,"Waiting for diagnostic or AHP test, intervention or result",1595,3,6668
"W11000023","Betsi Cadwaladr University LHB",2019-10-01,"Waiting for diagnostic or AHP test, intervention or result",2802,109,19115
"W11000024","Powys Teaching LHB",2019-10-01,"Waiting for diagnostic or AHP test, intervention or result",96,NA,3047
"W11000028","Aneurin Bevan LHB",2019-10-01,"Waiting for diagnostic or AHP test, intervention or result",1555,2,13104
"W11000031","Swansea Bay University Health Board",2019-10-01,"Waiting for diagnostic or AHP test, intervention or result",848,NA,7147
"W11000025","Hywel Dda LHB",2019-10-01,"Waiting for diagnostic or AHP test, intervention or result",148,NA,310
"W11000029","Cardiff and Vale University LHB",2019-10-01,"Waiting for diagnostic or AHP test, intervention or result",37,NA,9652
"W11000030","Cwm Taf Morgannwg University Health Board",2019-10-01,"Waiting for diagnostic or AHP test, intervention or result",1511,NA,6909
"W11000023","Betsi Cadwaladr University LHB",2019-11-01,"Waiting for diagnostic or AHP test, intervention or result",2817,130,21654
"W11000024","Powys Teaching LHB",2019-11-01,"Waiting for diagnostic or AHP test, intervention or result",93,NA,2909
"W11000028","Aneurin Bevan LHB",2019-11-01,"Waiting for diagnostic or AHP test, intervention or result",1926,4,13231
"W11000031","Swansea Bay University Health Board",2019-11-01,"Waiting for diagnostic or AHP test, intervention or result",981,1,7174
"W11000029","Cardiff and Vale University LHB",2019-11-01,"Waiting for diagnostic or AHP test, intervention or result",53,NA,9298
"W11000030","Cwm Taf Morgannwg University Health Board",2019-11-01,"Waiting for diagnostic or AHP test, intervention or result",1627,NA,7086
"W11000025","Hywel Dda LHB",2019-11-01,"Waiting for diagnostic or AHP test, intervention or result",134,1,286
"W11000023","Betsi Cadwaladr University LHB",2019-12-01,"Waiting for diagnostic or AHP test, intervention or result",2851,144,22082
"W11000024","Powys Teaching LHB",2019-12-01,"Waiting for diagnostic or AHP test, intervention or result",81,NA,2783
"W11000028","Aneurin Bevan LHB",2019-12-01,"Waiting for diagnostic or AHP test, intervention or result",2176,3,13268
"W11000031","Swansea Bay University Health Board",2019-12-01,"Waiting for diagnostic or AHP test, intervention or result",949,NA,7359
"W11000029","Cardiff and Vale University LHB",2019-12-01,"Waiting for diagnostic or AHP test, intervention or result",68,NA,9167
"W11000030","Cwm Taf Morgannwg University Health Board",2019-12-01,"Waiting for diagnostic or AHP test, intervention or result",1637,1,7102
"W11000025","Hywel Dda LHB",2019-12-01,"Waiting for diagnostic or AHP test, intervention or result",133,2,290
"W11000023","Betsi Cadwaladr University LHB",2020-01-01,"Waiting for diagnostic or AHP test, intervention or result",2799,165,22313
"W11000024","Powys Teaching LHB",2020-01-01,"Waiting for diagnostic or AHP test, intervention or result",75,NA,2768
"W11000028","Aneurin Bevan LHB",2020-01-01,"Waiting for diagnostic or AHP test, intervention or result",2385,3,13477
"W11000031","Swansea Bay University Health Board",2020-01-01,"Waiting for diagnostic or AHP test, intervention or result",852,1,7107
"W11000029","Cardiff and Vale University LHB",2020-01-01,"Waiting for diagnostic or AHP test, intervention or result",52,NA,8729
"W11000030","Cwm Taf Morgannwg University Health Board",2020-01-01,"Waiting for diagnostic or AHP test, intervention or result",1614,5,6706
"W11000025","Hywel Dda LHB",2020-01-01,"Waiting for diagnostic or AHP test, intervention or result",129,1,261
"W11000023","Betsi Cadwaladr University LHB",2020-02-01,"Waiting for diagnostic or AHP test, intervention or result",2727,156,22842
"W11000024","Powys Teaching LHB",2020-02-01,"Waiting for diagnostic or AHP test, intervention or result",81,NA,2865
"W11000025","Hywel Dda LHB",2020-02-01,"Waiting for diagnostic or AHP test, intervention or result",149,2,279
"W11000028","Aneurin Bevan LHB",2020-02-01,"Waiting for diagnostic or AHP test, intervention or result",2407,7,13927
"W11000030","Cwm Taf Morgannwg University Health Board",2020-02-01,"Waiting for diagnostic or AHP test, intervention or result",1825,13,6731
"W11000031","Swansea Bay University Health Board",2020-02-01,"Waiting for diagnostic or AHP test, intervention or result",935,14,7214
"W11000029","Cardiff and Vale University LHB",2020-02-01,"Waiting for diagnostic or AHP test, intervention or result",46,NA,8965
"W11000023","Betsi Cadwaladr University LHB",2020-03-01,"Waiting for diagnostic or AHP test, intervention or result",2776,166,19233
"W11000024","Powys Teaching LHB",2020-03-01,"Waiting for diagnostic or AHP test, intervention or result",70,NA,2385
"W11000028","Aneurin Bevan LHB",2020-03-01,"Waiting for diagnostic or AHP test, intervention or result",1948,3,13418
"W11000031","Swansea Bay University Health Board",2020-03-01,"Waiting for diagnostic or AHP test, intervention or result",1026,37,8040
"W11000029","Cardiff and Vale University LHB",2020-03-01,"Waiting for diagnostic or AHP test, intervention or result",72,NA,8862
"W11000030","Cwm Taf Morgannwg University Health Board",2020-03-01,"Waiting for diagnostic or AHP test, intervention or result",1949,22,6491
"W11000025","Hywel Dda LHB",2020-03-01,"Waiting for diagnostic or AHP test, intervention or result",148,NA,254
"W11000023","Betsi Cadwaladr University LHB",2020-04-01,"Waiting for diagnostic or AHP test, intervention or result",3085,224,11775
"W11000024","Powys Teaching LHB",2020-04-01,"Waiting for diagnostic or AHP test, intervention or result",92,NA,2075
"W11000028","Aneurin Bevan LHB",2020-04-01,"Waiting for diagnostic or AHP test, intervention or result",1906,7,12783
"W11000031","Swansea Bay University Health Board",2020-04-01,"Waiting for diagnostic or AHP test, intervention or result",1006,57,7556
"W11000029","Cardiff and Vale University LHB",2020-04-01,"Waiting for diagnostic or AHP test, intervention or result",166,NA,8757
"W11000030","Cwm Taf Morgannwg University Health Board",2020-04-01,"Waiting for diagnostic or AHP test, intervention or result",1985,44,6172
"W11000025","Hywel Dda LHB",2020-04-01,"Waiting for diagnostic or AHP test, intervention or result",139,NA,211
"W11000023","Betsi Cadwaladr University LHB",2020-05-01,"Waiting for diagnostic or AHP test, intervention or result",4840,330,21749
"W11000024","Powys Teaching LHB",2020-05-01,"Waiting for diagnostic or AHP test, intervention or result",209,NA,1834
"W11000028","Aneurin Bevan LHB",2020-05-01,"Waiting for diagnostic or AHP test, intervention or result",2578,12,12909
"W11000031","Swansea Bay University Health Board",2020-05-01,"Waiting for diagnostic or AHP test, intervention or result",1740,74,7551
"W11000029","Cardiff and Vale University LHB",2020-05-01,"Waiting for diagnostic or AHP test, intervention or result",429,2,9084
"W11000030","Cwm Taf Morgannwg University Health Board",2020-05-01,"Waiting for diagnostic or AHP test, intervention or result",2188,81,6339
"W11000025","Hywel Dda LHB",2020-05-01,"Waiting for diagnostic or AHP test, intervention or result",145,NA,192
"W11000023","Betsi Cadwaladr University LHB",2020-06-01,"Waiting for diagnostic or AHP test, intervention or result",7951,455,23800
"W11000024","Powys Teaching LHB",2020-06-01,"Waiting for diagnostic or AHP test, intervention or result",569,NA,1929
"W11000028","Aneurin Bevan LHB",2020-06-01,"Waiting for diagnostic or AHP test, intervention or result",4562,22,12957
"W11000031","Swansea Bay University Health Board",2020-06-01,"Waiting for diagnostic or AHP test, intervention or result",3186,118,8029
"W11000025","Hywel Dda LHB",2020-06-01,"Waiting for diagnostic or AHP test, intervention or result",131,2,162
"W11000029","Cardiff and Vale University LHB",2020-06-01,"Waiting for diagnostic or AHP test, intervention or result",1815,2,7922
"W11000030","Cwm Taf Morgannwg University Health Board",2020-06-01,"Waiting for diagnostic or AHP test, intervention or result",3183,104,7028
"W11000023","Betsi Cadwaladr University LHB",2020-07-01,"Waiting for diagnostic or AHP test, intervention or result",11229,585,24892
"W11000024","Powys Teaching LHB",2020-07-01,"Waiting for diagnostic or AHP test, intervention or result",1004,NA,2202
"W11000028","Aneurin Bevan LHB",2020-07-01,"Waiting for diagnostic or AHP test, intervention or result",6728,62,14013
"W11000031","Swansea Bay University Health Board",2020-07-01,"Waiting for diagnostic or AHP test, intervention or result",4537,170,8569
"W11000025","Hywel Dda LHB",2020-07-01,"Waiting for diagnostic or AHP test, intervention or result",119,3,159
"W11000029","Cardiff and Vale University LHB",2020-07-01,"Waiting for diagnostic or AHP test, intervention or result",3539,7,8120
"W11000030","Cwm Taf Morgannwg University Health Board",2020-07-01,"Waiting for diagnostic or AHP test, intervention or result",3699,157,7499
"W11000023","Betsi Cadwaladr University LHB",2020-08-01,"Waiting for diagnostic or AHP test, intervention or result",12324,750,26133
"W11000024","Powys Teaching LHB",2020-08-01,"Waiting for diagnostic or AHP test, intervention or result",859,1,2423
"W11000028","Aneurin Bevan LHB",2020-08-01,"Waiting for diagnostic or AHP test, intervention or result",6134,190,14708
"W11000031","Swansea Bay University Health Board",2020-08-01,"Waiting for diagnostic or AHP test, intervention or result",4525,238,8672
"W11000029","Cardiff and Vale University LHB",2020-08-01,"Waiting for diagnostic or AHP test, intervention or result",2613,12,8358
"W11000030","Cwm Taf Morgannwg University Health Board",2020-08-01,"Waiting for diagnostic or AHP test, intervention or result",3713,317,8458
"W11000025","Hywel Dda LHB",2020-08-01,"Waiting for diagnostic or AHP test, intervention or result",95,13,139
"W11000023","Betsi Cadwaladr University LHB",2020-09-01,"Waiting for diagnostic or AHP test, intervention or result",11918,891,27883
"W11000024","Powys Teaching LHB",2020-09-01,"Waiting for diagnostic or AHP test, intervention or result",753,4,2382
"W11000028","Aneurin Bevan LHB",2020-09-01,"Waiting for diagnostic or AHP test, intervention or result",5353,316,15630
"W11000030","Cwm Taf Morgannwg University Health Board",2020-09-01,"Waiting for diagnostic or AHP test, intervention or result",3533,488,9129
"W11000031","Swansea Bay University Health Board",2020-09-01,"Waiting for diagnostic or AHP test, intervention or result",3693,336,9331
"W11000025","Hywel Dda LHB",2020-09-01,"Waiting for diagnostic or AHP test, intervention or result",83,14,134
"W11000029","Cardiff and Vale University LHB",2020-09-01,"Waiting for diagnostic or AHP test, intervention or result",1747,18,9255
"W11000023","Betsi Cadwaladr University LHB",2020-10-01,"Waiting for diagnostic or AHP test, intervention or result",10983,1087,27379
"W11000024","Powys Teaching LHB",2020-10-01,"Waiting for diagnostic or AHP test, intervention or result",602,9,2377
"W11000028","Aneurin Bevan LHB",2020-10-01,"Waiting for diagnostic or AHP test, intervention or result",4689,431,15477
"W11000031","Swansea Bay University Health Board",2020-10-01,"Waiting for diagnostic or AHP test, intervention or result",3313,399,9189
"W11000025","Hywel Dda LHB",2020-10-01,"Waiting for diagnostic or AHP test, intervention or result",83,12,139
"W11000030","Cwm Taf Morgannwg University Health Board",2020-10-01,"Waiting for diagnostic or AHP test, intervention or result",3708,643,9446
"W11000029","Cardiff and Vale University LHB",2020-10-01,"Waiting for diagnostic or AHP test, intervention or result",1587,25,9507
"W11000023","Betsi Cadwaladr University LHB",2020-11-01,"Waiting for diagnostic or AHP test, intervention or result",9138,1267,25762
"W11000024","Powys Teaching LHB",2020-11-01,"Waiting for diagnostic or AHP test, intervention or result",384,12,2267
"W11000028","Aneurin Bevan LHB",2020-11-01,"Waiting for diagnostic or AHP test, intervention or result",4417,624,14768
"W11000031","Swansea Bay University Health Board",2020-11-01,"Waiting for diagnostic or AHP test, intervention or result",2940,500,9269
"W11000025","Hywel Dda LHB",2020-11-01,"Waiting for diagnostic or AHP test, intervention or result",100,17,164
"W11000029","Cardiff and Vale University LHB",2020-11-01,"Waiting for diagnostic or AHP test, intervention or result",1233,32,9110
"W11000030","Cwm Taf Morgannwg University Health Board",2020-11-01,"Waiting for diagnostic or AHP test, intervention or result",3969,884,9808
"W11000023","Betsi Cadwaladr University LHB",2020-12-01,"Waiting for diagnostic or AHP test, intervention or result",8967,1492,25483
"W11000024","Powys Teaching LHB",2020-12-01,"Waiting for diagnostic or AHP test, intervention or result",281,25,1993
"W11000028","Aneurin Bevan LHB",2020-12-01,"Waiting for diagnostic or AHP test, intervention or result",4513,750,14188
"W11000030","Cwm Taf Morgannwg University Health Board",2020-12-01,"Waiting for diagnostic or AHP test, intervention or result",4340,1047,10261
"W11000031","Swansea Bay University Health Board",2020-12-01,"Waiting for diagnostic or AHP test, intervention or result",2796,530,9321
"W11000029","Cardiff and Vale University LHB",2020-12-01,"Waiting for diagnostic or AHP test, intervention or result",1117,33,9079
"W11000025","Hywel Dda LHB",2020-12-01,"Waiting for diagnostic or AHP test, intervention or result",99,27,182
"W11000023","Betsi Cadwaladr University LHB",2021-01-01,"Waiting for diagnostic or AHP test, intervention or result",7380,1709,22482
"W11000024","Powys Teaching LHB",2021-01-01,"Waiting for diagnostic or AHP test, intervention or result",190,36,1824
"W11000028","Aneurin Bevan LHB",2021-01-01,"Waiting for diagnostic or AHP test, intervention or result",4828,918,13712
"W11000029","Cardiff and Vale University LHB",2021-01-01,"Waiting for diagnostic or AHP test, intervention or result",1408,47,8467
"W11000030","Cwm Taf Morgannwg University Health Board",2021-01-01,"Waiting for diagnostic or AHP test, intervention or result",4794,1231,10336
"W11000031","Swansea Bay University Health Board",2021-01-01,"Waiting for diagnostic or AHP test, intervention or result",2499,558,8107
"W11000025","Hywel Dda LHB",2021-01-01,"Waiting for diagnostic or AHP test, intervention or result",110,30,197
"W11000023","Betsi Cadwaladr University LHB",2021-02-01,"Waiting for diagnostic or AHP test, intervention or result",7071,2042,22069
"W11000024","Powys Teaching LHB",2021-02-01,"Waiting for diagnostic or AHP test, intervention or result",144,38,1787
"W11000028","Aneurin Bevan LHB",2021-02-01,"Waiting for diagnostic or AHP test, intervention or result",4350,894,13153
"W11000030","Cwm Taf Morgannwg University Health Board",2021-02-01,"Waiting for diagnostic or AHP test, intervention or result",5301,1564,10622
"W11000031","Swansea Bay University Health Board",2021-02-01,"Waiting for diagnostic or AHP test, intervention or result",2460,632,8264
"W11000029","Cardiff and Vale University LHB",2021-02-01,"Waiting for diagnostic or AHP test, intervention or result",1255,58,7953
"W11000025","Hywel Dda LHB",2021-02-01,"Waiting for diagnostic or AHP test, intervention or result",123,43,207
"W11000023","Betsi Cadwaladr University LHB",2021-03-01,"Waiting for diagnostic or AHP test, intervention or result",6639,2323,23486
"W11000024","Powys Teaching LHB",2021-03-01,"Waiting for diagnostic or AHP test, intervention or result",109,28,2049
"W11000028","Aneurin Bevan LHB",2021-03-01,"Waiting for diagnostic or AHP test, intervention or result",3651,929,12796
"W11000031","Swansea Bay University Health Board",2021-03-01,"Waiting for diagnostic or AHP test, intervention or result",2453,679,8681
"W11000025","Hywel Dda LHB",2021-03-01,"Waiting for diagnostic or AHP test, intervention or result",141,56,217
"W11000029","Cardiff and Vale University LHB",2021-03-01,"Waiting for diagnostic or AHP test, intervention or result",782,79,8151
"W11000030","Cwm Taf Morgannwg University Health Board",2021-03-01,"Waiting for diagnostic or AHP test, intervention or result",6002,1901,11985
"W11000023","Betsi Cadwaladr University LHB",2021-04-01,"Waiting for diagnostic or AHP test, intervention or result",7313,2111,32140
"W11000024","Powys Teaching LHB",2021-04-01,"Waiting for diagnostic or AHP test, intervention or result",78,22,2322
"W11000031","Swansea Bay University Health Board",2021-04-01,"Waiting for diagnostic or AHP test, intervention or result",2446,602,9053
"W11000028","Aneurin Bevan LHB",2021-04-01,"Waiting for diagnostic or AHP test, intervention or result",3293,779,11741
"W11000025","Hywel Dda LHB",2021-04-01,"Waiting for diagnostic or AHP test, intervention or result",169,55,238
"W11000029","Cardiff and Vale University LHB",2021-04-01,"Waiting for diagnostic or AHP test, intervention or result",724,78,9402
"W11000030","Cwm Taf Morgannwg University Health Board",2021-04-01,"Waiting for diagnostic or AHP test, intervention or result",6476,1892,12529
"W11000023","Betsi Cadwaladr University LHB",2021-05-01,"Waiting for diagnostic or AHP test, intervention or result",5872,1795,26103
"W11000024","Powys Teaching LHB",2021-05-01,"Waiting for diagnostic or AHP test, intervention or result",81,17,2548
"W11000028","Aneurin Bevan LHB",2021-05-01,"Waiting for diagnostic or AHP test, intervention or result",2968,625,11583
"W11000025","Hywel Dda LHB",2021-05-01,"Waiting for diagnostic or AHP test, intervention or result",163,52,245
"W11000031","Swansea Bay University Health Board",2021-05-01,"Waiting for diagnostic or AHP test, intervention or result",2511,602,9662
"W11000029","Cardiff and Vale University LHB",2021-05-01,"Waiting for diagnostic or AHP test, intervention or result",646,79,9325
"W11000030","Cwm Taf Morgannwg University Health Board",2021-05-01,"Waiting for diagnostic or AHP test, intervention or result",6594,1940,13221
"W11000023","Betsi Cadwaladr University LHB",2021-06-01,"Waiting for diagnostic or AHP test, intervention or result",5411,1656,26435
"W11000024","Powys Teaching LHB",2021-06-01,"Waiting for diagnostic or AHP test, intervention or result",79,11,3044
"W11000028","Aneurin Bevan LHB",2021-06-01,"Waiting for diagnostic or AHP test, intervention or result",2673,564,11991
"W11000030","Cwm Taf Morgannwg University Health Board",2021-06-01,"Waiting for diagnostic or AHP test, intervention or result",6909,2034,13790
"W11000031","Swansea Bay University Health Board",2021-06-01,"Waiting for diagnostic or AHP test, intervention or result",2672,650,10066
"W11000029","Cardiff and Vale University LHB",2021-06-01,"Waiting for diagnostic or AHP test, intervention or result",701,55,10990
"W11000025","Hywel Dda LHB",2021-06-01,"Waiting for diagnostic or AHP test, intervention or result",178,51,262
"W11000023","Betsi Cadwaladr University LHB",2021-07-01,"Waiting for diagnostic or AHP test, intervention or result",5671,1572,27565
