"trust18_code","date","hospital","programme_of_care","specialty","total_available_beds","average_available_beds","total_occupied_beds","average_occupied_beds","total_inpatients","total_day_case","elective_inpatient","non_elective_inpatient","regular_attenders"
"WHSCT",2018-09-30,"Omagh","Acute Services","Rehabilitation",2668,29,2275,25,99,0,1,98,0
"WHSCT",2018-09-30,"Omagh","Acute Services","Urology",0,0,0,0,0,297,0,0,0
"WHSCT",2018-09-30,"Omagh","Mental Health","Mental Illness",0,0,0,0,0,36,0,0,0
"WHSCT",2018-09-30,"South West Acute","Acute Services","Anaesthetics",529,6,367,4,32,0,1,31,0
"WHSCT",2018-09-30,"South West Acute","Acute Services","Cardiology",804,9,736,8,163,23,8,155,0
"WHSCT",2018-09-30,"South West Acute","Acute Services","General Medicine",8128,88,7889,86,1072,424,28,1044,0
"WHSCT",2018-09-30,"South West Acute","Acute Services","General Practice Other",0,0,0,0,0,74,0,0,0
"WHSCT",2018-09-30,"South West Acute","Acute Services","General Surgery",2508,27,2237,24,607,167,102,505,0
"WHSCT",2018-09-30,"South West Acute","Acute Services","Gynaecology",491,5,323,4,167,145,84,83,0
"WHSCT",2018-09-30,"South West Acute","Acute Services","Ophthalmology",0,0,0,0,0,65,0,0,0
"WHSCT",2018-09-30,"South West Acute","Acute Services","Paediatrics",1767,19,752,8,348,0,10,338,0
"WHSCT",2018-09-30,"South West Acute","Elderly Care","Geriatric Medicine",4283,47,3682,40,289,0,0,0,0
"WHSCT",2018-09-30,"South West Acute","Maternity & Child Health","Obstetrics",1482,16,891,10,426,0,0,0,0
"WHSCT",2018-09-30,"South West Acute","Maternity & Child Health","Well Babies Paed",545,6,545,6,311,0,0,0,0
"WHSCT",2018-09-30,"Tyrone and Fermanagh","Elderly Care","Old Age Psychiatry",1656,18,1216,13,24,0,0,0,0
"WHSCT",2018-09-30,"Tyrone and Fermanagh","Mental Health","Mental Illness",4232,46,3532,38,188,0,0,0,0
"WHSCT",2018-09-30,"Waterside","Elderly Care","Geriatric Medicine",4352,47,4308,47,190,0,0,0,0
"WHSCT",2018-09-30,"Waterside","Elderly Care","Old Age Psychiatry",1656,18,1595,17,22,0,0,0,0
"BHSCT",2018-12-31,"Beechcroft","Mental Health","Child & Adolescent Psychiatry",2852,31,1823,20,28,0,0,0,0
"BHSCT",2018-12-31,"Belfast City","Acute Services","Cardiology",2691,29,1172,13,266,138,116,150,0
"BHSCT",2018-12-31,"Belfast City","Acute Services","Clinical Oncology",55,1,55,1,16,0,0,16,0
"BHSCT",2018-12-31,"Belfast City","Acute Services","Dermatology",123,1,123,1,8,0,3,5,0
"BHSCT",2018-12-31,"Belfast City","Acute Services","Gastroenterology",1396,15,1332,15,120,989,46,74,0
"BHSCT",2018-12-31,"Belfast City","Acute Services","General Medicine",13,0,13,0,0,1,0,0,0
"BHSCT",2018-12-31,"Belfast City","Acute Services","General Surgery",4241,46,3075,33,433,660,382,51,0
"BHSCT",2018-12-31,"Belfast City","Acute Services","Gynaecology",1902,21,1320,14,353,496,280,73,0
"BHSCT",2018-12-31,"Belfast City","Acute Services","Haematology Clinical",3876,42,3735,41,227,1747,59,168,0
"BHSCT",2018-12-31,"Belfast City","Acute Services","Medical Oncology",112,1,112,1,29,0,2,27,0
"BHSCT",2018-12-31,"Belfast City","Acute Services","Nephrology",4948,54,2212,24,300,5980,202,98,5847
"BHSCT",2018-12-31,"Belfast City","Acute Services","Pain Management",0,0,0,0,0,316,0,0,0
"BHSCT",2018-12-31,"Belfast City","Acute Services","Plastic Surgery",4,0,4,0,5,5,5,0,0
"BHSCT",2018-12-31,"Belfast City","Acute Services","Radiology",0,0,0,0,1,12,1,0,0
"BHSCT",2018-12-31,"Belfast City","Acute Services","Thoracic Medicine",3866,42,3053,33,370,73,63,307,0
"BHSCT",2018-12-31,"Belfast City","Acute Services","Urology",3125,34,2258,25,611,1992,360,251,0
"BHSCT",2018-12-31,"Belfast City","Elderly Care","Geriatric Medicine",7572,82,7129,78,701,0,0,0,0
"BHSCT",2018-12-31,"Knockbracken","Elderly Care","Old Age Psychiatry",1840,20,511,6,2,0,0,0,0
"BHSCT",2018-12-31,"Knockbracken","Mental Health","Forensic Psychiatry",3128,34,3034,33,6,0,0,0,0
"BHSCT",2018-12-31,"Knockbracken","Mental Health","Mental Illness",5888,64,5089,55,82,0,0,0,0
"BHSCT",2018-12-31,"Mater Infirmorum","Acute Services","Accident & Emergency",897,10,460,5,315,0,0,315,0
"BHSCT",2018-12-31,"Mater Infirmorum","Acute Services","Cardiology",1574,17,1282,14,196,5,3,193,0
"BHSCT",2018-12-31,"Mater Infirmorum","Acute Services","Endocrinology",522,6,522,6,77,0,2,75,0
"BHSCT",2018-12-31,"Mater Infirmorum","Acute Services","Gastroenterology",1749,19,1749,19,239,334,20,219,0
"BHSCT",2018-12-31,"Mater Infirmorum","Acute Services","General Medicine",5056,55,2747,30,334,8,1,333,0
"BHSCT",2018-12-31,"Mater Infirmorum","Acute Services","General Surgery",2000,22,1763,19,203,359,154,49,0
"BHSCT",2018-12-31,"Mater Infirmorum","Acute Services","Oral Surgery",0,0,0,0,0,36,0,0,0
"BHSCT",2018-12-31,"Mater Infirmorum","Acute Services","Thoracic Medicine",3156,34,3156,34,407,27,6,401,0
"BHSCT",2018-12-31,"Mater Infirmorum","Acute Services","Urology",0,0,0,0,0,38,0,0,0
"BHSCT",2018-12-31,"Mater Infirmorum","Elderly Care","Geriatric Medicine",1917,21,1854,20,202,0,0,0,0
"BHSCT",2018-12-31,"Mater Infirmorum","Elderly Care","Old Age Psychiatry",1101,12,1101,12,3,0,0,0,0
"BHSCT",2018-12-31,"Mater Infirmorum","Mental Health","Mental Illness",4003,44,3915,43,86,15,0,0,0
"BHSCT",2018-12-31,"Muckamore Abbey","Learning Disability","Learning Disability",7662,83,7618,83,6,0,0,0,0
"BHSCT",2018-12-31,"Musgrave Park","Acute Services","Neurology",2116,23,1743,19,122,5,112,10,0
"BHSCT",2018-12-31,"Musgrave Park","Acute Services","Paediatric Neurology",0,0,0,0,0,55,0,0,0
"BHSCT",2018-12-31,"Musgrave Park","Acute Services","Rehabilitation",4124,45,3328,36,65,177,26,39,0
"BHSCT",2018-12-31,"Musgrave Park","Acute Services","Rheumatology",1371,15,945,10,169,40,144,25,0
"BHSCT",2018-12-31,"Musgrave Park","Acute Services","Trauma & Orthopaedics Surgery",11104,121,5219,57,1173,1107,1067,106,0
"BHSCT",2018-12-31,"Musgrave Park","Elderly Care","Geriatric Medicine",4427,48,4082,44,77,0,0,0,0
"BHSCT",2018-12-31,"NI Cancer Centre","Acute Services","Clinical Oncology",2764,30,2764,30,383,1307,180,203,1157
"BHSCT",2018-12-31,"NI Cancer Centre","Acute Services","Haematology Clinical",954,10,954,10,240,12,28,212,0
"BHSCT",2018-12-31,"NI Cancer Centre","Acute Services","Medical Oncology",1955,21,1661,18,332,1884,83,249,1665
"BHSCT",2018-12-31,"RBHSC","Acute Services","Anaesthetics",1108,12,820,9,20,1,5,15,0
"BHSCT",2018-12-31,"RBHSC","Acute Services","Cardiology",623,7,623,7,68,25,26,42,0
"BHSCT",2018-12-31,"RBHSC","Acute Services","Dermatology",0,0,0,0,0,1,0,0,0
"BHSCT",2018-12-31,"RBHSC","Acute Services","Ear Nose Throat",74,1,74,1,47,48,24,23,0
"BHSCT",2018-12-31,"RBHSC","Acute Services","Haematology Clinical",363,4,363,4,53,315,44,9,0
"BHSCT",2018-12-31,"RBHSC","Acute Services","Medical Oncology",376,4,376,4,55,83,45,10,0
"BHSCT",2018-12-31,"RBHSC","Acute Services","Nephrology",135,2,135,2,24,174,16,8,0
"BHSCT",2018-12-31,"RBHSC","Acute Services","Neurosurgery",255,3,255,3,40,2,18,22,0
"BHSCT",2018-12-31,"RBHSC","Acute Services","Ophthalmology",14,0,14,0,8,3,2,6,0
"BHSCT",2018-12-31,"RBHSC","Acute Services","Paediatric Dentistry",5,0,5,0,4,94,4,0,0
"BHSCT",2018-12-31,"RBHSC","Acute Services","Paediatric Neurology",403,4,403,4,52,18,18,34,0
"BHSCT",2018-12-31,"RBHSC","Acute Services","Paediatric Surgery",536,6,536,6,189,160,56,133,0
"BHSCT",2018-12-31,"RBHSC","Acute Services","Paediatrics",4168,45,2959,32,1097,151,74,1023,0
"BHSCT",2018-12-31,"RBHSC","Acute Services","Plastic Surgery",63,1,63,1,30,111,14,16,0
"BHSCT",2018-12-31,"RBHSC","Acute Services","Trauma & Orthopaedics Surgery",396,4,396,4,126,50,64,62,0
"BHSCT",2018-12-31,"Royal Maternity","Acute Services","Paediatrics",2484,27,1844,20,112,0,0,112,0
"BHSCT",2018-12-31,"Royal Maternity","Maternity & Child Health","Obstetrics",4508,49,4091,45,1532,49,0,0,0
"BHSCT",2018-12-31,"Royal Maternity","Maternity & Child Health","Well Babies Paed",3128,34,1705,19,988,0,0,0,0
"BHSCT",2018-12-31,"Royal Victoria","Acute Services","Accident & Emergency",1637,18,1422,16,752,456,3,749,0
"BHSCT",2018-12-31,"Royal Victoria","Acute Services","Anaesthetics",2695,29,2303,25,87,3,1,86,0
"BHSCT",2018-12-31,"Royal Victoria","Acute Services","Cardiac Surgery",3724,41,2600,28,236,0,196,40,0
"BHSCT",2018-12-31,"Royal Victoria","Acute Services","Cardiology",5306,58,4305,47,1576,510,493,1083,0
"BHSCT",2018-12-31,"Royal Victoria","Acute Services","Dermatology",0,0,0,0,0,57,0,0,0
"BHSCT",2018-12-31,"Royal Victoria","Acute Services","Ear Nose Throat",2658,29,2170,24,404,508,212,192,0
"BHSCT",2018-12-31,"Royal Victoria","Acute Services","Endocrinology",1281,14,1180,13,205,56,28,177,0
"BHSCT",2018-12-31,"Royal Victoria","Acute Services","Gastroenterology",3546,39,3224,35,506,2388,111,395,0
"BHSCT",2018-12-31,"Royal Victoria","Acute Services","General Medicine",8937,97,6685,73,978,438,38,940,0
"BHSCT",2018-12-31,"Royal Victoria","Acute Services","General Surgery",7787,85,7145,78,1327,412,215,1112,0
"BHSCT",2018-12-31,"Royal Victoria","Acute Services","Genito-Urinary Medicine",51,1,51,1,5,0,2,3,0
"BHSCT",2018-12-31,"Royal Victoria","Acute Services","Gynaecology",0,0,0,0,0,1,0,0,0
"BHSCT",2018-12-31,"Royal Victoria","Acute Services","Infectious Diseases",200,2,200,2,18,0,3,15,0
"BHSCT",2018-12-31,"Royal Victoria","Acute Services","Neurology",1916,21,1860,20,152,265,88,64,0
"BHSCT",2018-12-31,"Royal Victoria","Acute Services","Neurosurgery",3158,34,2535,28,307,80,155,152,0
"BHSCT",2018-12-31,"Royal Victoria","Acute Services","Ophthalmology",933,10,446,5,186,2250,110,76,0
"BHSCT",2018-12-31,"Royal Victoria","Acute Services","Oral Surgery",0,0,0,0,2,14,2,0,0
"BHSCT",2018-12-31,"Royal Victoria","Acute Services","Plastic Surgery",529,6,474,5,60,106,31,29,0
"BHSCT",2018-12-31,"Royal Victoria","Acute Services","Radiology",0,0,0,0,1,65,1,0,0
"BHSCT",2018-12-31,"Royal Victoria","Acute Services","Restorative Dentistry",0,0,0,0,2,0,2,0,0
"BHSCT",2018-12-31,"Royal Victoria","Acute Services","Thoracic Medicine",5361,58,4507,49,562,11,7,555,0
"BHSCT",2018-12-31,"Royal Victoria","Acute Services","Thoracic Surgery",1453,16,1196,13,246,69,190,56,0
"BHSCT",2018-12-31,"Royal Victoria","Acute Services","Trauma & Orthopaedics Surgery",9112,99,8806,96,752,108,122,630,0
"BHSCT",2018-12-31,"Royal Victoria","Elderly Care","Geriatric Medicine",2694,29,2694,29,597,0,0,0,0
"BHSCT",2018-12-31,"School of Dentistry","Acute Services","Oral Surgery",0,0,0,0,0,72,0,0,0
"BHSCT",2018-12-31,"School of Dentistry","Acute Services","Restorative Dentistry",0,0,0,0,0,85,0,0,0
"NHSCT",2018-12-31,"Antrim","Acute Services","Accident & Emergency",516,6,263,3,591,0,0,591,0
"NHSCT",2018-12-31,"Antrim","Acute Services","Cardiology",3417,37,3171,35,558,39,12,546,1
"NHSCT",2018-12-31,"Antrim","Acute Services","Clinical Oncology",0,0,0,0,0,621,0,0,550
"NHSCT",2018-12-31,"Antrim","Acute Services","Dermatology",0,0,0,0,0,115,0,0,0
"NHSCT",2018-12-31,"Antrim","Acute Services","Ear Nose Throat",419,5,419,5,266,119,121,145,0
"NHSCT",2018-12-31,"Antrim","Acute Services","Endocrinology",0,0,0,0,7,0,0,7,0
"NHSCT",2018-12-31,"Antrim","Acute Services","Gastroenterology",3605,39,3493,38,532,662,51,481,1
"NHSCT",2018-12-31,"Antrim","Acute Services","General Medicine",9261,101,8451,92,1332,11,17,1315,2
"NHSCT",2018-12-31,"Antrim","Acute Services","General Practice Other",0,0,0,0,0,136,0,0,0
"NHSCT",2018-12-31,"Antrim","Acute Services","General Surgery",6718,73,5681,62,1256,386,261,995,0
"NHSCT",2018-12-31,"Antrim","Acute Services","Gynaecology",647,7,514,6,242,141,129,113,0
"NHSCT",2018-12-31,"Antrim","Acute Services","Haematology Clinical",781,9,772,8,74,732,26,48,587
"NHSCT",2018-12-31,"Antrim","Acute Services","Medical Oncology",0,0,0,0,1,246,0,1,221
"NHSCT",2018-12-31,"Antrim","Acute Services","Nephrology",2424,26,546,6,63,4517,34,29,4515
"NHSCT",2018-12-31,"Antrim","Acute Services","Neurology",0,0,0,0,0,3,0,0,0
"NHSCT",2018-12-31,"Antrim","Acute Services","Paediatrics",3324,36,2357,26,1334,0,22,1312,0
"NHSCT",2018-12-31,"Antrim","Acute Services","Palliative Medicine",1110,12,935,10,73,0,32,41,0
"NHSCT",2018-12-31,"Antrim","Acute Services","Rheumatology",107,1,54,1,8,0,7,1,0
"NHSCT",2018-12-31,"Antrim","Acute Services","Thoracic Medicine",6704,73,6494,71,817,109,15,802,0
"NHSCT",2018-12-31,"Antrim","Elderly Care","Geriatric Medicine",2905,32,2848,31,557,0,0,0,0
"NHSCT",2018-12-31,"Antrim","Maternity & Child Health","Obstetrics",3617,39,2103,23,809,0,0,0,0
"NHSCT",2018-12-31,"Antrim","Maternity & Child Health","Well Babies Obs",2416,26,862,9,445,0,0,0,0
"NHSCT",2018-12-31,"Braid Valley","Acute Services","Dermatology",0,0,0,0,0,23,0,0,0
"NHSCT",2018-12-31,"Causeway","Acute Services","Cardiology",1437,16,1345,15,262,0,28,234,0
"NHSCT",2018-12-31,"Causeway","Acute Services","Dermatology",0,0,0,0,0,125,0,0,0
"NHSCT",2018-12-31,"Causeway","Acute Services","Ear Nose Throat",0,0,0,0,0,48,0,0,0
"NHSCT",2018-12-31,"Causeway","Acute Services","Endocrinology",227,3,227,3,32,0,1,31,0
"NHSCT",2018-12-31,"Causeway","Acute Services","Gastroenterology",348,4,348,4,71,348,7,64,0
"NHSCT",2018-12-31,"Causeway","Acute Services","General Medicine",6799,74,6395,70,986,0,10,976,0
"NHSCT",2018-12-31,"Causeway","Acute Services","General Practice Other",0,0,0,0,0,133,0,0,0
"NHSCT",2018-12-31,"Causeway","Acute Services","General Surgery",3762,41,3027,33,607,471,144,463,0
"NHSCT",2018-12-31,"Causeway","Acute Services","Geriatric Medicine",0,0,0,0,2,0,1,1,0
"NHSCT",2018-12-31,"Causeway","Acute Services","Gynaecology",456,5,340,4,138,149,86,52,0
"NHSCT",2018-12-31,"Causeway","Acute Services","Haematology Clinical",0,0,0,0,0,18,0,0,0
"NHSCT",2018-12-31,"Causeway","Acute Services","Paediatrics",1125,12,317,3,396,0,46,350,0
"NHSCT",2018-12-31,"Causeway","Acute Services","Pain Management",0,0,0,0,0,97,0,0,0
"NHSCT",2018-12-31,"Causeway","Acute Services","Thoracic Medicine",326,4,326,4,70,25,5,65,0
"NHSCT",2018-12-31,"Causeway","Acute Services","Urology",0,0,0,0,0,458,0,0,0
"NHSCT",2018-12-31,"Causeway","Elderly Care","Geriatric Medicine",1850,20,1615,18,145,0,0,0,0
"NHSCT",2018-12-31,"Causeway","Elderly Care","Old Age Psychiatry",0,0,0,0,0,0,0,0,0
"NHSCT",2018-12-31,"Causeway","Maternity & Child Health","Obstetrics",1792,20,521,6,283,0,0,0,0
"NHSCT",2018-12-31,"Causeway","Maternity & Child Health","Well Babies Obs",1828,20,337,4,224,0,0,0,0
"NHSCT",2018-12-31,"Causeway","Mental Health","Mental Illness",1840,20,1902,21,45,0,0,0,0
"NHSCT",2018-12-31,"Dalriada","Acute Services","General Practice Other",2944,32,1931,21,94,0,28,66,0
"NHSCT",2018-12-31,"Holywell","Elderly Care","Old Age Psychiatry",3680,40,3090,34,23,0,0,0,0
"NHSCT",2018-12-31,"Holywell","Mental Health","Mental Illness",7084,77,7418,81,174,0,0,0,0
"NHSCT",2018-12-31,"Mid Ulster","Acute Services","Ear Nose Throat",0,0,0,0,0,69,0,0,0
"NHSCT",2018-12-31,"Mid Ulster","Acute Services","Gastroenterology",0,0,0,0,0,366,0,0,0
"NHSCT",2018-12-31,"Mid Ulster","Acute Services","General Practice Other",2025,22,1672,18,69,0,2,67,0
"NHSCT",2018-12-31,"Mid Ulster","Acute Services","General Surgery",0,0,0,0,0,464,0,0,0
"NHSCT",2018-12-31,"Mid Ulster","Acute Services","Gynaecology",0,0,0,0,0,38,0,0,0
"NHSCT",2018-12-31,"Mid Ulster","Acute Services","Ophthalmology",0,0,0,0,0,144,0,0,0
"NHSCT",2018-12-31,"Mid Ulster","Acute Services","Pain Management",0,0,0,0,0,112,0,0,0
"NHSCT",2018-12-31,"Mid Ulster","Acute Services","Urology",0,0,0,0,0,82,0,0,0
"NHSCT",2018-12-31,"Moyle","Acute Services","General Practice Other",1658,18,1483,16,58,0,0,58,0
"NHSCT",2018-12-31,"Robinson Memorial","Acute Services","General Practice Other",1931,21,1665,18,84,0,0,84,0
"NHSCT",2018-12-31,"Whiteabbey","Acute Services","Dermatology",0,0,0,0,0,119,0,0,0
"NHSCT",2018-12-31,"Whiteabbey","Acute Services","Ear Nose Throat",0,0,0,0,0,54,0,0,0
"NHSCT",2018-12-31,"Whiteabbey","Acute Services","Gastroenterology",0,0,0,0,0,770,0,0,0
"NHSCT",2018-12-31,"Whiteabbey","Acute Services","General Surgery",0,0,0,0,0,559,0,0,0
"NHSCT",2018-12-31,"Whiteabbey","Acute Services","Gynaecology",0,0,0,0,0,150,0,0,0
"NHSCT",2018-12-31,"Whiteabbey","Acute Services","Pain Management",0,0,0,0,0,19,0,0,0
"NHSCT",2018-12-31,"Whiteabbey","Elderly Care","Geriatric Medicine",4048,44,3744,41,155,0,0,0,0
"SEHSCT",2018-12-31,"Ards","Acute Services","General Practice Other",124,1,21,0,1,0,0,1,0
"SEHSCT",2018-12-31,"Ards","Elderly Care","Geriatric Medicine",1717,19,1717,19,71,0,0,0,0
"SEHSCT",2018-12-31,"Downe","Acute Services","Ear Nose Throat",0,0,0,0,0,19,0,0,0
"SEHSCT",2018-12-31,"Downe","Acute Services","General Medicine",3591,39,3353,36,612,165,7,605,0
"SEHSCT",2018-12-31,"Downe","Acute Services","General Practice Other",0,0,0,0,0,63,0,0,0
"SEHSCT",2018-12-31,"Downe","Acute Services","General Surgery",0,0,0,0,0,291,0,0,0
"SEHSCT",2018-12-31,"Downe","Acute Services","Ophthalmology",0,0,0,0,0,178,0,0,0
"SEHSCT",2018-12-31,"Downe","Acute Services","Oral Surgery",0,0,0,0,0,46,0,0,0
"SEHSCT",2018-12-31,"Downe","Acute Services","Trauma & Orthopaedics Surgery",0,0,0,0,0,18,0,0,0
"SEHSCT",2018-12-31,"Downe","Acute Services","Urology",0,0,0,0,0,126,0,0,0
"SEHSCT",2018-12-31,"Downe","Elderly Care","Geriatric Medicine",355,4,231,3,14,0,0,0,0
"SEHSCT",2018-12-31,"Downshire","Elderly Care","Old Age Psychiatry",1840,20,1310,14,16,0,0,0,0
"SEHSCT",2018-12-31,"Downshire","Mental Health","Mental Illness",4784,52,4820,52,105,0,0,0,0
"SEHSCT",2018-12-31,"Lagan Valley","Acute Services","Cardiology",657,7,657,7,82,114,0,82,0
"SEHSCT",2018-12-31,"Lagan Valley","Acute Services","Ear Nose Throat",0,0,0,0,0,16,0,0,0
"SEHSCT",2018-12-31,"Lagan Valley","Acute Services","General Medicine",5556,60,4884,53,805,539,8,797,0
"SEHSCT",2018-12-31,"Lagan Valley","Acute Services","General Practice Other",0,0,0,0,0,84,0,0,0
"SEHSCT",2018-12-31,"Lagan Valley","Acute Services","General Surgery",1,0,1,0,1,274,1,0,0
"SEHSCT",2018-12-31,"Lagan Valley","Acute Services","Gynaecology",0,0,0,0,0,225,0,0,0
"SEHSCT",2018-12-31,"Lagan Valley","Acute Services","Neurology",0,0,0,0,0,90,0,0,0
"SEHSCT",2018-12-31,"Lagan Valley","Acute Services","Ophthalmology",0,0,0,0,0,223,0,0,0
"SEHSCT",2018-12-31,"Lagan Valley","Acute Services","Plastic Surgery",0,0,0,0,0,269,0,0,0
"SEHSCT",2018-12-31,"Lagan Valley","Acute Services","Urology",0,0,0,0,0,313,0,0,0
"SEHSCT",2018-12-31,"Lagan Valley","Elderly Care","Geriatric Medicine",1988,22,1530,17,107,0,0,0,0
"SEHSCT",2018-12-31,"Lagan Valley PNU","Elderly Care","Old Age Psychiatry",1472,16,1290,14,24,0,0,0,0
"SEHSCT",2018-12-31,"Lagan Valley PNU","Mental Health","Mental Illness",1840,20,1781,19,76,0,0,0,0
"SEHSCT",2018-12-31,"Thompson House","Acute Services","Neurology",3312,36,2221,24,69,0,56,13,0
"SEHSCT",2018-12-31,"Ulster","Acute Services","Accident & Emergency",784,9,495,5,419,0,0,419,0
"SEHSCT",2018-12-31,"Ulster","Acute Services","Anaesthetics",995,11,716,8,38,0,1,37,0
"SEHSCT",2018-12-31,"Ulster","Acute Services","Cardiology",3129,34,2958,32,503,352,22,481,0
"SEHSCT",2018-12-31,"Ulster","Acute Services","Clinical Oncology",0,0,0,0,0,1013,0,0,892
"SEHSCT",2018-12-31,"Ulster","Acute Services","Dermatology",0,0,0,0,0,709,0,0,0
"SEHSCT",2018-12-31,"Ulster","Acute Services","Ear Nose Throat",201,2,54,1,75,110,66,9,0
"SEHSCT",2018-12-31,"Ulster","Acute Services","General Medicine",20861,227,20066,218,3172,1334,49,3123,2
"SEHSCT",2018-12-31,"Ulster","Acute Services","General Practice Other",0,0,0,0,0,198,0,0,0
"SEHSCT",2018-12-31,"Ulster","Acute Services","General Surgery",4958,54,4308,47,1067,646,327,740,0
"SEHSCT",2018-12-31,"Ulster","Acute Services","Gynaecology",1158,13,756,8,343,63,157,186,0
"SEHSCT",2018-12-31,"Ulster","Acute Services","Haematology Clinical",791,9,777,8,95,670,35,60,618
"SEHSCT",2018-12-31,"Ulster","Acute Services","Nephrology",125,1,125,1,23,4153,7,16,4136
"SEHSCT",2018-12-31,"Ulster","Acute Services","Neurology",0,0,0,0,1,25,0,1,0
"SEHSCT",2018-12-31,"Ulster","Acute Services","Oral Surgery",691,8,569,6,194,96,79,115,0
"SEHSCT",2018-12-31,"Ulster","Acute Services","Paediatric Surgery",5,0,5,0,4,129,4,0,0
"SEHSCT",2018-12-31,"Ulster","Acute Services","Paediatrics",3271,36,2047,22,1199,148,1,1198,0
"SEHSCT",2018-12-31,"Ulster","Acute Services","Pain Management",0,0,0,0,1,230,0,1,0
"SEHSCT",2018-12-31,"Ulster","Acute Services","Plastic Surgery",1421,15,978,11,562,347,151,411,0
"SEHSCT",2018-12-31,"Ulster","Acute Services","Rheumatology",107,1,107,1,19,169,0,19,0
"SEHSCT",2018-12-31,"Ulster","Acute Services","Trauma & Orthopaedics Surgery",3666,40,2982,32,389,4,117,272,0
"SEHSCT",2018-12-31,"Ulster","Acute Services","Urology",1211,13,1211,13,395,649,199,196,0
"SEHSCT",2018-12-31,"Ulster","Elderly Care","Geriatric Medicine",6640,72,6433,70,572,27,0,0,0
"SEHSCT",2018-12-31,"Ulster","Maternity & Child Health","Obstetrics",4075,44,2841,31,1188,0,0,0,0
"SEHSCT",2018-12-31,"Ulster","Maternity & Child Health","Well Babies Obs",3227,35,1643,18,941,0,0,0,0
"SEHSCT",2018-12-31,"Ulster MHU","Mental Health","Mental Illness",2208,24,2217,24,35,0,0,0,0
"SHSCT",2018-12-31,"Banbridge","Acute Services","Rheumatology",0,0,0,0,0,142,0,0,0
"SHSCT",2018-12-31,"Bluestone","Elderly Care","Old Age Psychiatry",1288,14,566,6,7,0,0,0,0
"SHSCT",2018-12-31,"Bluestone","Learning Disability","Learning Disability",920,10,939,10,15,0,0,0,0
"SHSCT",2018-12-31,"Bluestone","Mental Health","Mental Illness",6440,70,6434,70,255,0,0,0,0
"SHSCT",2018-12-31,"Craigavon Area","Acute Services","Accident & Emergency",289,3,197,2,671,0,0,671,0
"SHSCT",2018-12-31,"Craigavon Area","Acute Services","Anaesthetics",840,9,709,8,43,1,0,43,0
"SHSCT",2018-12-31,"Craigavon Area","Acute Services","Cardiology",2844,31,2781,30,458,585,39,419,0
"SHSCT",2018-12-31,"Craigavon Area","Acute Services","Clinical Oncology",0,0,0,0,0,733,0,0,514
"SHSCT",2018-12-31,"Craigavon Area","Acute Services","Dermatology",0,0,0,0,0,323,0,0,0
"SHSCT",2018-12-31,"Craigavon Area","Acute Services","Ear Nose Throat",771,8,620,7,280,197,128,152,0
"SHSCT",2018-12-31,"Craigavon Area","Acute Services","Gastroenterology",0,0,0,0,1,413,0,1,0
"SHSCT",2018-12-31,"Craigavon Area","Acute Services","General Medicine",13167,143,12678,138,2279,252,25,2254,1
"SHSCT",2018-12-31,"Craigavon Area","Acute Services","General Surgery",5713,62,5149,56,1027,673,216,811,0
"SHSCT",2018-12-31,"Craigavon Area","Acute Services","Gynaecology",577,6,404,4,266,160,118,148,0
"SHSCT",2018-12-31,"Craigavon Area","Acute Services","Haematology Clinical",937,10,934,10,77,701,24,53,327
"SHSCT",2018-12-31,"Craigavon Area","Acute Services","Medical Oncology",0,0,0,0,0,143,0,0,101
"SHSCT",2018-12-31,"Craigavon Area","Acute Services","Neurology",0,0,0,0,0,221,0,0,0
"SHSCT",2018-12-31,"Craigavon Area","Acute Services","Oral Surgery",0,0,0,0,0,3,0,0,0
"SHSCT",2018-12-31,"Craigavon Area","Acute Services","Paediatrics",2587,28,2230,24,961,5,9,952,0
"SHSCT",2018-12-31,"Craigavon Area","Acute Services","Pain Management",0,0,0,0,0,1,0,0,0
"SHSCT",2018-12-31,"Craigavon Area","Acute Services","Rheumatology",0,0,0,0,0,545,0,0,0
"SHSCT",2018-12-31,"Craigavon Area","Acute Services","Thoracic Medicine",0,0,0,0,0,87,0,0,0
"SHSCT",2018-12-31,"Craigavon Area","Acute Services","Trauma & Orthopaedics Surgery",3850,42,3315,36,708,200,284,424,0
"SHSCT",2018-12-31,"Craigavon Area","Acute Services","Urology",2012,22,1980,22,475,1051,238,237,136
"SHSCT",2018-12-31,"Craigavon Area","Elderly Care","Geriatric Medicine",3280,36,3012,33,494,0,0,0,0
"SHSCT",2018-12-31,"Craigavon Area","Maternity & Child Health","Obstetrics",4234,46,2715,30,1198,0,0,0,0
"SHSCT",2018-12-31,"Craigavon Area","Maternity & Child Health","Well Babies Paed",2862,31,1689,18,983,0,0,0,0
"SHSCT",2018-12-31,"Daisy Hill","Acute Services","Cardiology",837,9,812,9,137,0,2,135,0
"SHSCT",2018-12-31,"Daisy Hill","Acute Services","Dermatology",0,0,0,0,0,37,0,0,0
"SHSCT",2018-12-31,"Daisy Hill","Acute Services","Ear Nose Throat",4,0,4,0,3,232,3,0,0
"SHSCT",2018-12-31,"Daisy Hill","Acute Services","Gastroenterology",0,0,0,0,0,380,0,0,0
"SHSCT",2018-12-31,"Daisy Hill","Acute Services","General Medicine",8291,90,7977,87,1600,218,6,1594,0
