"ltla_code","date","age_group","delay_reason","num_delayed_bed_days","average_daily_delayed_beds"
"S12000013",2016-09-01,"18plus","Code 9 AWI",81,3
"S12000013",2016-09-01,"18plus","Code 9 Non-AWI",449,15
"S12000013",2016-09-01,"18-74","All Delay Reasons",198,7
"S12000013",2016-09-01,"18-74","Health and Social Care Reasons",149,5
"S12000013",2016-09-01,"18-74","Patient and Family Related Reasons",0,0
"S12000013",2016-09-01,"18-74","Code 9 AWI",49,2
"S12000013",2016-09-01,"18-74","Code 9 Non-AWI",0,0
"S12000013",2016-09-01,"75plus","All Delay Reasons",608,20
"S12000013",2016-09-01,"75plus","Health and Social Care Reasons",127,4
"S12000013",2016-09-01,"75plus","Patient and Family Related Reasons",0,0
"S12000013",2016-09-01,"75plus","Code 9 AWI",32,1
"S12000013",2016-09-01,"75plus","Code 9 Non-AWI",449,15
"S12000014",2016-09-01,"18plus","All Delay Reasons",1862,62
"S12000014",2016-09-01,"18plus","Health and Social Care Reasons",1468,49
"S12000014",2016-09-01,"18plus","Patient and Family Related Reasons",18,1
"S12000014",2016-09-01,"18plus","Code 9 AWI",211,7
"S12000014",2016-09-01,"18plus","Code 9 Non-AWI",165,6
"S12000014",2016-09-01,"18-74","All Delay Reasons",535,18
"S12000014",2016-09-01,"18-74","Health and Social Care Reasons",353,12
"S12000014",2016-09-01,"18-74","Patient and Family Related Reasons",16,1
"S12000014",2016-09-01,"18-74","Code 9 AWI",1,0
"S12000014",2016-09-01,"18-74","Code 9 Non-AWI",165,6
"S12000014",2016-09-01,"75plus","All Delay Reasons",1327,44
"S12000014",2016-09-01,"75plus","Health and Social Care Reasons",1115,37
"S12000014",2016-09-01,"75plus","Patient and Family Related Reasons",2,0
"S12000014",2016-09-01,"75plus","Code 9 AWI",210,7
"S12000014",2016-09-01,"75plus","Code 9 Non-AWI",0,0
"S12000017",2016-09-01,"18plus","All Delay Reasons",3738,125
"S12000017",2016-09-01,"18plus","Health and Social Care Reasons",1624,54
"S12000017",2016-09-01,"18plus","Patient and Family Related Reasons",565,19
"S12000017",2016-09-01,"18plus","Code 9 AWI",536,18
"S12000017",2016-09-01,"18plus","Code 9 Non-AWI",1013,34
"S12000017",2016-09-01,"18-74","All Delay Reasons",897,30
"S12000017",2016-09-01,"18-74","Health and Social Care Reasons",355,12
"S12000017",2016-09-01,"18-74","Patient and Family Related Reasons",106,4
"S12000017",2016-09-01,"18-74","Code 9 AWI",36,1
"S12000017",2016-09-01,"18-74","Code 9 Non-AWI",400,13
"S12000017",2016-09-01,"75plus","All Delay Reasons",2841,95
"S12000017",2016-09-01,"75plus","Health and Social Care Reasons",1269,42
"S12000017",2016-09-01,"75plus","Patient and Family Related Reasons",459,15
"S12000017",2016-09-01,"75plus","Code 9 AWI",500,17
"S12000017",2016-09-01,"75plus","Code 9 Non-AWI",613,20
"S12000018",2016-09-01,"18plus","All Delay Reasons",254,8
"S12000018",2016-09-01,"18plus","Health and Social Care Reasons",185,6
"S12000018",2016-09-01,"18plus","Patient and Family Related Reasons",0,0
"S12000018",2016-09-01,"18plus","Code 9 AWI",0,0
"S12000018",2016-09-01,"18plus","Code 9 Non-AWI",69,2
"S12000018",2016-09-01,"18-74","All Delay Reasons",105,4
"S12000018",2016-09-01,"18-74","Health and Social Care Reasons",36,1
"S12000018",2016-09-01,"18-74","Patient and Family Related Reasons",0,0
"S12000018",2016-09-01,"18-74","Code 9 AWI",0,0
"S12000018",2016-09-01,"18-74","Code 9 Non-AWI",69,2
"S12000018",2016-09-01,"75plus","All Delay Reasons",149,5
"S12000018",2016-09-01,"75plus","Health and Social Care Reasons",149,5
"S12000018",2016-09-01,"75plus","Patient and Family Related Reasons",0,0
"S12000018",2016-09-01,"75plus","Code 9 AWI",0,0
"S12000018",2016-09-01,"75plus","Code 9 Non-AWI",0,0
"S12000019",2016-09-01,"18plus","All Delay Reasons",1021,34
"S12000019",2016-09-01,"18plus","Health and Social Care Reasons",819,27
"S12000019",2016-09-01,"18plus","Patient and Family Related Reasons",0,0
"S12000019",2016-09-01,"18plus","Code 9 AWI",171,6
"S12000019",2016-09-01,"18plus","Code 9 Non-AWI",31,1
"S12000019",2016-09-01,"18-74","All Delay Reasons",260,9
"S12000019",2016-09-01,"18-74","Health and Social Care Reasons",200,7
"S12000019",2016-09-01,"18-74","Patient and Family Related Reasons",0,0
"S12000019",2016-09-01,"18-74","Code 9 AWI",60,2
"S12000019",2016-09-01,"18-74","Code 9 Non-AWI",0,0
"S12000019",2016-09-01,"75plus","All Delay Reasons",761,25
"S12000019",2016-09-01,"75plus","Health and Social Care Reasons",619,21
"S12000019",2016-09-01,"75plus","Patient and Family Related Reasons",0,0
"S12000019",2016-09-01,"75plus","Code 9 AWI",111,4
"S12000019",2016-09-01,"75plus","Code 9 Non-AWI",31,1
"S12000020",2016-09-01,"18plus","All Delay Reasons",1094,36
"S12000020",2016-09-01,"18plus","Health and Social Care Reasons",768,26
"S12000020",2016-09-01,"18plus","Patient and Family Related Reasons",57,2
"S12000020",2016-09-01,"18plus","Code 9 AWI",269,9
"S12000020",2016-09-01,"18plus","Code 9 Non-AWI",0,0
"S12000020",2016-09-01,"18-74","All Delay Reasons",270,9
"S12000020",2016-09-01,"18-74","Health and Social Care Reasons",201,7
"S12000020",2016-09-01,"18-74","Patient and Family Related Reasons",30,1
"S12000020",2016-09-01,"18-74","Code 9 AWI",39,1
"S12000020",2016-09-01,"18-74","Code 9 Non-AWI",0,0
"S12000020",2016-09-01,"75plus","All Delay Reasons",824,27
"S12000020",2016-09-01,"75plus","Health and Social Care Reasons",567,19
"S12000020",2016-09-01,"75plus","Patient and Family Related Reasons",27,1
"S12000020",2016-09-01,"75plus","Code 9 AWI",230,8
"S12000020",2016-09-01,"75plus","Code 9 Non-AWI",0,0
"S12000021",2016-09-01,"18plus","All Delay Reasons",765,26
"S12000021",2016-09-01,"18plus","Health and Social Care Reasons",685,23
"S12000021",2016-09-01,"18plus","Patient and Family Related Reasons",0,0
"S12000021",2016-09-01,"18plus","Code 9 AWI",60,2
"S12000021",2016-09-01,"18plus","Code 9 Non-AWI",20,1
"S12000021",2016-09-01,"18-74","All Delay Reasons",89,3
"S12000021",2016-09-01,"18-74","Health and Social Care Reasons",89,3
"S12000021",2016-09-01,"18-74","Patient and Family Related Reasons",0,0
"S12000021",2016-09-01,"18-74","Code 9 AWI",0,0
"S12000021",2016-09-01,"18-74","Code 9 Non-AWI",0,0
"S12000021",2016-09-01,"75plus","All Delay Reasons",676,23
"S12000021",2016-09-01,"75plus","Health and Social Care Reasons",596,20
"S12000021",2016-09-01,"75plus","Patient and Family Related Reasons",0,0
"S12000021",2016-09-01,"75plus","Code 9 AWI",60,2
"S12000021",2016-09-01,"75plus","Code 9 Non-AWI",20,1
"S12000023",2016-09-01,"18plus","All Delay Reasons",122,4
"S12000023",2016-09-01,"18plus","Health and Social Care Reasons",122,4
"S12000023",2016-09-01,"18plus","Patient and Family Related Reasons",0,0
"S12000023",2016-09-01,"18plus","Code 9 AWI",0,0
"S12000023",2016-09-01,"18plus","Code 9 Non-AWI",0,0
"S12000023",2016-09-01,"18-74","All Delay Reasons",27,1
"S12000023",2016-09-01,"18-74","Health and Social Care Reasons",27,1
"S12000023",2016-09-01,"18-74","Patient and Family Related Reasons",0,0
"S12000023",2016-09-01,"18-74","Code 9 AWI",0,0
"S12000023",2016-09-01,"18-74","Code 9 Non-AWI",0,0
"S12000023",2016-09-01,"75plus","All Delay Reasons",95,3
"S12000023",2016-09-01,"75plus","Health and Social Care Reasons",95,3
"S12000023",2016-09-01,"75plus","Patient and Family Related Reasons",0,0
"S12000023",2016-09-01,"75plus","Code 9 AWI",0,0
"S12000023",2016-09-01,"75plus","Code 9 Non-AWI",0,0
"S12000026",2016-09-01,"18plus","All Delay Reasons",797,27
"S12000026",2016-09-01,"18plus","Health and Social Care Reasons",529,18
"S12000026",2016-09-01,"18plus","Patient and Family Related Reasons",69,2
"S12000026",2016-09-01,"18plus","Code 9 AWI",140,5
"S12000026",2016-09-01,"18plus","Code 9 Non-AWI",59,2
"S12000026",2016-09-01,"18-74","All Delay Reasons",227,8
"S12000026",2016-09-01,"18-74","Health and Social Care Reasons",107,4
"S12000026",2016-09-01,"18-74","Patient and Family Related Reasons",52,2
"S12000026",2016-09-01,"18-74","Code 9 AWI",10,0
"S12000026",2016-09-01,"18-74","Code 9 Non-AWI",58,2
"S12000026",2016-09-01,"75plus","All Delay Reasons",570,19
"S12000026",2016-09-01,"75plus","Health and Social Care Reasons",422,14
"S12000026",2016-09-01,"75plus","Patient and Family Related Reasons",17,1
"S12000026",2016-09-01,"75plus","Code 9 AWI",130,4
"S12000026",2016-09-01,"75plus","Code 9 Non-AWI",1,0
"S12000027",2016-09-01,"18plus","All Delay Reasons",125,4
"S12000027",2016-09-01,"18plus","Health and Social Care Reasons",125,4
"S12000027",2016-09-01,"18plus","Patient and Family Related Reasons",0,0
"S12000027",2016-09-01,"18plus","Code 9 AWI",0,0
"S12000027",2016-09-01,"18plus","Code 9 Non-AWI",0,0
"S12000027",2016-09-01,"18-74","All Delay Reasons",18,1
"S12000027",2016-09-01,"18-74","Health and Social Care Reasons",18,1
"S12000027",2016-09-01,"18-74","Patient and Family Related Reasons",0,0
"S12000027",2016-09-01,"18-74","Code 9 AWI",0,0
"S12000027",2016-09-01,"18-74","Code 9 Non-AWI",0,0
"S12000027",2016-09-01,"75plus","All Delay Reasons",107,4
"S12000027",2016-09-01,"75plus","Health and Social Care Reasons",107,4
"S12000027",2016-09-01,"75plus","Patient and Family Related Reasons",0,0
"S12000027",2016-09-01,"75plus","Code 9 AWI",0,0
"S12000027",2016-09-01,"75plus","Code 9 Non-AWI",0,0
"S12000028",2016-09-01,"18plus","All Delay Reasons",1504,50
"S12000028",2016-09-01,"18plus","Health and Social Care Reasons",1165,39
"S12000028",2016-09-01,"18plus","Patient and Family Related Reasons",27,1
"S12000028",2016-09-01,"18plus","Code 9 AWI",312,10
"S12000028",2016-09-01,"18plus","Code 9 Non-AWI",0,0
"S12000028",2016-09-01,"18-74","All Delay Reasons",348,12
"S12000028",2016-09-01,"18-74","Health and Social Care Reasons",233,8
"S12000028",2016-09-01,"18-74","Patient and Family Related Reasons",0,0
"S12000028",2016-09-01,"18-74","Code 9 AWI",115,4
"S12000028",2016-09-01,"18-74","Code 9 Non-AWI",0,0
"S12000028",2016-09-01,"75plus","All Delay Reasons",1156,39
"S12000028",2016-09-01,"75plus","Health and Social Care Reasons",932,31
"S12000028",2016-09-01,"75plus","Patient and Family Related Reasons",27,1
"S12000028",2016-09-01,"75plus","Code 9 AWI",197,7
"S12000028",2016-09-01,"75plus","Code 9 Non-AWI",0,0
"S12000029",2016-09-01,"18plus","All Delay Reasons",3696,123
"S12000029",2016-09-01,"18plus","Health and Social Care Reasons",2961,99
"S12000029",2016-09-01,"18plus","Patient and Family Related Reasons",173,6
"S12000029",2016-09-01,"18plus","Code 9 AWI",424,14
"S12000029",2016-09-01,"18plus","Code 9 Non-AWI",138,5
"S12000029",2016-09-01,"18-74","All Delay Reasons",983,33
"S12000029",2016-09-01,"18-74","Health and Social Care Reasons",775,26
"S12000029",2016-09-01,"18-74","Patient and Family Related Reasons",0,0
"S12000029",2016-09-01,"18-74","Code 9 AWI",150,5
"S12000029",2016-09-01,"18-74","Code 9 Non-AWI",58,2
"S12000029",2016-09-01,"75plus","All Delay Reasons",2713,90
"S12000029",2016-09-01,"75plus","Health and Social Care Reasons",2186,73
"S12000029",2016-09-01,"75plus","Patient and Family Related Reasons",173,6
"S12000029",2016-09-01,"75plus","Code 9 AWI",274,9
"S12000029",2016-09-01,"75plus","Code 9 Non-AWI",80,3
"S12000030",2016-09-01,"18plus","All Delay Reasons",801,27
"S12000030",2016-09-01,"18plus","Health and Social Care Reasons",422,14
"S12000030",2016-09-01,"18plus","Patient and Family Related Reasons",55,2
"S12000030",2016-09-01,"18plus","Code 9 AWI",144,5
"S12000030",2016-09-01,"18plus","Code 9 Non-AWI",180,6
"S12000030",2016-09-01,"18-74","All Delay Reasons",208,7
"S12000030",2016-09-01,"18-74","Health and Social Care Reasons",28,1
"S12000030",2016-09-01,"18-74","Patient and Family Related Reasons",0,0
"S12000030",2016-09-01,"18-74","Code 9 AWI",30,1
"S12000030",2016-09-01,"18-74","Code 9 Non-AWI",150,5
"S12000030",2016-09-01,"75plus","All Delay Reasons",593,20
"S12000030",2016-09-01,"75plus","Health and Social Care Reasons",394,13
"S12000030",2016-09-01,"75plus","Patient and Family Related Reasons",55,2
"S12000030",2016-09-01,"75plus","Code 9 AWI",114,4
"S12000030",2016-09-01,"75plus","Code 9 Non-AWI",30,1
"S12000033",2016-09-01,"18plus","All Delay Reasons",2218,74
"S12000033",2016-09-01,"18plus","Health and Social Care Reasons",1849,62
"S12000033",2016-09-01,"18plus","Patient and Family Related Reasons",17,1
"S12000033",2016-09-01,"18plus","Code 9 AWI",240,8
"S12000033",2016-09-01,"18plus","Code 9 Non-AWI",112,4
"S12000033",2016-09-01,"18-74","All Delay Reasons",773,26
"S12000033",2016-09-01,"18-74","Health and Social Care Reasons",512,17
"S12000033",2016-09-01,"18-74","Patient and Family Related Reasons",0,0
"S12000033",2016-09-01,"18-74","Code 9 AWI",149,5
"S12000033",2016-09-01,"18-74","Code 9 Non-AWI",112,4
"S12000033",2016-09-01,"75plus","All Delay Reasons",1445,48
"S12000033",2016-09-01,"75plus","Health and Social Care Reasons",1337,45
"S12000033",2016-09-01,"75plus","Patient and Family Related Reasons",17,1
"S12000033",2016-09-01,"75plus","Code 9 AWI",91,3
"S12000033",2016-09-01,"75plus","Code 9 Non-AWI",0,0
"S12000034",2016-09-01,"18plus","All Delay Reasons",1587,53
"S12000034",2016-09-01,"18plus","Health and Social Care Reasons",1219,41
"S12000034",2016-09-01,"18plus","Patient and Family Related Reasons",29,1
"S12000034",2016-09-01,"18plus","Code 9 AWI",221,7
"S12000034",2016-09-01,"18plus","Code 9 Non-AWI",118,4
"S12000034",2016-09-01,"18-74","All Delay Reasons",413,14
"S12000034",2016-09-01,"18-74","Health and Social Care Reasons",332,11
"S12000034",2016-09-01,"18-74","Patient and Family Related Reasons",21,1
"S12000034",2016-09-01,"18-74","Code 9 AWI",30,1
"S12000034",2016-09-01,"18-74","Code 9 Non-AWI",30,1
"S12000034",2016-09-01,"75plus","All Delay Reasons",1174,39
"S12000034",2016-09-01,"75plus","Health and Social Care Reasons",887,30
"S12000034",2016-09-01,"75plus","Patient and Family Related Reasons",8,0
"S12000034",2016-09-01,"75plus","Code 9 AWI",191,6
"S12000034",2016-09-01,"75plus","Code 9 Non-AWI",88,3
"S12000035",2016-09-01,"18plus","All Delay Reasons",556,19
"S12000035",2016-09-01,"18plus","Health and Social Care Reasons",469,16
"S12000035",2016-09-01,"18plus","Patient and Family Related Reasons",37,1
"S12000035",2016-09-01,"18plus","Code 9 AWI",15,1
"S12000035",2016-09-01,"18plus","Code 9 Non-AWI",35,1
"S12000035",2016-09-01,"18-74","All Delay Reasons",94,3
"S12000035",2016-09-01,"18-74","Health and Social Care Reasons",61,2
"S12000035",2016-09-01,"18-74","Patient and Family Related Reasons",28,1
"S12000035",2016-09-01,"18-74","Code 9 AWI",0,0
"S12000035",2016-09-01,"18-74","Code 9 Non-AWI",5,0
"S12000035",2016-09-01,"75plus","All Delay Reasons",462,15
"S12000035",2016-09-01,"75plus","Health and Social Care Reasons",408,14
"S12000035",2016-09-01,"75plus","Patient and Family Related Reasons",9,0
"S12000035",2016-09-01,"75plus","Code 9 AWI",15,1
"S12000035",2016-09-01,"75plus","Code 9 Non-AWI",30,1
"S12000036",2016-09-01,"18plus","All Delay Reasons",6074,202
"S12000036",2016-09-01,"18plus","Health and Social Care Reasons",5352,178
"S12000036",2016-09-01,"18plus","Patient and Family Related Reasons",54,2
"S12000036",2016-09-01,"18plus","Code 9 AWI",584,19
"S12000036",2016-09-01,"18plus","Code 9 Non-AWI",84,3
"S12000036",2016-09-01,"18-74","All Delay Reasons",1774,59
"S12000036",2016-09-01,"18-74","Health and Social Care Reasons",1443,48
"S12000036",2016-09-01,"18-74","Patient and Family Related Reasons",0,0
"S12000036",2016-09-01,"18-74","Code 9 AWI",247,8
"S12000036",2016-09-01,"18-74","Code 9 Non-AWI",84,3
"S12000036",2016-09-01,"75plus","All Delay Reasons",4300,143
"S12000036",2016-09-01,"75plus","Health and Social Care Reasons",3909,130
"S12000036",2016-09-01,"75plus","Patient and Family Related Reasons",54,2
"S12000036",2016-09-01,"75plus","Code 9 AWI",337,11
"S12000036",2016-09-01,"75plus","Code 9 Non-AWI",0,0
"S12000038",2016-09-01,"18plus","All Delay Reasons",162,5
"S12000038",2016-09-01,"18plus","Health and Social Care Reasons",69,2
"S12000038",2016-09-01,"18plus","Patient and Family Related Reasons",0,0
"S12000038",2016-09-01,"18plus","Code 9 AWI",50,2
"S12000038",2016-09-01,"18plus","Code 9 Non-AWI",43,1
"S12000038",2016-09-01,"18-74","All Delay Reasons",74,2
"S12000038",2016-09-01,"18-74","Health and Social Care Reasons",1,0
"S12000038",2016-09-01,"18-74","Patient and Family Related Reasons",0,0
"S12000038",2016-09-01,"18-74","Code 9 AWI",30,1
"S12000038",2016-09-01,"18-74","Code 9 Non-AWI",43,1
"S12000038",2016-09-01,"75plus","All Delay Reasons",88,3
"S12000038",2016-09-01,"75plus","Health and Social Care Reasons",68,2
"S12000038",2016-09-01,"75plus","Patient and Family Related Reasons",0,0
"S12000038",2016-09-01,"75plus","Code 9 AWI",20,1
"S12000038",2016-09-01,"75plus","Code 9 Non-AWI",0,0
"S12000039",2016-09-01,"18plus","All Delay Reasons",205,7
"S12000039",2016-09-01,"18plus","Health and Social Care Reasons",198,7
"S12000039",2016-09-01,"18plus","Patient and Family Related Reasons",0,0
"S12000039",2016-09-01,"18plus","Code 9 AWI",7,0
"S12000039",2016-09-01,"18plus","Code 9 Non-AWI",0,0
"S12000039",2016-09-01,"18-74","All Delay Reasons",109,4
"S12000039",2016-09-01,"18-74","Health and Social Care Reasons",109,4
"S12000039",2016-09-01,"18-74","Patient and Family Related Reasons",0,0
"S12000039",2016-09-01,"18-74","Code 9 AWI",0,0
"S12000039",2016-09-01,"18-74","Code 9 Non-AWI",0,0
"S12000039",2016-09-01,"75plus","All Delay Reasons",96,3
"S12000039",2016-09-01,"75plus","Health and Social Care Reasons",89,3
"S12000039",2016-09-01,"75plus","Patient and Family Related Reasons",0,0
"S12000039",2016-09-01,"75plus","Code 9 AWI",7,0
"S12000039",2016-09-01,"75plus","Code 9 Non-AWI",0,0
"S12000040",2016-09-01,"18plus","All Delay Reasons",1014,34
"S12000040",2016-09-01,"18plus","Health and Social Care Reasons",776,26
"S12000040",2016-09-01,"18plus","Patient and Family Related Reasons",75,3
"S12000040",2016-09-01,"18plus","Code 9 AWI",163,5
"S12000040",2016-09-01,"18plus","Code 9 Non-AWI",0,0
"S12000040",2016-09-01,"18-74","All Delay Reasons",239,8
"S12000040",2016-09-01,"18-74","Health and Social Care Reasons",179,6
"S12000040",2016-09-01,"18-74","Patient and Family Related Reasons",30,1
"S12000040",2016-09-01,"18-74","Code 9 AWI",30,1
"S12000040",2016-09-01,"18-74","Code 9 Non-AWI",0,0
"S12000040",2016-09-01,"75plus","All Delay Reasons",775,26
"S12000040",2016-09-01,"75plus","Health and Social Care Reasons",597,20
"S12000040",2016-09-01,"75plus","Patient and Family Related Reasons",45,2
"S12000040",2016-09-01,"75plus","Code 9 AWI",133,4
"S12000040",2016-09-01,"75plus","Code 9 Non-AWI",0,0
"S12000041",2016-09-01,"18plus","All Delay Reasons",487,16
"S12000041",2016-09-01,"18plus","Health and Social Care Reasons",271,9
"S12000041",2016-09-01,"18plus","Patient and Family Related Reasons",2,0
"S12000041",2016-09-01,"18plus","Code 9 AWI",149,5
"S12000041",2016-09-01,"18plus","Code 9 Non-AWI",65,2
"S12000041",2016-09-01,"18-74","All Delay Reasons",188,6
"S12000041",2016-09-01,"18-74","Health and Social Care Reasons",69,2
"S12000041",2016-09-01,"18-74","Patient and Family Related Reasons",0,0
"S12000041",2016-09-01,"18-74","Code 9 AWI",59,2
"S12000041",2016-09-01,"18-74","Code 9 Non-AWI",60,2
"S12000041",2016-09-01,"75plus","All Delay Reasons",299,10
"S12000041",2016-09-01,"75plus","Health and Social Care Reasons",202,7
"S12000041",2016-09-01,"75plus","Patient and Family Related Reasons",2,0
"S12000041",2016-09-01,"75plus","Code 9 AWI",90,3
"S12000041",2016-09-01,"75plus","Code 9 Non-AWI",5,0
"S12000042",2016-09-01,"18plus","All Delay Reasons",1186,40
"S12000042",2016-09-01,"18plus","Health and Social Care Reasons",701,23
"S12000042",2016-09-01,"18plus","Patient and Family Related Reasons",22,1
"S12000042",2016-09-01,"18plus","Code 9 AWI",260,9
"S12000042",2016-09-01,"18plus","Code 9 Non-AWI",203,7
"S12000042",2016-09-01,"18-74","All Delay Reasons",488,16
"S12000042",2016-09-01,"18-74","Health and Social Care Reasons",221,7
"S12000042",2016-09-01,"18-74","Patient and Family Related Reasons",3,0
"S12000042",2016-09-01,"18-74","Code 9 AWI",114,4
"S12000042",2016-09-01,"18-74","Code 9 Non-AWI",150,5
"S12000042",2016-09-01,"75plus","All Delay Reasons",698,23
"S12000042",2016-09-01,"75plus","Health and Social Care Reasons",480,16
"S12000042",2016-09-01,"75plus","Patient and Family Related Reasons",19,1
"S12000042",2016-09-01,"75plus","Code 9 AWI",146,5
"S12000042",2016-09-01,"75plus","Code 9 Non-AWI",53,2
"S12000045",2016-09-01,"18plus","All Delay Reasons",246,8
"S12000045",2016-09-01,"18plus","Health and Social Care Reasons",216,7
"S12000045",2016-09-01,"18plus","Patient and Family Related Reasons",0,0
"S12000045",2016-09-01,"18plus","Code 9 AWI",0,0
"S12000045",2016-09-01,"18plus","Code 9 Non-AWI",30,1
"S12000045",2016-09-01,"18-74","All Delay Reasons",82,3
"S12000045",2016-09-01,"18-74","Health and Social Care Reasons",52,2
"S12000045",2016-09-01,"18-74","Patient and Family Related Reasons",0,0
"S12000045",2016-09-01,"18-74","Code 9 AWI",0,0
"S12000045",2016-09-01,"18-74","Code 9 Non-AWI",30,1
"S12000045",2016-09-01,"75plus","All Delay Reasons",164,5
"S12000045",2016-09-01,"75plus","Health and Social Care Reasons",164,5
"S12000045",2016-09-01,"75plus","Patient and Family Related Reasons",0,0
"S12000045",2016-09-01,"75plus","Code 9 AWI",0,0
"S12000045",2016-09-01,"75plus","Code 9 Non-AWI",0,0
"S12000047",2016-09-01,"18plus","All Delay Reasons",3940,131
"S12000047",2016-09-01,"18plus","Health and Social Care Reasons",2891,96
"S12000047",2016-09-01,"18plus","Patient and Family Related Reasons",105,4
"S12000047",2016-09-01,"18plus","Code 9 AWI",786,26
"S12000047",2016-09-01,"18plus","Code 9 Non-AWI",158,5
"S12000047",2016-09-01,"18-74","All Delay Reasons",1407,47
"S12000047",2016-09-01,"18-74","Health and Social Care Reasons",1010,34
"S12000047",2016-09-01,"18-74","Patient and Family Related Reasons",60,2
"S12000047",2016-09-01,"18-74","Code 9 AWI",187,6
"S12000047",2016-09-01,"18-74","Code 9 Non-AWI",150,5
"S12000047",2016-09-01,"75plus","All Delay Reasons",2533,84
"S12000047",2016-09-01,"75plus","Health and Social Care Reasons",1881,63
"S12000047",2016-09-01,"75plus","Patient and Family Related Reasons",45,2
"S12000047",2016-09-01,"75plus","Code 9 AWI",599,20
"S12000047",2016-09-01,"75plus","Code 9 Non-AWI",8,0
"S12000048",2016-09-01,"18plus","All Delay Reasons",1581,53
"S12000048",2016-09-01,"18plus","Health and Social Care Reasons",1294,43
"S12000048",2016-09-01,"18plus","Patient and Family Related Reasons",0,0
"S12000048",2016-09-01,"18plus","Code 9 AWI",167,6
"S12000048",2016-09-01,"18plus","Code 9 Non-AWI",120,4
"S12000048",2016-09-01,"18-74","All Delay Reasons",363,12
"S12000048",2016-09-01,"18-74","Health and Social Care Reasons",213,7
"S12000048",2016-09-01,"18-74","Patient and Family Related Reasons",0,0
"S12000048",2016-09-01,"18-74","Code 9 AWI",30,1
"S12000048",2016-09-01,"18-74","Code 9 Non-AWI",120,4
"S12000048",2016-09-01,"75plus","All Delay Reasons",1218,41
"S12000048",2016-09-01,"75plus","Health and Social Care Reasons",1081,36
"S12000048",2016-09-01,"75plus","Patient and Family Related Reasons",0,0
"S12000048",2016-09-01,"75plus","Code 9 AWI",137,5
"S12000048",2016-09-01,"75plus","Code 9 Non-AWI",0,0
"S12000049",2016-09-01,"18plus","All Delay Reasons",3100,103
"S12000049",2016-09-01,"18plus","Health and Social Care Reasons",1774,59
"S12000049",2016-09-01,"18plus","Patient and Family Related Reasons",167,6
"S12000049",2016-09-01,"18plus","Code 9 AWI",979,33
"S12000049",2016-09-01,"18plus","Code 9 Non-AWI",180,6
"S12000049",2016-09-01,"18-74","All Delay Reasons",1693,56
"S12000049",2016-09-01,"18-74","Health and Social Care Reasons",884,29
"S12000049",2016-09-01,"18-74","Patient and Family Related Reasons",58,2
"S12000049",2016-09-01,"18-74","Code 9 AWI",571,19
"S12000049",2016-09-01,"18-74","Code 9 Non-AWI",180,6
"S12000049",2016-09-01,"75plus","All Delay Reasons",1407,47
"S12000049",2016-09-01,"75plus","Health and Social Care Reasons",890,30
"S12000049",2016-09-01,"75plus","Patient and Family Related Reasons",109,4
"S12000049",2016-09-01,"75plus","Code 9 AWI",408,14
"S12000049",2016-09-01,"75plus","Code 9 Non-AWI",0,0
"S12000050",2016-09-01,"18plus","All Delay Reasons",2519,84
"S12000050",2016-09-01,"18plus","Health and Social Care Reasons",1798,60
"S12000050",2016-09-01,"18plus","Patient and Family Related Reasons",443,15
"S12000050",2016-09-01,"18plus","Code 9 AWI",218,7
"S12000050",2016-09-01,"18plus","Code 9 Non-AWI",60,2
"S12000050",2016-09-01,"18-74","All Delay Reasons",968,32
"S12000050",2016-09-01,"18-74","Health and Social Care Reasons",697,23
"S12000050",2016-09-01,"18-74","Patient and Family Related Reasons",68,2
"S12000050",2016-09-01,"18-74","Code 9 AWI",143,5
"S12000050",2016-09-01,"18-74","Code 9 Non-AWI",60,2
"S12000050",2016-09-01,"75plus","All Delay Reasons",1551,52
"S12000050",2016-09-01,"75plus","Health and Social Care Reasons",1101,37
"S12000050",2016-09-01,"75plus","Patient and Family Related Reasons",375,13
"S12000050",2016-09-01,"75plus","Code 9 AWI",75,3
"S12000050",2016-09-01,"75plus","Code 9 Non-AWI",0,0
NA,2016-09-01,"18plus","All Delay Reasons",17,1
NA,2016-09-01,"18plus","Health and Social Care Reasons",17,1
NA,2016-09-01,"18plus","Patient and Family Related Reasons",0,0
NA,2016-09-01,"18plus","Code 9 AWI",0,0
NA,2016-09-01,"18plus","Code 9 Non-AWI",0,0
NA,2016-09-01,"18-74","All Delay Reasons",0,0
NA,2016-09-01,"18-74","Health and Social Care Reasons",0,0
NA,2016-09-01,"18-74","Patient and Family Related Reasons",0,0
NA,2016-09-01,"18-74","Code 9 AWI",0,0
NA,2016-09-01,"18-74","Code 9 Non-AWI",0,0
NA,2016-09-01,"75plus","All Delay Reasons",17,1
NA,2016-09-01,"75plus","Health and Social Care Reasons",17,1
NA,2016-09-01,"75plus","Patient and Family Related Reasons",0,0
NA,2016-09-01,"75plus","Code 9 AWI",0,0
NA,2016-09-01,"75plus","Code 9 Non-AWI",0,0
"S92000003",2016-09-01,"18plus","All Delay Reasons",45074,1502
"S92000003",2016-09-01,"18plus","Health and Social Care Reasons",32757,1092
"S92000003",2016-09-01,"18plus","Patient and Family Related Reasons",1947,65
"S92000003",2016-09-01,"18plus","Code 9 AWI",6672,222
"S92000003",2016-09-01,"18plus","Code 9 Non-AWI",3698,123
