"trust18_code","trust18_name","department","date","total","under_4_hours","between_4_12_hours","over_12_hours"
"NHSCT","Northern","Causeway",2020-01-01,3948,2863,806,279
"NHSCT","Northern","Mid-Ulster",2020-01-01,819,819,0,0
"SEHSCT","South Eastern","Ards MIU",2020-01-01,1050,1049,1,0
"SEHSCT","South Eastern","Bangor MIU",2020-01-01,808,808,0,0
"SEHSCT","South Eastern","Downe",2020-01-01,2029,1684,263,82
"SEHSCT","South Eastern","Lagan Valley",2020-01-01,2276,1853,408,15
"SEHSCT","South Eastern","Ulster",2020-01-01,7657,4556,2015,1086
"SHSCT","Southern","Craigavon Area",2020-01-01,6657,3046,2499,1112
"SHSCT","Southern","Daisy Hill",2020-01-01,4304,2882,1067,355
"SHSCT","Southern","South Tyrone",2020-01-01,2344,2344,0,0
"WHSCT","Western","Altnagelvin Area",2020-01-01,5569,2851,2080,638
"WHSCT","Western","South West Acute",2020-01-01,2997,1372,1200,425
"WHSCT","Western","Altnagelvin Area MIU",2020-01-01,1333,1314,19,0
"BHSCT","Belfast","Mater",2019-12-01,3789,2072,1452,265
"BHSCT","Belfast","RVH",2019-12-01,7659,3502,3446,711
"BHSCT","Belfast","RVH-RAES",2019-12-01,1099,880,219,0
"BHSCT","Belfast","RBHSC",2019-12-01,3594,2756,838,0
"NHSCT","Northern","Antrim Area",2019-12-01,7447,4521,2125,801
"NHSCT","Northern","Causeway",2019-12-01,3949,2651,961,337
"NHSCT","Northern","Mid-Ulster",2019-12-01,708,707,1,0
"SEHSCT","South Eastern","Ards MIU",2019-12-01,924,924,0,0
"SEHSCT","South Eastern","Bangor MIU",2019-12-01,696,696,0,0
"SEHSCT","South Eastern","Downe",2019-12-01,1822,1474,301,47
"SEHSCT","South Eastern","Lagan Valley",2019-12-01,2089,1599,487,3
"SEHSCT","South Eastern","Ulster",2019-12-01,7887,4332,2570,985
"SHSCT","Southern","Craigavon Area",2019-12-01,6637,2954,2803,880
"SHSCT","Southern","Daisy Hill",2019-12-01,4548,2740,1477,331
"SHSCT","Southern","South Tyrone",2019-12-01,2182,2180,2,0
"WHSCT","Western","Altnagelvin Area",2019-12-01,5290,2457,2196,637
"WHSCT","Western","South West Acute",2019-12-01,3179,1624,1280,275
"WHSCT","Western","Altnagelvin Area MIU",2019-12-01,1318,1310,8,0
"BHSCT","Belfast","Mater",2019-11-01,4027,2287,1488,252
"BHSCT","Belfast","RVH",2019-11-01,8101,3620,3704,777
"BHSCT","Belfast","RVH-RAES",2019-11-01,1293,1000,293,0
"BHSCT","Belfast","RBHSC",2019-11-01,4366,2817,1549,0
"NHSCT","Northern","Antrim Area",2019-11-01,7709,4441,2678,590
"NHSCT","Northern","Causeway",2019-11-01,4040,2708,1064,268
"NHSCT","Northern","Mid-Ulster",2019-11-01,837,837,0,0
"SEHSCT","South Eastern","Ards MIU",2019-11-01,1016,1016,0,0
"SEHSCT","South Eastern","Bangor MIU",2019-11-01,804,804,0,0
"SEHSCT","South Eastern","Downe",2019-11-01,1874,1602,239,33
"SEHSCT","South Eastern","Lagan Valley",2019-11-01,2272,1701,569,2
"SEHSCT","South Eastern","Ulster",2019-11-01,8270,4800,2556,914
"SHSCT","Southern","Craigavon Area",2019-11-01,7266,2832,3362,1072
"SHSCT","Southern","Daisy Hill",2019-11-01,4712,3074,1438,200
"SHSCT","Southern","South Tyrone",2019-11-01,2590,2590,0,0
"WHSCT","Western","Altnagelvin Area",2019-11-01,5545,2756,2213,576
"WHSCT","Western","South West Acute",2019-11-01,3351,1728,1334,289
"WHSCT","Western","Altnagelvin Area MIU",2019-11-01,1396,1380,16,0
"BHSCT","Belfast","Mater",2019-10-01,4444,2625,1607,212
"BHSCT","Belfast","RVH",2019-10-01,8647,4187,3910,550
"BHSCT","Belfast","RVH-RAES",2019-10-01,1353,1025,328,0
"BHSCT","Belfast","RBHSC",2019-10-01,4225,3176,1049,0
"NHSCT","Northern","Antrim Area",2019-10-01,8206,5578,2435,193
"NHSCT","Northern","Causeway",2019-10-01,4285,2987,1051,247
"NHSCT","Northern","Mid-Ulster",2019-10-01,1010,1010,0,0
"SEHSCT","South Eastern","Ards MIU",2019-10-01,1192,1191,1,0
"SEHSCT","South Eastern","Bangor MIU",2019-10-01,991,991,0,0
"SEHSCT","South Eastern","Downe",2019-10-01,2086,1784,287,15
"SEHSCT","South Eastern","Lagan Valley",2019-10-01,2484,1723,752,9
"SEHSCT","South Eastern","Ulster",2019-10-01,8411,4963,2534,914
"SHSCT","Southern","Craigavon Area",2019-10-01,7517,3564,3022,931
"SHSCT","Southern","Daisy Hill",2019-10-01,4820,3264,1391,165
"SHSCT","Southern","South Tyrone",2019-10-01,2811,2810,1,0
"WHSCT","Western","Altnagelvin Area",2019-10-01,5842,3366,1955,521
"WHSCT","Western","South West Acute",2019-10-01,3333,2072,1070,191
"WHSCT","Western","Altnagelvin Area MIU",2019-10-01,1604,1593,11,0
"BHSCT","Belfast","Mater",2019-09-01,4334,2501,1650,183
"BHSCT","Belfast","RVH",2019-09-01,8468,4105,3878,485
"BHSCT","Belfast","RVH-RAES",2019-09-01,1448,1031,417,0
"BHSCT","Belfast","RBHSC",2019-09-01,3391,2813,578,0
"NHSCT","Northern","Antrim Area",2019-09-01,7760,5002,2410,348
"NHSCT","Northern","Causeway",2019-09-01,4257,2995,1111,151
"NHSCT","Northern","Mid-Ulster",2019-09-01,1039,1039,0,0
"SEHSCT","South Eastern","Ards MIU",2019-09-01,1137,1137,0,0
"SEHSCT","South Eastern","Bangor MIU",2019-09-01,1025,1025,0,0
"SEHSCT","South Eastern","Downe",2019-09-01,2050,1800,237,13
"SEHSCT","South Eastern","Lagan Valley",2019-09-01,2361,1779,578,4
"SEHSCT","South Eastern","Ulster",2019-09-01,8270,4946,2567,757
"SHSCT","Southern","Craigavon Area",2019-09-01,7104,3492,2844,768
"SHSCT","Southern","Daisy Hill",2019-09-01,4844,3196,1421,227
"SHSCT","Southern","South Tyrone",2019-09-01,3081,3080,1,0
"WHSCT","Western","Altnagelvin Area",2019-09-01,5940,3203,2279,458
"WHSCT","Western","South West Acute",2019-09-01,3181,2027,1067,87
"WHSCT","Western","Altnagelvin Area MIU",2019-09-01,1586,1539,47,0
"BHSCT","Belfast","Mater",2019-08-01,4431,2794,1557,80
"BHSCT","Belfast","RVH",2019-08-01,8311,4097,3960,254
"BHSCT","Belfast","RVH-RAES",2019-08-01,1404,1082,322,0
"BHSCT","Belfast","RBHSC",2019-08-01,2810,2480,330,0
"NHSCT","Northern","Antrim Area",2019-08-01,7557,4724,2597,236
"NHSCT","Northern","Causeway",2019-08-01,4642,3381,1224,37
"NHSCT","Northern","Mid-Ulster",2019-08-01,985,985,0,0
"SEHSCT","South Eastern","Ards MIU",2019-08-01,1133,1132,1,0
"SEHSCT","South Eastern","Bangor MIU",2019-08-01,1021,1021,0,0
"SEHSCT","South Eastern","Downe",2019-08-01,2139,1902,226,11
"SEHSCT","South Eastern","Lagan Valley",2019-08-01,2297,1863,433,1
"SEHSCT","South Eastern","Ulster",2019-08-01,8377,5156,2661,560
"SHSCT","Southern","Craigavon Area",2019-08-01,7159,3725,2908,526
"SHSCT","Southern","Daisy Hill",2019-08-01,4683,3302,1239,142
"SHSCT","Southern","South Tyrone",2019-08-01,3258,3258,0,0
"WHSCT","Western","Altnagelvin Area",2019-08-01,6085,3440,2371,274
"WHSCT","Western","South West Acute",2019-08-01,3353,2337,887,129
"WHSCT","Western","Altnagelvin Area MIU",2019-08-01,1721,1684,37,0
"BHSCT","Belfast","Mater",2019-07-01,4400,3003,1346,51
"BHSCT","Belfast","RVH",2019-07-01,8354,4163,3849,342
"BHSCT","Belfast","RVH-RAES",2019-07-01,1425,1045,380,0
"BHSCT","Belfast","RBHSC",2019-07-01,2984,2647,337,0
"NHSCT","Northern","Antrim Area",2019-07-01,7646,4726,2646,274
"NHSCT","Northern","Causeway",2019-07-01,4484,3205,1097,182
"NHSCT","Northern","Mid-Ulster",2019-07-01,1045,1045,0,0
"SEHSCT","South Eastern","Ards MIU",2019-07-01,1195,1195,0,0
"SEHSCT","South Eastern","Bangor MIU",2019-07-01,960,959,1,0
"SEHSCT","South Eastern","Downe",2019-07-01,2245,1999,243,3
"SEHSCT","South Eastern","Lagan Valley",2019-07-01,2390,1787,599,4
"SEHSCT","South Eastern","Ulster",2019-07-01,8226,4670,2862,694
"SHSCT","Southern","Craigavon Area",2019-07-01,7133,3573,3067,493
"SHSCT","Southern","Daisy Hill",2019-07-01,4927,3397,1339,191
"SHSCT","Southern","South Tyrone",2019-07-01,3089,3088,1,0
"WHSCT","Western","Altnagelvin Area",2019-07-01,6355,4048,2167,140
"WHSCT","Western","South West Acute",2019-07-01,3379,2214,978,187
"WHSCT","Western","Altnagelvin Area MIU",2019-07-01,1782,1752,30,0
"BHSCT","Belfast","Mater",2019-06-01,4233,3006,1141,86
"BHSCT","Belfast","RVH",2019-06-01,8326,3878,3972,476
"BHSCT","Belfast","RVH-RAES",2019-06-01,1360,1057,303,0
"BHSCT","Belfast","RBHSC",2019-06-01,3469,3005,464,0
"NHSCT","Northern","Antrim Area",2019-06-01,7573,4853,2454,266
"NHSCT","Northern","Causeway",2019-06-01,4121,2877,1055,189
"NHSCT","Northern","Mid-Ulster",2019-06-01,928,928,0,0
"SEHSCT","South Eastern","Ards MIU",2019-06-01,1081,1081,0,0
"SEHSCT","South Eastern","Bangor MIU",2019-06-01,931,931,0,0
"SEHSCT","South Eastern","Downe",2019-06-01,2034,1815,215,4
"SEHSCT","South Eastern","Lagan Valley",2019-06-01,2118,1601,515,2
"SEHSCT","South Eastern","Ulster",2019-06-01,8337,4665,3083,589
"SHSCT","Southern","Craigavon Area",2019-06-01,7193,3629,2955,609
"SHSCT","Southern","Daisy Hill",2019-06-01,4699,3132,1306,261
"SHSCT","Southern","South Tyrone",2019-06-01,2951,2951,0,0
"WHSCT","Western","Altnagelvin Area",2019-06-01,5886,3932,1822,132
"WHSCT","Western","South West Acute",2019-06-01,3334,2066,1047,221
"WHSCT","Western","Altnagelvin Area MIU",2019-06-01,1694,1670,24,0
"BHSCT","Belfast","Mater",2019-05-01,4534,3142,1283,109
"BHSCT","Belfast","RVH",2019-05-01,8303,4005,3899,399
"BHSCT","Belfast","RVH-RAES",2019-05-01,1293,903,390,0
"BHSCT","Belfast","RBHSC",2019-05-01,3516,2880,636,0
"NHSCT","Northern","Antrim Area",2019-05-01,7937,4806,2748,383
"NHSCT","Northern","Causeway",2019-05-01,4345,3117,1077,151
"NHSCT","Northern","Mid-Ulster",2019-05-01,1044,1044,0,0
"SEHSCT","South Eastern","Ards MIU",2019-05-01,1211,1209,2,0
"SEHSCT","South Eastern","Bangor MIU",2019-05-01,954,954,0,0
"SEHSCT","South Eastern","Downe",2019-05-01,2205,1963,242,0
"SEHSCT","South Eastern","Lagan Valley",2019-05-01,2444,1988,455,1
"SEHSCT","South Eastern","Ulster",2019-05-01,8492,4860,3056,576
"SHSCT","Southern","Craigavon Area",2019-05-01,7383,3655,2918,810
"SHSCT","Southern","Daisy Hill",2019-05-01,4921,3316,1205,400
"SHSCT","Southern","South Tyrone",2019-05-01,3126,3126,0,0
"WHSCT","Western","Altnagelvin Area",2019-05-01,6223,4018,1935,270
"WHSCT","Western","South West Acute",2019-05-01,3360,2150,969,241
"WHSCT","Western","Altnagelvin Area MIU",2019-05-01,1643,1636,7,0
"BHSCT","Belfast","Mater",2019-04-01,4240,2834,1257,149
"BHSCT","Belfast","RVH",2019-04-01,8321,4257,3578,486
"BHSCT","Belfast","RVH-RAES",2019-04-01,1455,1064,391,0
"BHSCT","Belfast","RBHSC",2019-04-01,3657,2970,687,0
"NHSCT","Northern","Antrim Area",2019-04-01,7593,4285,2779,529
"NHSCT","Northern","Causeway",2019-04-01,4376,3003,1087,286
"NHSCT","Northern","Mid-Ulster",2019-04-01,1051,1051,0,0
"SEHSCT","South Eastern","Ards MIU",2019-04-01,1084,1084,0,0
"SEHSCT","South Eastern","Bangor MIU",2019-04-01,918,917,1,0
"SEHSCT","South Eastern","Downe",2019-04-01,2204,1971,220,13
"SEHSCT","South Eastern","Lagan Valley",2019-04-01,2307,1748,551,8
"SEHSCT","South Eastern","Ulster",2019-04-01,8270,4561,2948,761
"SHSCT","Southern","Craigavon Area",2019-04-01,7350,3701,2934,715
"SHSCT","Southern","Daisy Hill",2019-04-01,4919,3325,1414,180
"SHSCT","Southern","South Tyrone",2019-04-01,2998,2997,1,0
"WHSCT","Western","Altnagelvin Area",2019-04-01,6216,3813,2074,329
"WHSCT","Western","South West Acute",2019-04-01,3354,2156,1013,185
"WHSCT","Western","Altnagelvin Area MIU",2019-04-01,1651,1630,20,1
"BHSCT","Belfast","Mater",2019-03-01,4262,2979,1195,88
"BHSCT","Belfast","RVH",2019-03-01,8421,4442,3719,260
"BHSCT","Belfast","RVH-RAES",2019-03-01,1424,1036,388,0
"BHSCT","Belfast","RBHSC",2019-03-01,3709,2826,883,0
"NHSCT","Northern","Antrim Area",2019-03-01,7819,4975,2546,298
"NHSCT","Northern","Causeway",2019-03-01,4213,3100,1054,59
"NHSCT","Northern","Mid-Ulster",2019-03-01,954,953,1,0
"SEHSCT","South Eastern","Ards MIU",2019-03-01,1028,1028,0,0
"SEHSCT","South Eastern","Bangor MIU",2019-03-01,868,868,0,0
"SEHSCT","South Eastern","Downe",2019-03-01,1949,1684,243,22
"SEHSCT","South Eastern","Lagan Valley",2019-03-01,2271,1677,583,11
"SEHSCT","South Eastern","Ulster",2019-03-01,8351,4762,2833,756
"SHSCT","Southern","Craigavon Area",2019-03-01,7462,3914,3091,457
"SHSCT","Southern","Daisy Hill",2019-03-01,4884,3342,1304,238
"SHSCT","Southern","South Tyrone",2019-03-01,2887,2887,0,0
"WHSCT","Western","Altnagelvin Area",2019-03-01,6114,4009,1889,216
"WHSCT","Western","South West Acute",2019-03-01,3098,1996,947,155
"WHSCT","Western","Altnagelvin Area MIU",2019-03-01,1598,1580,18,0
"BHSCT","Belfast","Mater",2019-02-01,3991,2589,1184,218
"BHSCT","Belfast","RVH",2019-02-01,7845,3950,3186,709
"BHSCT","Belfast","RVH-RAES",2019-02-01,1299,1044,255,0
"BHSCT","Belfast","RBHSC",2019-02-01,3468,2567,901,0
"NHSCT","Northern","Antrim Area",2019-02-01,6873,3793,2478,602
"NHSCT","Northern","Causeway",2019-02-01,3718,2631,997,90
"NHSCT","Northern","Mid-Ulster",2019-02-01,859,858,1,0
"SEHSCT","South Eastern","Ards MIU",2019-02-01,920,920,0,0
"SEHSCT","South Eastern","Bangor MIU",2019-02-01,781,781,0,0
"SEHSCT","South Eastern","Downe",2019-02-01,1796,1604,174,18
"SEHSCT","South Eastern","Lagan Valley",2019-02-01,2117,1561,531,25
"SEHSCT","South Eastern","Ulster",2019-02-01,7552,4254,2408,890
"SHSCT","Southern","Craigavon Area",2019-02-01,6761,3367,2833,561
"SHSCT","Southern","Daisy Hill",2019-02-01,4346,2860,1178,308
"SHSCT","Southern","South Tyrone",2019-02-01,2536,2536,0,0
"WHSCT","Western","Altnagelvin Area",2019-02-01,5281,3460,1585,236
"WHSCT","Western","South West Acute",2019-02-01,2854,1792,902,160
"WHSCT","Western","Altnagelvin Area MIU",2019-02-01,1342,1339,2,1
"BHSCT","Belfast","Mater",2019-01-01,4220,2763,1301,156
"BHSCT","Belfast","RVH",2019-01-01,8329,4526,3265,538
"BHSCT","Belfast","RVH-RAES",2019-01-01,1352,1113,239,0
"BHSCT","Belfast","RBHSC",2019-01-01,3450,2738,712,0
"NHSCT","Northern","Antrim Area",2019-01-01,7256,4247,2346,663
"NHSCT","Northern","Causeway",2019-01-01,3903,2761,995,147
"NHSCT","Northern","Mid-Ulster",2019-01-01,822,822,0,0
"SEHSCT","South Eastern","Ards MIU",2019-01-01,976,976,0,0
"SEHSCT","South Eastern","Bangor MIU",2019-01-01,849,849,0,0
"SEHSCT","South Eastern","Downe",2019-01-01,1993,1749,219,25
"SEHSCT","South Eastern","Lagan Valley",2019-01-01,2213,1591,598,24
"SEHSCT","South Eastern","Ulster",2019-01-01,8198,4835,2657,706
"SHSCT","Southern","Craigavon Area",2019-01-01,7507,3886,2933,688
"SHSCT","Southern","Daisy Hill",2019-01-01,4775,3129,1387,259
"SHSCT","Southern","South Tyrone",2019-01-01,2455,2455,0,0
"WHSCT","Western","Altnagelvin Area",2019-01-01,5693,3685,1736,272
"WHSCT","Western","South West Acute",2019-01-01,3108,1801,945,362
"WHSCT","Western","Altnagelvin Area MIU",2019-01-01,1373,1369,4,0
"BHSCT","Belfast","Mater",2018-12-01,4077,2863,1164,50
"BHSCT","Belfast","RVH",2018-12-01,8124,4454,3461,209
"BHSCT","Belfast","RVH-RAES",2018-12-01,1234,1000,234,0
"BHSCT","Belfast","RBHSC",2018-12-01,3745,2862,883,0
"NHSCT","Northern","Antrim Area",2018-12-01,7245,4235,2630,380
"NHSCT","Northern","Causeway",2018-12-01,3791,2778,941,72
"NHSCT","Northern","Mid-Ulster",2018-12-01,759,759,0,0
"SEHSCT","South Eastern","Ards MIU",2018-12-01,846,846,0,0
"SEHSCT","South Eastern","Bangor MIU",2018-12-01,739,739,0,0
"SEHSCT","South Eastern","Downe",2018-12-01,1733,1560,168,5
"SEHSCT","South Eastern","Lagan Valley",2018-12-01,1911,1474,431,6
"SEHSCT","South Eastern","Ulster",2018-12-01,8216,4797,2809,610
"SHSCT","Southern","Craigavon Area",2018-12-01,7197,3900,3015,282
"SHSCT","Southern","Daisy Hill",2018-12-01,4590,2998,1478,114
"SHSCT","Southern","South Tyrone",2018-12-01,2231,2231,0,0
"WHSCT","Western","Altnagelvin Area",2018-12-01,5788,3889,1767,132
"WHSCT","Western","South West Acute",2018-12-01,3015,1908,976,131
"WHSCT","Western","Altnagelvin Area MIU",2018-12-01,1380,1374,6,0
"BHSCT","Belfast","Mater",2018-11-01,3881,2756,1005,120
"BHSCT","Belfast","RVH",2018-11-01,8079,4545,3286,248
"BHSCT","Belfast","RVH-RAES",2018-11-01,1313,1057,256,0
"BHSCT","Belfast","RBHSC",2018-11-01,3539,2831,708,0
"NHSCT","Northern","Antrim Area",2018-11-01,7231,4482,2261,488
"NHSCT","Northern","Causeway",2018-11-01,3636,2595,950,91
"NHSCT","Northern","Mid-Ulster",2018-11-01,875,875,0,0
"SEHSCT","South Eastern","Ards MIU",2018-11-01,1025,1025,0,0
"SEHSCT","South Eastern","Bangor MIU",2018-11-01,781,781,0,0
"SEHSCT","South Eastern","Downe",2018-11-01,1766,1570,189,7
"SEHSCT","South Eastern","Lagan Valley",2018-11-01,2140,1719,420,1
"SEHSCT","South Eastern","Ulster",2018-11-01,8156,5057,2592,507
"SHSCT","Southern","Craigavon Area",2018-11-01,6962,3664,2715,583
"SHSCT","Southern","Daisy Hill",2018-11-01,4493,3100,1312,81
"SHSCT","Southern","South Tyrone",2018-11-01,2544,2544,0,0
"WHSCT","Western","Altnagelvin Area",2018-11-01,5627,3946,1504,177
"WHSCT","Western","South West Acute",2018-11-01,2968,1878,933,157
"WHSCT","Western","Altnagelvin Area MIU",2018-11-01,1328,1325,3,0
"BHSCT","Belfast","Mater",2018-10-01,4236,3045,1135,56
"BHSCT","Belfast","RVH",2018-10-01,8493,4945,3376,172
"BHSCT","Belfast","RVH-RAES",2018-10-01,1365,1152,213,0
"BHSCT","Belfast","RBHSC",2018-10-01,3240,2818,422,0
"NHSCT","Northern","Antrim Area",2018-10-01,7377,5117,2042,218
"NHSCT","Northern","Causeway",2018-10-01,3892,2884,950,58
"NHSCT","Northern","Mid-Ulster",2018-10-01,954,954,0,0
"SEHSCT","South Eastern","Ards MIU",2018-10-01,1081,1080,1,0
"SEHSCT","South Eastern","Bangor MIU",2018-10-01,1038,1038,0,0
"SEHSCT","South Eastern","Downe",2018-10-01,1894,1712,181,1
"SEHSCT","South Eastern","Lagan Valley",2018-10-01,2382,1847,535,0
"SEHSCT","South Eastern","Ulster",2018-10-01,8052,5323,2426,303
"SHSCT","Southern","Craigavon Area",2018-10-01,7397,4031,2772,594
"SHSCT","Southern","Daisy Hill",2018-10-01,4767,3341,1379,47
"SHSCT","Southern","South Tyrone",2018-10-01,2897,2897,0,0
"WHSCT","Western","Altnagelvin Area",2018-10-01,5923,4378,1438,107
"WHSCT","Western","South West Acute",2018-10-01,3071,2066,939,66
"WHSCT","Western","Altnagelvin Area MIU",2018-10-01,1531,1526,5,0
"BHSCT","Belfast","Mater",2018-09-01,4166,2934,1174,58
"BHSCT","Belfast","RVH",2018-09-01,8019,4839,2978,202
"BHSCT","Belfast","RVH-RAES",2018-09-01,1340,1126,214,0
"BHSCT","Belfast","RBHSC",2018-09-01,2964,2499,465,0
"NHSCT","Northern","Antrim Area",2018-09-01,7174,4630,2134,410
"NHSCT","Northern","Causeway",2018-09-01,3794,2552,1090,152
"NHSCT","Northern","Mid-Ulster",2018-09-01,883,883,0,0
"SEHSCT","South Eastern","Ards MIU",2018-09-01,1033,1033,0,0
"SEHSCT","South Eastern","Bangor MIU",2018-09-01,866,866,0,0
"SEHSCT","South Eastern","Downe",2018-09-01,1864,1722,140,2
"SEHSCT","South Eastern","Lagan Valley",2018-09-01,1972,1599,372,1
"SEHSCT","South Eastern","Ulster",2018-09-01,7904,5082,2428,394
"SHSCT","Southern","Craigavon Area",2018-09-01,6817,3910,2664,243
"SHSCT","Southern","Daisy Hill",2018-09-01,4507,3133,1307,67
"SHSCT","Southern","South Tyrone",2018-09-01,2750,2750,0,0
"WHSCT","Western","Altnagelvin Area",2018-09-01,5717,4199,1441,77
"WHSCT","Western","South West Acute",2018-09-01,3094,1975,1011,108
"WHSCT","Western","Altnagelvin Area MIU",2018-09-01,1365,1357,8,0
"BHSCT","Belfast","Mater",2018-08-01,4315,3005,1230,80
"BHSCT","Belfast","RVH",2018-08-01,8334,4670,3501,163
"BHSCT","Belfast","RVH-RAES",2018-08-01,1449,1123,326,0
"BHSCT","Belfast","RBHSC",2018-08-01,2559,2274,285,0
"NHSCT","Northern","Antrim Area",2018-08-01,7194,4353,2467,374
"NHSCT","Northern","Causeway",2018-08-01,4272,2824,1263,185
"NHSCT","Northern","Mid-Ulster",2018-08-01,998,998,0,0
"SEHSCT","South Eastern","Ards MIU",2018-08-01,1212,1212,0,0
"SEHSCT","South Eastern","Bangor MIU",2018-08-01,921,921,0,0
"SEHSCT","South Eastern","Downe",2018-08-01,2087,1928,155,4
"SEHSCT","South Eastern","Lagan Valley",2018-08-01,2212,1768,443,1
"SEHSCT","South Eastern","Ulster",2018-08-01,7938,5031,2567,340
"SHSCT","Southern","Craigavon Area",2018-08-01,6947,4043,2726,178
"SHSCT","Southern","Daisy Hill",2018-08-01,4789,3258,1427,104
"SHSCT","Southern","South Tyrone",2018-08-01,2878,2877,1,0
"WHSCT","Western","Altnagelvin Area",2018-08-01,5843,4253,1548,42
"WHSCT","Western","South West Acute",2018-08-01,3134,2215,891,28
"WHSCT","Western","Altnagelvin Area MIU",2018-08-01,1580,1569,11,0
"BHSCT","Belfast","Mater",2018-07-01,4399,3176,1140,83
"BHSCT","Belfast","RVH",2018-07-01,8313,4856,3281,176
"BHSCT","Belfast","RVH-RAES",2018-07-01,1307,1022,285,0
"BHSCT","Belfast","RBHSC",2018-07-01,2719,2371,348,0
"NHSCT","Northern","Antrim Area",2018-07-01,7166,4592,2248,326
"NHSCT","Northern","Causeway",2018-07-01,4397,3098,1189,110
"NHSCT","Northern","Mid-Ulster",2018-07-01,1023,1023,0,0
"SEHSCT","South Eastern","Ards MIU",2018-07-01,1113,1113,0,0
"SEHSCT","South Eastern","Bangor MIU",2018-07-01,935,935,0,0
"SEHSCT","South Eastern","Downe",2018-07-01,2071,1932,139,0
"SEHSCT","South Eastern","Lagan Valley",2018-07-01,2146,1876,270,0
"SEHSCT","South Eastern","Ulster",2018-07-01,7918,4868,2506,544
"SHSCT","Southern","Craigavon Area",2018-07-01,7191,4375,2432,384
"SHSCT","Southern","Daisy Hill",2018-07-01,5103,3589,1398,116
"SHSCT","Southern","South Tyrone",2018-07-01,3161,3160,1,0
"WHSCT","Western","Altnagelvin Area",2018-07-01,6013,4522,1405,86
"WHSCT","Western","South West Acute",2018-07-01,3490,2559,889,42
"WHSCT","Western","Altnagelvin Area MIU",2018-07-01,1856,1815,41,0
"BHSCT","Belfast","Mater",2018-06-01,4120,3038,1023,59
"BHSCT","Belfast","RVH",2018-06-01,8137,4917,3108,112
"BHSCT","Belfast","RVH-RAES",2018-06-01,1420,1012,408,0
"BHSCT","Belfast","RBHSC",2018-06-01,3237,2729,508,0
"NHSCT","Northern","Antrim Area",2018-06-01,7362,4820,2377,165
"NHSCT","Northern","Causeway",2018-06-01,4088,2980,979,129
"NHSCT","Northern","Mid-Ulster",2018-06-01,956,955,1,0
"SEHSCT","South Eastern","Ards MIU",2018-06-01,1131,1131,0,0
"SEHSCT","South Eastern","Bangor MIU",2018-06-01,1011,1011,0,0
"SEHSCT","South Eastern","Downe",2018-06-01,2014,1889,124,1
"SEHSCT","South Eastern","Lagan Valley",2018-06-01,2242,1915,327,0
"SEHSCT","South Eastern","Ulster",2018-06-01,8178,5104,2524,550
"SHSCT","Southern","Craigavon Area",2018-06-01,7464,4459,2738,267
"SHSCT","Southern","Daisy Hill",2018-06-01,5093,3735,1340,18
"SHSCT","Southern","South Tyrone",2018-06-01,3390,3390,0,0
"WHSCT","Western","Altnagelvin Area",2018-06-01,5893,4541,1316,36
"WHSCT","Western","South West Acute",2018-06-01,3213,2204,981,28
"WHSCT","Western","Altnagelvin Area MIU",2018-06-01,1766,1734,32,0
"BHSCT","Belfast","Mater",2018-05-01,4365,3045,1228,92
"BHSCT","Belfast","RVH",2018-05-01,8435,4985,3295,155
"BHSCT","Belfast","RVH-RAES",2018-05-01,1389,1131,258,0
"BHSCT","Belfast","RBHSC",2018-05-01,3692,2894,798,0
"NHSCT","Northern","Antrim Area",2018-05-01,7742,5312,2293,137
"NHSCT","Northern","Causeway",2018-05-01,4428,3151,1240,37
"NHSCT","Northern","Mid-Ulster",2018-05-01,997,997,0,0
"SEHSCT","South Eastern","Ards MIU",2018-05-01,1098,1098,0,0
"SEHSCT","South Eastern","Bangor MIU",2018-05-01,970,970,0,0
"SEHSCT","South Eastern","Downe",2018-05-01,2114,1955,145,14
"SEHSCT","South Eastern","Lagan Valley",2018-05-01,2308,2016,292,0
"SEHSCT","South Eastern","Ulster",2018-05-01,8373,5298,2625,450
"SHSCT","Southern","Craigavon Area",2018-05-01,7712,4817,2689,206
"SHSCT","Southern","Daisy Hill",2018-05-01,5122,3718,1372,32
"SHSCT","Southern","South Tyrone",2018-05-01,3330,3329,1,0
"WHSCT","Western","Altnagelvin Area",2018-05-01,6146,4791,1343,12
"WHSCT","Western","South West Acute",2018-05-01,3294,2400,877,17
"WHSCT","Western","Altnagelvin Area MIU",2018-05-01,1880,1854,26,0
"BHSCT","Belfast","Mater",2018-04-01,4062,2785,1155,122
"BHSCT","Belfast","RVH",2018-04-01,8033,4635,3222,176
"BHSCT","Belfast","RVH-RAES",2018-04-01,1337,1175,162,0
"BHSCT","Belfast","RBHSC",2018-04-01,3275,2621,654,0
"NHSCT","Northern","Antrim Area",2018-04-01,6927,4513,2145,269
"NHSCT","Northern","Causeway",2018-04-01,3983,2954,966,63
"NHSCT","Northern","Mid-Ulster",2018-04-01,880,880,0,0
"SEHSCT","South Eastern","Ards MIU",2018-04-01,1006,1006,0,0
"SEHSCT","South Eastern","Bangor MIU",2018-04-01,900,900,0,0
"SEHSCT","South Eastern","Downe",2018-04-01,1833,1701,126,6
"SEHSCT","South Eastern","Lagan Valley",2018-04-01,2042,1681,341,20
"SEHSCT","South Eastern","Ulster",2018-04-01,7699,4799,2464,436
