"lhb22_code","lhb22_name","date","pathway_stage","waits_over_18_weeks","waits_over_53_weeks"
"W11000030","Cwm Taf Morgannwg University Health Board",2022-08-01,"Waiting for new OP appointment",43979,21291
"W11000031","Swansea Bay University Health Board",2022-08-01,"Waiting for new OP appointment",33308,14830
"W11000024","Powys Teaching LHB",2022-08-01,"Waiting for new OP appointment",487,NA
"W11000023","Betsi Cadwaladr University LHB",2022-09-01,"Waiting for new OP appointment",57956,26475
"W11000025","Hywel Dda LHB",2022-09-01,"Waiting for new OP appointment",32723,12981
"W11000028","Aneurin Bevan LHB",2022-09-01,"Waiting for new OP appointment",42180,10701
"W11000030","Cwm Taf Morgannwg University Health Board",2022-09-01,"Waiting for new OP appointment",45289,21916
"W11000029","Cardiff and Vale University LHB",2022-09-01,"Waiting for new OP appointment",40376,14969
"W11000031","Swansea Bay University Health Board",2022-09-01,"Waiting for new OP appointment",32800,13641
"W11000024","Powys Teaching LHB",2022-09-01,"Waiting for new OP appointment",494,NA
"W11000023","Betsi Cadwaladr University LHB",2019-01-01,"Waiting for diagnostic or AHP test, intervention or result",2504,106
"W11000025","Hywel Dda LHB",2019-01-01,"Waiting for diagnostic or AHP test, intervention or result",189,3
"W11000024","Powys Teaching LHB",2019-01-01,"Waiting for diagnostic or AHP test, intervention or result",35,NA
"W11000026","Abertawe Bro Morgannwg University LHB",2019-01-01,"Waiting for diagnostic or AHP test, intervention or result",1575,NA
"W11000028","Aneurin Bevan LHB",2019-01-01,"Waiting for diagnostic or AHP test, intervention or result",1433,NA
"W11000027","Cwm Taf LHB",2019-01-01,"Waiting for diagnostic or AHP test, intervention or result",836,NA
"W11000029","Cardiff and Vale University LHB",2019-01-01,"Waiting for diagnostic or AHP test, intervention or result",195,NA
"W11000023","Betsi Cadwaladr University LHB",2019-02-01,"Waiting for diagnostic or AHP test, intervention or result",2562,129
"W11000024","Powys Teaching LHB",2019-02-01,"Waiting for diagnostic or AHP test, intervention or result",37,NA
"W11000026","Abertawe Bro Morgannwg University LHB",2019-02-01,"Waiting for diagnostic or AHP test, intervention or result",1469,NA
"W11000028","Aneurin Bevan LHB",2019-02-01,"Waiting for diagnostic or AHP test, intervention or result",1499,NA
"W11000025","Hywel Dda LHB",2019-02-01,"Waiting for diagnostic or AHP test, intervention or result",182,1
"W11000027","Cwm Taf LHB",2019-02-01,"Waiting for diagnostic or AHP test, intervention or result",895,NA
"W11000029","Cardiff and Vale University LHB",2019-02-01,"Waiting for diagnostic or AHP test, intervention or result",189,NA
"W11000023","Betsi Cadwaladr University LHB",2019-03-01,"Waiting for diagnostic or AHP test, intervention or result",2711,88
"W11000025","Hywel Dda LHB",2019-03-01,"Waiting for diagnostic or AHP test, intervention or result",188,NA
"W11000024","Powys Teaching LHB",2019-03-01,"Waiting for diagnostic or AHP test, intervention or result",36,NA
"W11000026","Abertawe Bro Morgannwg University LHB",2019-03-01,"Waiting for diagnostic or AHP test, intervention or result",1530,NA
"W11000028","Aneurin Bevan LHB",2019-03-01,"Waiting for diagnostic or AHP test, intervention or result",1588,NA
"W11000027","Cwm Taf LHB",2019-03-01,"Waiting for diagnostic or AHP test, intervention or result",881,NA
"W11000029","Cardiff and Vale University LHB",2019-03-01,"Waiting for diagnostic or AHP test, intervention or result",195,1
"W11000023","Betsi Cadwaladr University LHB",2019-04-01,"Waiting for diagnostic or AHP test, intervention or result",2980,101
"W11000024","Powys Teaching LHB",2019-04-01,"Waiting for diagnostic or AHP test, intervention or result",49,NA
"W11000028","Aneurin Bevan LHB",2019-04-01,"Waiting for diagnostic or AHP test, intervention or result",1583,NA
"W11000029","Cardiff and Vale University LHB",2019-04-01,"Waiting for diagnostic or AHP test, intervention or result",148,NA
"W11000031","Swansea Bay University Health Board",2019-04-01,"Waiting for diagnostic or AHP test, intervention or result",882,1
"W11000025","Hywel Dda LHB",2019-04-01,"Waiting for diagnostic or AHP test, intervention or result",180,NA
"W11000030","Cwm Taf Morgannwg University Health Board",2019-04-01,"Waiting for diagnostic or AHP test, intervention or result",1325,NA
"W11000023","Betsi Cadwaladr University LHB",2019-05-01,"Waiting for diagnostic or AHP test, intervention or result",2899,107
"W11000024","Powys Teaching LHB",2019-05-01,"Waiting for diagnostic or AHP test, intervention or result",50,NA
"W11000025","Hywel Dda LHB",2019-05-01,"Waiting for diagnostic or AHP test, intervention or result",174,NA
"W11000028","Aneurin Bevan LHB",2019-05-01,"Waiting for diagnostic or AHP test, intervention or result",1505,1
"W11000031","Swansea Bay University Health Board",2019-05-01,"Waiting for diagnostic or AHP test, intervention or result",748,NA
"W11000029","Cardiff and Vale University LHB",2019-05-01,"Waiting for diagnostic or AHP test, intervention or result",130,NA
"W11000030","Cwm Taf Morgannwg University Health Board",2019-05-01,"Waiting for diagnostic or AHP test, intervention or result",1394,NA
"W11000023","Betsi Cadwaladr University LHB",2019-06-01,"Waiting for diagnostic or AHP test, intervention or result",2990,95
"W11000024","Powys Teaching LHB",2019-06-01,"Waiting for diagnostic or AHP test, intervention or result",52,NA
"W11000028","Aneurin Bevan LHB",2019-06-01,"Waiting for diagnostic or AHP test, intervention or result",1478,1
"W11000031","Swansea Bay University Health Board",2019-06-01,"Waiting for diagnostic or AHP test, intervention or result",808,NA
"W11000025","Hywel Dda LHB",2019-06-01,"Waiting for diagnostic or AHP test, intervention or result",171,NA
"W11000029","Cardiff and Vale University LHB",2019-06-01,"Waiting for diagnostic or AHP test, intervention or result",94,NA
"W11000030","Cwm Taf Morgannwg University Health Board",2019-06-01,"Waiting for diagnostic or AHP test, intervention or result",1484,1
"W11000023","Betsi Cadwaladr University LHB",2019-07-01,"Waiting for diagnostic or AHP test, intervention or result",2865,82
"W11000030","Cwm Taf Morgannwg University Health Board",2019-07-01,"Waiting for diagnostic or AHP test, intervention or result",1508,23
"W11000031","Swansea Bay University Health Board",2019-07-01,"Waiting for diagnostic or AHP test, intervention or result",831,4
"W11000025","Hywel Dda LHB",2019-07-01,"Waiting for diagnostic or AHP test, intervention or result",152,NA
"W11000024","Powys Teaching LHB",2019-07-01,"Waiting for diagnostic or AHP test, intervention or result",61,NA
"W11000029","Cardiff and Vale University LHB",2019-07-01,"Waiting for diagnostic or AHP test, intervention or result",85,NA
"W11000028","Aneurin Bevan LHB",2019-07-01,"Waiting for diagnostic or AHP test, intervention or result",1423,1
"W11000030","Cwm Taf Morgannwg University Health Board",2019-08-01,"Waiting for diagnostic or AHP test, intervention or result",1563,13
"W11000023","Betsi Cadwaladr University LHB",2019-08-01,"Waiting for diagnostic or AHP test, intervention or result",3042,91
"W11000025","Hywel Dda LHB",2019-08-01,"Waiting for diagnostic or AHP test, intervention or result",158,NA
"W11000024","Powys Teaching LHB",2019-08-01,"Waiting for diagnostic or AHP test, intervention or result",80,NA
"W11000028","Aneurin Bevan LHB",2019-08-01,"Waiting for diagnostic or AHP test, intervention or result",1512,NA
"W11000031","Swansea Bay University Health Board",2019-08-01,"Waiting for diagnostic or AHP test, intervention or result",751,NA
"W11000029","Cardiff and Vale University LHB",2019-08-01,"Waiting for diagnostic or AHP test, intervention or result",54,NA
"W11000028","Aneurin Bevan LHB",2019-09-01,"Waiting for diagnostic or AHP test, intervention or result",1589,1
"W11000023","Betsi Cadwaladr University LHB",2019-09-01,"Waiting for diagnostic or AHP test, intervention or result",3011,88
"W11000024","Powys Teaching LHB",2019-09-01,"Waiting for diagnostic or AHP test, intervention or result",90,NA
"W11000025","Hywel Dda LHB",2019-09-01,"Waiting for diagnostic or AHP test, intervention or result",178,NA
"W11000031","Swansea Bay University Health Board",2019-09-01,"Waiting for diagnostic or AHP test, intervention or result",834,NA
"W11000030","Cwm Taf Morgannwg University Health Board",2019-09-01,"Waiting for diagnostic or AHP test, intervention or result",1595,3
"W11000029","Cardiff and Vale University LHB",2019-09-01,"Waiting for diagnostic or AHP test, intervention or result",52,NA
"W11000023","Betsi Cadwaladr University LHB",2019-10-01,"Waiting for diagnostic or AHP test, intervention or result",2802,109
"W11000028","Aneurin Bevan LHB",2019-10-01,"Waiting for diagnostic or AHP test, intervention or result",1555,2
"W11000024","Powys Teaching LHB",2019-10-01,"Waiting for diagnostic or AHP test, intervention or result",96,NA
"W11000025","Hywel Dda LHB",2019-10-01,"Waiting for diagnostic or AHP test, intervention or result",148,NA
"W11000030","Cwm Taf Morgannwg University Health Board",2019-10-01,"Waiting for diagnostic or AHP test, intervention or result",1511,NA
"W11000031","Swansea Bay University Health Board",2019-10-01,"Waiting for diagnostic or AHP test, intervention or result",848,NA
"W11000029","Cardiff and Vale University LHB",2019-10-01,"Waiting for diagnostic or AHP test, intervention or result",37,NA
"W11000023","Betsi Cadwaladr University LHB",2019-11-01,"Waiting for diagnostic or AHP test, intervention or result",2817,130
"W11000025","Hywel Dda LHB",2019-11-01,"Waiting for diagnostic or AHP test, intervention or result",134,1
"W11000024","Powys Teaching LHB",2019-11-01,"Waiting for diagnostic or AHP test, intervention or result",93,NA
"W11000028","Aneurin Bevan LHB",2019-11-01,"Waiting for diagnostic or AHP test, intervention or result",1926,4
"W11000031","Swansea Bay University Health Board",2019-11-01,"Waiting for diagnostic or AHP test, intervention or result",981,1
"W11000030","Cwm Taf Morgannwg University Health Board",2019-11-01,"Waiting for diagnostic or AHP test, intervention or result",1627,NA
"W11000029","Cardiff and Vale University LHB",2019-11-01,"Waiting for diagnostic or AHP test, intervention or result",53,NA
"W11000023","Betsi Cadwaladr University LHB",2019-12-01,"Waiting for diagnostic or AHP test, intervention or result",2851,144
"W11000024","Powys Teaching LHB",2019-12-01,"Waiting for diagnostic or AHP test, intervention or result",81,NA
"W11000025","Hywel Dda LHB",2019-12-01,"Waiting for diagnostic or AHP test, intervention or result",133,2
"W11000028","Aneurin Bevan LHB",2019-12-01,"Waiting for diagnostic or AHP test, intervention or result",2176,3
"W11000031","Swansea Bay University Health Board",2019-12-01,"Waiting for diagnostic or AHP test, intervention or result",949,NA
"W11000030","Cwm Taf Morgannwg University Health Board",2019-12-01,"Waiting for diagnostic or AHP test, intervention or result",1637,1
"W11000029","Cardiff and Vale University LHB",2019-12-01,"Waiting for diagnostic or AHP test, intervention or result",68,NA
"W11000023","Betsi Cadwaladr University LHB",2020-01-01,"Waiting for diagnostic or AHP test, intervention or result",2799,165
"W11000025","Hywel Dda LHB",2020-01-01,"Waiting for diagnostic or AHP test, intervention or result",129,1
"W11000024","Powys Teaching LHB",2020-01-01,"Waiting for diagnostic or AHP test, intervention or result",75,NA
"W11000028","Aneurin Bevan LHB",2020-01-01,"Waiting for diagnostic or AHP test, intervention or result",2385,3
"W11000031","Swansea Bay University Health Board",2020-01-01,"Waiting for diagnostic or AHP test, intervention or result",852,1
"W11000030","Cwm Taf Morgannwg University Health Board",2020-01-01,"Waiting for diagnostic or AHP test, intervention or result",1614,5
"W11000029","Cardiff and Vale University LHB",2020-01-01,"Waiting for diagnostic or AHP test, intervention or result",52,NA
"W11000023","Betsi Cadwaladr University LHB",2020-02-01,"Waiting for diagnostic or AHP test, intervention or result",2727,156
"W11000025","Hywel Dda LHB",2020-02-01,"Waiting for diagnostic or AHP test, intervention or result",149,2
"W11000024","Powys Teaching LHB",2020-02-01,"Waiting for diagnostic or AHP test, intervention or result",81,NA
"W11000028","Aneurin Bevan LHB",2020-02-01,"Waiting for diagnostic or AHP test, intervention or result",2407,7
"W11000030","Cwm Taf Morgannwg University Health Board",2020-02-01,"Waiting for diagnostic or AHP test, intervention or result",1825,13
"W11000031","Swansea Bay University Health Board",2020-02-01,"Waiting for diagnostic or AHP test, intervention or result",935,14
"W11000029","Cardiff and Vale University LHB",2020-02-01,"Waiting for diagnostic or AHP test, intervention or result",46,NA
"W11000023","Betsi Cadwaladr University LHB",2020-03-01,"Waiting for diagnostic or AHP test, intervention or result",2776,166
"W11000025","Hywel Dda LHB",2020-03-01,"Waiting for diagnostic or AHP test, intervention or result",148,NA
"W11000024","Powys Teaching LHB",2020-03-01,"Waiting for diagnostic or AHP test, intervention or result",70,NA
"W11000028","Aneurin Bevan LHB",2020-03-01,"Waiting for diagnostic or AHP test, intervention or result",1948,3
"W11000031","Swansea Bay University Health Board",2020-03-01,"Waiting for diagnostic or AHP test, intervention or result",1026,37
"W11000029","Cardiff and Vale University LHB",2020-03-01,"Waiting for diagnostic or AHP test, intervention or result",72,NA
"W11000030","Cwm Taf Morgannwg University Health Board",2020-03-01,"Waiting for diagnostic or AHP test, intervention or result",1949,22
"W11000023","Betsi Cadwaladr University LHB",2020-04-01,"Waiting for diagnostic or AHP test, intervention or result",3085,224
"W11000024","Powys Teaching LHB",2020-04-01,"Waiting for diagnostic or AHP test, intervention or result",92,NA
"W11000025","Hywel Dda LHB",2020-04-01,"Waiting for diagnostic or AHP test, intervention or result",139,NA
"W11000028","Aneurin Bevan LHB",2020-04-01,"Waiting for diagnostic or AHP test, intervention or result",1906,7
"W11000031","Swansea Bay University Health Board",2020-04-01,"Waiting for diagnostic or AHP test, intervention or result",1006,57
"W11000030","Cwm Taf Morgannwg University Health Board",2020-04-01,"Waiting for diagnostic or AHP test, intervention or result",1985,44
"W11000029","Cardiff and Vale University LHB",2020-04-01,"Waiting for diagnostic or AHP test, intervention or result",166,NA
"W11000023","Betsi Cadwaladr University LHB",2020-05-01,"Waiting for diagnostic or AHP test, intervention or result",4840,330
"W11000025","Hywel Dda LHB",2020-05-01,"Waiting for diagnostic or AHP test, intervention or result",145,NA
"W11000024","Powys Teaching LHB",2020-05-01,"Waiting for diagnostic or AHP test, intervention or result",209,NA
"W11000028","Aneurin Bevan LHB",2020-05-01,"Waiting for diagnostic or AHP test, intervention or result",2578,12
"W11000031","Swansea Bay University Health Board",2020-05-01,"Waiting for diagnostic or AHP test, intervention or result",1740,74
"W11000029","Cardiff and Vale University LHB",2020-05-01,"Waiting for diagnostic or AHP test, intervention or result",429,2
"W11000030","Cwm Taf Morgannwg University Health Board",2020-05-01,"Waiting for diagnostic or AHP test, intervention or result",2188,81
"W11000023","Betsi Cadwaladr University LHB",2020-06-01,"Waiting for diagnostic or AHP test, intervention or result",7951,455
"W11000025","Hywel Dda LHB",2020-06-01,"Waiting for diagnostic or AHP test, intervention or result",131,2
"W11000024","Powys Teaching LHB",2020-06-01,"Waiting for diagnostic or AHP test, intervention or result",569,NA
"W11000028","Aneurin Bevan LHB",2020-06-01,"Waiting for diagnostic or AHP test, intervention or result",4562,22
"W11000030","Cwm Taf Morgannwg University Health Board",2020-06-01,"Waiting for diagnostic or AHP test, intervention or result",3183,104
"W11000031","Swansea Bay University Health Board",2020-06-01,"Waiting for diagnostic or AHP test, intervention or result",3186,118
"W11000029","Cardiff and Vale University LHB",2020-06-01,"Waiting for diagnostic or AHP test, intervention or result",1815,2
"W11000023","Betsi Cadwaladr University LHB",2020-07-01,"Waiting for diagnostic or AHP test, intervention or result",11229,585
"W11000031","Swansea Bay University Health Board",2020-07-01,"Waiting for diagnostic or AHP test, intervention or result",4537,170
"W11000024","Powys Teaching LHB",2020-07-01,"Waiting for diagnostic or AHP test, intervention or result",1004,NA
"W11000028","Aneurin Bevan LHB",2020-07-01,"Waiting for diagnostic or AHP test, intervention or result",6728,62
"W11000025","Hywel Dda LHB",2020-07-01,"Waiting for diagnostic or AHP test, intervention or result",119,3
"W11000029","Cardiff and Vale University LHB",2020-07-01,"Waiting for diagnostic or AHP test, intervention or result",3539,7
"W11000030","Cwm Taf Morgannwg University Health Board",2020-07-01,"Waiting for diagnostic or AHP test, intervention or result",3699,157
"W11000028","Aneurin Bevan LHB",2020-08-01,"Waiting for diagnostic or AHP test, intervention or result",6134,190
"W11000023","Betsi Cadwaladr University LHB",2020-08-01,"Waiting for diagnostic or AHP test, intervention or result",12324,750
"W11000031","Swansea Bay University Health Board",2020-08-01,"Waiting for diagnostic or AHP test, intervention or result",4525,238
"W11000024","Powys Teaching LHB",2020-08-01,"Waiting for diagnostic or AHP test, intervention or result",859,1
"W11000025","Hywel Dda LHB",2020-08-01,"Waiting for diagnostic or AHP test, intervention or result",95,13
"W11000029","Cardiff and Vale University LHB",2020-08-01,"Waiting for diagnostic or AHP test, intervention or result",2613,12
"W11000030","Cwm Taf Morgannwg University Health Board",2020-08-01,"Waiting for diagnostic or AHP test, intervention or result",3713,317
"W11000023","Betsi Cadwaladr University LHB",2020-09-01,"Waiting for diagnostic or AHP test, intervention or result",11918,891
"W11000029","Cardiff and Vale University LHB",2020-09-01,"Waiting for diagnostic or AHP test, intervention or result",1747,18
"W11000030","Cwm Taf Morgannwg University Health Board",2020-09-01,"Waiting for diagnostic or AHP test, intervention or result",3533,488
"W11000031","Swansea Bay University Health Board",2020-09-01,"Waiting for diagnostic or AHP test, intervention or result",3693,336
"W11000024","Powys Teaching LHB",2020-09-01,"Waiting for diagnostic or AHP test, intervention or result",753,4
"W11000028","Aneurin Bevan LHB",2020-09-01,"Waiting for diagnostic or AHP test, intervention or result",5353,316
"W11000025","Hywel Dda LHB",2020-09-01,"Waiting for diagnostic or AHP test, intervention or result",83,14
"W11000023","Betsi Cadwaladr University LHB",2020-10-01,"Waiting for diagnostic or AHP test, intervention or result",10983,1087
"W11000028","Aneurin Bevan LHB",2020-10-01,"Waiting for diagnostic or AHP test, intervention or result",4689,431
"W11000029","Cardiff and Vale University LHB",2020-10-01,"Waiting for diagnostic or AHP test, intervention or result",1587,25
"W11000024","Powys Teaching LHB",2020-10-01,"Waiting for diagnostic or AHP test, intervention or result",602,9
"W11000031","Swansea Bay University Health Board",2020-10-01,"Waiting for diagnostic or AHP test, intervention or result",3313,399
"W11000025","Hywel Dda LHB",2020-10-01,"Waiting for diagnostic or AHP test, intervention or result",83,12
"W11000030","Cwm Taf Morgannwg University Health Board",2020-10-01,"Waiting for diagnostic or AHP test, intervention or result",3708,643
"W11000023","Betsi Cadwaladr University LHB",2020-11-01,"Waiting for diagnostic or AHP test, intervention or result",9138,1267
"W11000030","Cwm Taf Morgannwg University Health Board",2020-11-01,"Waiting for diagnostic or AHP test, intervention or result",3969,884
"W11000028","Aneurin Bevan LHB",2020-11-01,"Waiting for diagnostic or AHP test, intervention or result",4417,624
"W11000029","Cardiff and Vale University LHB",2020-11-01,"Waiting for diagnostic or AHP test, intervention or result",1233,32
"W11000024","Powys Teaching LHB",2020-11-01,"Waiting for diagnostic or AHP test, intervention or result",384,12
"W11000025","Hywel Dda LHB",2020-11-01,"Waiting for diagnostic or AHP test, intervention or result",100,17
"W11000031","Swansea Bay University Health Board",2020-11-01,"Waiting for diagnostic or AHP test, intervention or result",2940,500
"W11000023","Betsi Cadwaladr University LHB",2020-12-01,"Waiting for diagnostic or AHP test, intervention or result",8967,1492
"W11000031","Swansea Bay University Health Board",2020-12-01,"Waiting for diagnostic or AHP test, intervention or result",2796,530
"W11000028","Aneurin Bevan LHB",2020-12-01,"Waiting for diagnostic or AHP test, intervention or result",4513,750
"W11000029","Cardiff and Vale University LHB",2020-12-01,"Waiting for diagnostic or AHP test, intervention or result",1117,33
"W11000030","Cwm Taf Morgannwg University Health Board",2020-12-01,"Waiting for diagnostic or AHP test, intervention or result",4340,1047
"W11000024","Powys Teaching LHB",2020-12-01,"Waiting for diagnostic or AHP test, intervention or result",281,25
"W11000025","Hywel Dda LHB",2020-12-01,"Waiting for diagnostic or AHP test, intervention or result",99,27
"W11000023","Betsi Cadwaladr University LHB",2021-01-01,"Waiting for diagnostic or AHP test, intervention or result",7380,1709
"W11000030","Cwm Taf Morgannwg University Health Board",2021-01-01,"Waiting for diagnostic or AHP test, intervention or result",4794,1231
"W11000031","Swansea Bay University Health Board",2021-01-01,"Waiting for diagnostic or AHP test, intervention or result",2499,558
"W11000028","Aneurin Bevan LHB",2021-01-01,"Waiting for diagnostic or AHP test, intervention or result",4828,918
"W11000029","Cardiff and Vale University LHB",2021-01-01,"Waiting for diagnostic or AHP test, intervention or result",1408,47
"W11000024","Powys Teaching LHB",2021-01-01,"Waiting for diagnostic or AHP test, intervention or result",190,36
"W11000025","Hywel Dda LHB",2021-01-01,"Waiting for diagnostic or AHP test, intervention or result",110,30
"W11000023","Betsi Cadwaladr University LHB",2021-02-01,"Waiting for diagnostic or AHP test, intervention or result",7071,2042
"W11000031","Swansea Bay University Health Board",2021-02-01,"Waiting for diagnostic or AHP test, intervention or result",2460,632
"W11000030","Cwm Taf Morgannwg University Health Board",2021-02-01,"Waiting for diagnostic or AHP test, intervention or result",5301,1564
"W11000028","Aneurin Bevan LHB",2021-02-01,"Waiting for diagnostic or AHP test, intervention or result",4350,894
"W11000024","Powys Teaching LHB",2021-02-01,"Waiting for diagnostic or AHP test, intervention or result",144,38
"W11000029","Cardiff and Vale University LHB",2021-02-01,"Waiting for diagnostic or AHP test, intervention or result",1255,58
"W11000025","Hywel Dda LHB",2021-02-01,"Waiting for diagnostic or AHP test, intervention or result",123,43
"W11000023","Betsi Cadwaladr University LHB",2021-03-01,"Waiting for diagnostic or AHP test, intervention or result",6639,2323
"W11000028","Aneurin Bevan LHB",2021-03-01,"Waiting for diagnostic or AHP test, intervention or result",3651,929
"W11000030","Cwm Taf Morgannwg University Health Board",2021-03-01,"Waiting for diagnostic or AHP test, intervention or result",6002,1901
"W11000031","Swansea Bay University Health Board",2021-03-01,"Waiting for diagnostic or AHP test, intervention or result",2453,679
"W11000025","Hywel Dda LHB",2021-03-01,"Waiting for diagnostic or AHP test, intervention or result",141,56
"W11000024","Powys Teaching LHB",2021-03-01,"Waiting for diagnostic or AHP test, intervention or result",109,28
"W11000029","Cardiff and Vale University LHB",2021-03-01,"Waiting for diagnostic or AHP test, intervention or result",782,79
"W11000023","Betsi Cadwaladr University LHB",2021-04-01,"Waiting for diagnostic or AHP test, intervention or result",7313,2111
"W11000031","Swansea Bay University Health Board",2021-04-01,"Waiting for diagnostic or AHP test, intervention or result",2446,602
"W11000028","Aneurin Bevan LHB",2021-04-01,"Waiting for diagnostic or AHP test, intervention or result",3293,779
"W11000029","Cardiff and Vale University LHB",2021-04-01,"Waiting for diagnostic or AHP test, intervention or result",724,78
"W11000030","Cwm Taf Morgannwg University Health Board",2021-04-01,"Waiting for diagnostic or AHP test, intervention or result",6476,1892
"W11000024","Powys Teaching LHB",2021-04-01,"Waiting for diagnostic or AHP test, intervention or result",78,22
"W11000025","Hywel Dda LHB",2021-04-01,"Waiting for diagnostic or AHP test, intervention or result",169,55
"W11000023","Betsi Cadwaladr University LHB",2021-05-01,"Waiting for diagnostic or AHP test, intervention or result",5872,1795
"W11000031","Swansea Bay University Health Board",2021-05-01,"Waiting for diagnostic or AHP test, intervention or result",2511,602
"W11000028","Aneurin Bevan LHB",2021-05-01,"Waiting for diagnostic or AHP test, intervention or result",2968,625
"W11000030","Cwm Taf Morgannwg University Health Board",2021-05-01,"Waiting for diagnostic or AHP test, intervention or result",6594,1940
"W11000024","Powys Teaching LHB",2021-05-01,"Waiting for diagnostic or AHP test, intervention or result",81,17
"W11000025","Hywel Dda LHB",2021-05-01,"Waiting for diagnostic or AHP test, intervention or result",163,52
"W11000029","Cardiff and Vale University LHB",2021-05-01,"Waiting for diagnostic or AHP test, intervention or result",646,79
"W11000023","Betsi Cadwaladr University LHB",2021-06-01,"Waiting for diagnostic or AHP test, intervention or result",5411,1656
"W11000031","Swansea Bay University Health Board",2021-06-01,"Waiting for diagnostic or AHP test, intervention or result",2672,650
"W11000028","Aneurin Bevan LHB",2021-06-01,"Waiting for diagnostic or AHP test, intervention or result",2673,564
"W11000029","Cardiff and Vale University LHB",2021-06-01,"Waiting for diagnostic or AHP test, intervention or result",701,55
"W11000030","Cwm Taf Morgannwg University Health Board",2021-06-01,"Waiting for diagnostic or AHP test, intervention or result",6909,2034
"W11000024","Powys Teaching LHB",2021-06-01,"Waiting for diagnostic or AHP test, intervention or result",79,11
"W11000025","Hywel Dda LHB",2021-06-01,"Waiting for diagnostic or AHP test, intervention or result",178,51
"W11000023","Betsi Cadwaladr University LHB",2021-07-01,"Waiting for diagnostic or AHP test, intervention or result",5671,1572
"W11000031","Swansea Bay University Health Board",2021-07-01,"Waiting for diagnostic or AHP test, intervention or result",2972,792
"W11000028","Aneurin Bevan LHB",2021-07-01,"Waiting for diagnostic or AHP test, intervention or result",2672,516
"W11000030","Cwm Taf Morgannwg University Health Board",2021-07-01,"Waiting for diagnostic or AHP test, intervention or result",7458,2301
"W11000029","Cardiff and Vale University LHB",2021-07-01,"Waiting for diagnostic or AHP test, intervention or result",831,43
"W11000024","Powys Teaching LHB",2021-07-01,"Waiting for diagnostic or AHP test, intervention or result",106,12
"W11000025","Hywel Dda LHB",2021-07-01,"Waiting for diagnostic or AHP test, intervention or result",204,62
"W11000023","Betsi Cadwaladr University LHB",2021-08-01,"Waiting for diagnostic or AHP test, intervention or result",6062,1601
"W11000031","Swansea Bay University Health Board",2021-08-01,"Waiting for diagnostic or AHP test, intervention or result",3378,1129
"W11000025","Hywel Dda LHB",2021-08-01,"Waiting for diagnostic or AHP test, intervention or result",158,49
"W11000028","Aneurin Bevan LHB",2021-08-01,"Waiting for diagnostic or AHP test, intervention or result",2625,483
"W11000029","Cardiff and Vale University LHB",2021-08-01,"Waiting for diagnostic or AHP test, intervention or result",888,51
"W11000030","Cwm Taf Morgannwg University Health Board",2021-08-01,"Waiting for diagnostic or AHP test, intervention or result",7845,2631
"W11000024","Powys Teaching LHB",2021-08-01,"Waiting for diagnostic or AHP test, intervention or result",114,14
"W11000023","Betsi Cadwaladr University LHB",2021-09-01,"Waiting for diagnostic or AHP test, intervention or result",6816,1625
"W11000025","Hywel Dda LHB",2021-09-01,"Waiting for diagnostic or AHP test, intervention or result",170,61
"W11000028","Aneurin Bevan LHB",2021-09-01,"Waiting for diagnostic or AHP test, intervention or result",2703,585
"W11000030","Cwm Taf Morgannwg University Health Board",2021-09-01,"Waiting for diagnostic or AHP test, intervention or result",8355,2860
"W11000029","Cardiff and Vale University LHB",2021-09-01,"Waiting for diagnostic or AHP test, intervention or result",1093,59
"W11000031","Swansea Bay University Health Board",2021-09-01,"Waiting for diagnostic or AHP test, intervention or result",3658,1131
"W11000024","Powys Teaching LHB",2021-09-01,"Waiting for diagnostic or AHP test, intervention or result",133,19
"W11000023","Betsi Cadwaladr University LHB",2021-10-01,"Waiting for diagnostic or AHP test, intervention or result",7614,1695
"W11000031","Swansea Bay University Health Board",2021-10-01,"Waiting for diagnostic or AHP test, intervention or result",3890,1240
"W11000025","Hywel Dda LHB",2021-10-01,"Waiting for diagnostic or AHP test, intervention or result",198,77
"W11000028","Aneurin Bevan LHB",2021-10-01,"Waiting for diagnostic or AHP test, intervention or result",3020,771
"W11000030","Cwm Taf Morgannwg University Health Board",2021-10-01,"Waiting for diagnostic or AHP test, intervention or result",8758,3072
"W11000029","Cardiff and Vale University LHB",2021-10-01,"Waiting for diagnostic or AHP test, intervention or result",1372,68
"W11000024","Powys Teaching LHB",2021-10-01,"Waiting for diagnostic or AHP test, intervention or result",134,16
"W11000023","Betsi Cadwaladr University LHB",2021-11-01,"Waiting for diagnostic or AHP test, intervention or result",8228,1750
"W11000028","Aneurin Bevan LHB",2021-11-01,"Waiting for diagnostic or AHP test, intervention or result",3254,856
"W11000030","Cwm Taf Morgannwg University Health Board",2021-11-01,"Waiting for diagnostic or AHP test, intervention or result",8971,3134
"W11000031","Swansea Bay University Health Board",2021-11-01,"Waiting for diagnostic or AHP test, intervention or result",4173,1340
"W11000025","Hywel Dda LHB",2021-11-01,"Waiting for diagnostic or AHP test, intervention or result",210,72
"W11000029","Cardiff and Vale University LHB",2021-11-01,"Waiting for diagnostic or AHP test, intervention or result",1500,64
"W11000024","Powys Teaching LHB",2021-11-01,"Waiting for diagnostic or AHP test, intervention or result",121,5
"W11000023","Betsi Cadwaladr University LHB",2021-12-01,"Waiting for diagnostic or AHP test, intervention or result",9294,1880
