"Time Period","Financial Quarter","Location","Age Group","Measure","Value"
"Financial Year","2021/22","Moray","75-84 years","Rate per 1,000 People",48.9
"Financial Year","2021/22","Moray","75-84 years","Number of People",340
"Financial Year","2021/22","Moray","75-84 years","Number of Hours",122585
"Financial Year","2021/22","Moray","85+ years","Rate per 1,000 People",191.7
"Financial Year","2021/22","Moray","85+ years","Number of People",510
"Financial Year","2021/22","Moray","85+ years","Number of Hours",168150
"Financial Year","2021/22","Moray","Unknown","Rate per 1,000 People",0
"Financial Year","2021/22","Moray","Unknown","Number of People",0
"Financial Year","2021/22","Moray","Unknown","Number of Hours",0
"Financial Year","2021/22","North Ayrshire","All Ages","Rate per 1,000 People",33.2
"Financial Year","2021/22","North Ayrshire","All Ages","Number of People",4450
"Financial Year","2021/22","North Ayrshire","All Ages","Number of Hours",1660360
"Financial Year","2021/22","North Ayrshire","0-17 years","Rate per 1,000 People",0.4
"Financial Year","2021/22","North Ayrshire","0-17 years","Number of People",10
"Financial Year","2021/22","North Ayrshire","0-17 years","Number of Hours",1275
"Financial Year","2021/22","North Ayrshire","18-64 years","Rate per 1,000 People",10.3
"Financial Year","2021/22","North Ayrshire","18-64 years","Number of People",805
"Financial Year","2021/22","North Ayrshire","18-64 years","Number of Hours",952500
"Financial Year","2021/22","North Ayrshire","65-74 years","Rate per 1,000 People",41.9
"Financial Year","2021/22","North Ayrshire","65-74 years","Number of People",745
"Financial Year","2021/22","North Ayrshire","65-74 years","Number of Hours",205515
"Financial Year","2021/22","North Ayrshire","75-84 years","Rate per 1,000 People",149.6
"Financial Year","2021/22","North Ayrshire","75-84 years","Number of People",1545
"Financial Year","2021/22","North Ayrshire","75-84 years","Number of Hours",262540
"Financial Year","2021/22","North Ayrshire","85+ years","Rate per 1,000 People",396.9
"Financial Year","2021/22","North Ayrshire","85+ years","Number of People",1345
"Financial Year","2021/22","North Ayrshire","85+ years","Number of Hours",238530
"Financial Year","2021/22","North Ayrshire","Unknown","Rate per 1,000 People",0
"Financial Year","2021/22","North Ayrshire","Unknown","Number of People",0
"Financial Year","2021/22","North Ayrshire","Unknown","Number of Hours",0
"Financial Year","2021/22","North Lanarkshire","All Ages","Rate per 1,000 People",15.5
"Financial Year","2021/22","North Lanarkshire","All Ages","Number of People",5300
"Financial Year","2021/22","North Lanarkshire","All Ages","Number of Hours",1452230
"Financial Year","2021/22","North Lanarkshire","0-17 years","Rate per 1,000 People",0
"Financial Year","2021/22","North Lanarkshire","0-17 years","Number of People",0
"Financial Year","2021/22","North Lanarkshire","0-17 years","Number of Hours",5
"Financial Year","2021/22","North Lanarkshire","18-64 years","Rate per 1,000 People",2.8
"Financial Year","2021/22","North Lanarkshire","18-64 years","Number of People",590
"Financial Year","2021/22","North Lanarkshire","18-64 years","Number of Hours",160255
"Financial Year","2021/22","North Lanarkshire","65-74 years","Rate per 1,000 People",27.7
"Financial Year","2021/22","North Lanarkshire","65-74 years","Number of People",970
"Financial Year","2021/22","North Lanarkshire","65-74 years","Number of Hours",255345
"Financial Year","2021/22","North Lanarkshire","75-84 years","Rate per 1,000 People",101.8
"Financial Year","2021/22","North Lanarkshire","75-84 years","Number of People",1970
"Financial Year","2021/22","North Lanarkshire","75-84 years","Number of Hours",519430
"Financial Year","2021/22","North Lanarkshire","85+ years","Rate per 1,000 People",291.3
"Financial Year","2021/22","North Lanarkshire","85+ years","Number of People",1770
"Financial Year","2021/22","North Lanarkshire","85+ years","Number of Hours",517195
"Financial Year","2021/22","North Lanarkshire","Unknown","Rate per 1,000 People",0
"Financial Year","2021/22","North Lanarkshire","Unknown","Number of People",0
"Financial Year","2021/22","North Lanarkshire","Unknown","Number of Hours",0
"Financial Year","2021/22","Orkney Islands","All Ages","Rate per 1,000 People",10.4
"Financial Year","2021/22","Orkney Islands","All Ages","Number of People",230
"Financial Year","2021/22","Orkney Islands","All Ages","Number of Hours",69760
"Financial Year","2021/22","Orkney Islands","0-17 years","Rate per 1,000 People",0
"Financial Year","2021/22","Orkney Islands","0-17 years","Number of People",0
"Financial Year","2021/22","Orkney Islands","0-17 years","Number of Hours",0
"Financial Year","2021/22","Orkney Islands","18-64 years","Rate per 1,000 People",1.6
"Financial Year","2021/22","Orkney Islands","18-64 years","Number of People",20
"Financial Year","2021/22","Orkney Islands","18-64 years","Number of Hours",8465
"Financial Year","2021/22","Orkney Islands","65-74 years","Rate per 1,000 People",10.3
"Financial Year","2021/22","Orkney Islands","65-74 years","Number of People",30
"Financial Year","2021/22","Orkney Islands","65-74 years","Number of Hours",8585
"Financial Year","2021/22","Orkney Islands","75-84 years","Rate per 1,000 People",48.8
"Financial Year","2021/22","Orkney Islands","75-84 years","Number of People",90
"Financial Year","2021/22","Orkney Islands","75-84 years","Number of Hours",24580
"Financial Year","2021/22","Orkney Islands","85+ years","Rate per 1,000 People",140.4
"Financial Year","2021/22","Orkney Islands","85+ years","Number of People",90
"Financial Year","2021/22","Orkney Islands","85+ years","Number of Hours",28130
"Financial Year","2021/22","Orkney Islands","Unknown","Rate per 1,000 People",0
"Financial Year","2021/22","Orkney Islands","Unknown","Number of People",0
"Financial Year","2021/22","Orkney Islands","Unknown","Number of Hours",0
"Financial Year","2021/22","Perth and Kinross","All Ages","Rate per 1,000 People",20.5
"Financial Year","2021/22","Perth and Kinross","All Ages","Number of People",3085
"Financial Year","2021/22","Perth and Kinross","All Ages","Number of Hours",1754025
"Financial Year","2021/22","Perth and Kinross","0-17 years","Rate per 1,000 People",0.6
"Financial Year","2021/22","Perth and Kinross","0-17 years","Number of People",15
"Financial Year","2021/22","Perth and Kinross","0-17 years","Number of Hours",4410
"Financial Year","2021/22","Perth and Kinross","18-64 years","Rate per 1,000 People",7.7
"Financial Year","2021/22","Perth and Kinross","18-64 years","Number of People",665
"Financial Year","2021/22","Perth and Kinross","18-64 years","Number of Hours",1026670
"Financial Year","2021/22","Perth and Kinross","65-74 years","Rate per 1,000 People",18.4
"Financial Year","2021/22","Perth and Kinross","65-74 years","Number of People",365
"Financial Year","2021/22","Perth and Kinross","65-74 years","Number of Hours",162780
"Financial Year","2021/22","Perth and Kinross","75-84 years","Rate per 1,000 People",68.4
"Financial Year","2021/22","Perth and Kinross","75-84 years","Number of People",825
"Financial Year","2021/22","Perth and Kinross","75-84 years","Number of Hours",219810
"Financial Year","2021/22","Perth and Kinross","85+ years","Rate per 1,000 People",244.3
"Financial Year","2021/22","Perth and Kinross","85+ years","Number of People",1215
"Financial Year","2021/22","Perth and Kinross","85+ years","Number of Hours",340355
"Financial Year","2021/22","Perth and Kinross","Unknown","Rate per 1,000 People",0
"Financial Year","2021/22","Perth and Kinross","Unknown","Number of People",0
"Financial Year","2021/22","Perth and Kinross","Unknown","Number of Hours",0
"Financial Year","2021/22","Renfrewshire","All Ages","Rate per 1,000 People",16.4
"Financial Year","2021/22","Renfrewshire","All Ages","Number of People",2995
"Financial Year","2021/22","Renfrewshire","All Ages","Number of Hours",1281370
"Financial Year","2021/22","Renfrewshire","0-17 years","Rate per 1,000 People",0.4
"Financial Year","2021/22","Renfrewshire","0-17 years","Number of People",15
"Financial Year","2021/22","Renfrewshire","0-17 years","Number of Hours",9345
"Financial Year","2021/22","Renfrewshire","18-64 years","Rate per 1,000 People",3.2
"Financial Year","2021/22","Renfrewshire","18-64 years","Number of People",360
"Financial Year","2021/22","Renfrewshire","18-64 years","Number of Hours",206575
"Financial Year","2021/22","Renfrewshire","65-74 years","Rate per 1,000 People",25.3
"Financial Year","2021/22","Renfrewshire","65-74 years","Number of People",500
"Financial Year","2021/22","Renfrewshire","65-74 years","Number of Hours",209440
"Financial Year","2021/22","Renfrewshire","75-84 years","Rate per 1,000 People",93.9
"Financial Year","2021/22","Renfrewshire","75-84 years","Number of People",1080
"Financial Year","2021/22","Renfrewshire","75-84 years","Number of Hours",468270
"Financial Year","2021/22","Renfrewshire","85+ years","Rate per 1,000 People",247
"Financial Year","2021/22","Renfrewshire","85+ years","Number of People",1040
"Financial Year","2021/22","Renfrewshire","85+ years","Number of Hours",387740
"Financial Year","2021/22","Renfrewshire","Unknown","Rate per 1,000 People",0
"Financial Year","2021/22","Renfrewshire","Unknown","Number of People",0
"Financial Year","2021/22","Renfrewshire","Unknown","Number of Hours",0
"Financial Year","2021/22","Scottish Borders","All Ages","Rate per 1,000 People",15.8
"Financial Year","2021/22","Scottish Borders","All Ages","Number of People",1855
"Financial Year","2021/22","Scottish Borders","All Ages","Number of Hours",552395
"Financial Year","2021/22","Scottish Borders","0-17 years","Rate per 1,000 People",0
"Financial Year","2021/22","Scottish Borders","0-17 years","Number of People",0
"Financial Year","2021/22","Scottish Borders","0-17 years","Number of Hours",115
"Financial Year","2021/22","Scottish Borders","18-64 years","Rate per 1,000 People",2.7
"Financial Year","2021/22","Scottish Borders","18-64 years","Number of People",175
"Financial Year","2021/22","Scottish Borders","18-64 years","Number of Hours",84490
"Financial Year","2021/22","Scottish Borders","65-74 years","Rate per 1,000 People",14.1
"Financial Year","2021/22","Scottish Borders","65-74 years","Number of People",235
"Financial Year","2021/22","Scottish Borders","65-74 years","Number of Hours",71945
"Financial Year","2021/22","Scottish Borders","75-84 years","Rate per 1,000 People",55.9
"Financial Year","2021/22","Scottish Borders","75-84 years","Number of People",560
"Financial Year","2021/22","Scottish Borders","75-84 years","Number of Hours",158400
"Financial Year","2021/22","Scottish Borders","85+ years","Rate per 1,000 People",240.2
"Financial Year","2021/22","Scottish Borders","85+ years","Number of People",885
"Financial Year","2021/22","Scottish Borders","85+ years","Number of Hours",237445
"Financial Year","2021/22","Scottish Borders","Unknown","Rate per 1,000 People",0
"Financial Year","2021/22","Scottish Borders","Unknown","Number of People",0
"Financial Year","2021/22","Scottish Borders","Unknown","Number of Hours",0
"Financial Year","2021/22","Shetland Islands","All Ages","Rate per 1,000 People",25.3
"Financial Year","2021/22","Shetland Islands","All Ages","Number of People",580
"Financial Year","2021/22","Shetland Islands","All Ages","Number of Hours",213055
"Financial Year","2021/22","Shetland Islands","0-17 years","Rate per 1,000 People",0
"Financial Year","2021/22","Shetland Islands","0-17 years","Number of People",0
"Financial Year","2021/22","Shetland Islands","0-17 years","Number of Hours",0
"Financial Year","2021/22","Shetland Islands","18-64 years","Rate per 1,000 People",9.1
"Financial Year","2021/22","Shetland Islands","18-64 years","Number of People",120
"Financial Year","2021/22","Shetland Islands","18-64 years","Number of Hours",71250
"Financial Year","2021/22","Shetland Islands","65-74 years","Rate per 1,000 People",27.6
"Financial Year","2021/22","Shetland Islands","65-74 years","Number of People",75
"Financial Year","2021/22","Shetland Islands","65-74 years","Number of Hours",22195
"Financial Year","2021/22","Shetland Islands","75-84 years","Rate per 1,000 People",121.3
"Financial Year","2021/22","Shetland Islands","75-84 years","Number of People",205
"Financial Year","2021/22","Shetland Islands","75-84 years","Number of Hours",57910
"Financial Year","2021/22","Shetland Islands","85+ years","Rate per 1,000 People",324.9
"Financial Year","2021/22","Shetland Islands","85+ years","Number of People",180
"Financial Year","2021/22","Shetland Islands","85+ years","Number of Hours",61700
"Financial Year","2021/22","Shetland Islands","Unknown","Rate per 1,000 People",0
"Financial Year","2021/22","Shetland Islands","Unknown","Number of People",0
"Financial Year","2021/22","Shetland Islands","Unknown","Number of Hours",0
"Financial Year","2021/22","South Ayrshire","All Ages","Rate per 1,000 People",24.2
"Financial Year","2021/22","South Ayrshire","All Ages","Number of People",2705
"Financial Year","2021/22","South Ayrshire","All Ages","Number of Hours",1117300
"Financial Year","2021/22","South Ayrshire","0-17 years","Rate per 1,000 People",0.5
"Financial Year","2021/22","South Ayrshire","0-17 years","Number of People",10
"Financial Year","2021/22","South Ayrshire","0-17 years","Number of Hours",130
"Financial Year","2021/22","South Ayrshire","18-64 years","Rate per 1,000 People",7.6
"Financial Year","2021/22","South Ayrshire","18-64 years","Number of People",480
"Financial Year","2021/22","South Ayrshire","18-64 years","Number of Hours",390235
"Financial Year","2021/22","South Ayrshire","65-74 years","Rate per 1,000 People",24.9
"Financial Year","2021/22","South Ayrshire","65-74 years","Number of People",395
"Financial Year","2021/22","South Ayrshire","65-74 years","Number of Hours",165460
"Financial Year","2021/22","South Ayrshire","75-84 years","Rate per 1,000 People",89.3
"Financial Year","2021/22","South Ayrshire","75-84 years","Number of People",870
"Financial Year","2021/22","South Ayrshire","75-84 years","Number of Hours",269505
"Financial Year","2021/22","South Ayrshire","85+ years","Rate per 1,000 People",258.9
"Financial Year","2021/22","South Ayrshire","85+ years","Number of People",950
"Financial Year","2021/22","South Ayrshire","85+ years","Number of Hours",291970
"Financial Year","2021/22","South Ayrshire","Unknown","Rate per 1,000 People",0
"Financial Year","2021/22","South Ayrshire","Unknown","Number of People",0
"Financial Year","2021/22","South Ayrshire","Unknown","Number of Hours",0
"Financial Year","2021/22","South Lanarkshire","All Ages","Rate per 1,000 People",17.3
"Financial Year","2021/22","South Lanarkshire","All Ages","Number of People",5635
"Financial Year","2021/22","South Lanarkshire","All Ages","Number of Hours",2383630
"Financial Year","2021/22","South Lanarkshire","0-17 years","Rate per 1,000 People",0.3
"Financial Year","2021/22","South Lanarkshire","0-17 years","Number of People",20
"Financial Year","2021/22","South Lanarkshire","0-17 years","Number of Hours",18740
"Financial Year","2021/22","South Lanarkshire","18-64 years","Rate per 1,000 People",4.2
"Financial Year","2021/22","South Lanarkshire","18-64 years","Number of People",840
"Financial Year","2021/22","South Lanarkshire","18-64 years","Number of Hours",587200
"Financial Year","2021/22","South Lanarkshire","65-74 years","Rate per 1,000 People",23.6
"Financial Year","2021/22","South Lanarkshire","65-74 years","Number of People",875
"Financial Year","2021/22","South Lanarkshire","65-74 years","Number of Hours",371970
"Financial Year","2021/22","South Lanarkshire","75-84 years","Rate per 1,000 People",89.3
"Financial Year","2021/22","South Lanarkshire","75-84 years","Number of People",1855
"Financial Year","2021/22","South Lanarkshire","75-84 years","Number of Hours",665895
"Financial Year","2021/22","South Lanarkshire","85+ years","Rate per 1,000 People",274.3
"Financial Year","2021/22","South Lanarkshire","85+ years","Number of People",2045
"Financial Year","2021/22","South Lanarkshire","85+ years","Number of Hours",739825
"Financial Year","2021/22","South Lanarkshire","Unknown","Rate per 1,000 People",0
"Financial Year","2021/22","South Lanarkshire","Unknown","Number of People",0
"Financial Year","2021/22","South Lanarkshire","Unknown","Number of Hours",0
"Financial Year","2021/22","Stirling","All Ages","Rate per 1,000 People",18.4
"Financial Year","2021/22","Stirling","All Ages","Number of People",1685
"Financial Year","2021/22","Stirling","All Ages","Number of Hours",979700
"Financial Year","2021/22","Stirling","0-17 years","Rate per 1,000 People",0
"Financial Year","2021/22","Stirling","0-17 years","Number of People",0
"Financial Year","2021/22","Stirling","0-17 years","Number of Hours",40
"Financial Year","2021/22","Stirling","18-64 years","Rate per 1,000 People",7.6
"Financial Year","2021/22","Stirling","18-64 years","Number of People",425
"Financial Year","2021/22","Stirling","18-64 years","Number of Hours",600760
"Financial Year","2021/22","Stirling","65-74 years","Rate per 1,000 People",19.2
"Financial Year","2021/22","Stirling","65-74 years","Number of People",195
"Financial Year","2021/22","Stirling","65-74 years","Number of Hours",88230
"Financial Year","2021/22","Stirling","75-84 years","Rate per 1,000 People",81.7
"Financial Year","2021/22","Stirling","75-84 years","Number of People",515
"Financial Year","2021/22","Stirling","75-84 years","Number of Hours",150280
"Financial Year","2021/22","Stirling","85+ years","Rate per 1,000 People",242.5
"Financial Year","2021/22","Stirling","85+ years","Number of People",550
"Financial Year","2021/22","Stirling","85+ years","Number of Hours",140390
"Financial Year","2021/22","Stirling","Unknown","Rate per 1,000 People",0
"Financial Year","2021/22","Stirling","Unknown","Number of People",0
"Financial Year","2021/22","Stirling","Unknown","Number of Hours",0
"Financial Year","2021/22","West Dunbartonshire","All Ages","Rate per 1,000 People",25.4
"Financial Year","2021/22","West Dunbartonshire","All Ages","Number of People",2250
"Financial Year","2021/22","West Dunbartonshire","All Ages","Number of Hours",459510
"Financial Year","2021/22","West Dunbartonshire","0-17 years","Rate per 1,000 People",0
"Financial Year","2021/22","West Dunbartonshire","0-17 years","Number of People",0
"Financial Year","2021/22","West Dunbartonshire","0-17 years","Number of Hours",0
"Financial Year","2021/22","West Dunbartonshire","18-64 years","Rate per 1,000 People",5.5
"Financial Year","2021/22","West Dunbartonshire","18-64 years","Number of People",295
"Financial Year","2021/22","West Dunbartonshire","18-64 years","Number of Hours",63315
"Financial Year","2021/22","West Dunbartonshire","65-74 years","Rate per 1,000 People",43.4
"Financial Year","2021/22","West Dunbartonshire","65-74 years","Number of People",440
"Financial Year","2021/22","West Dunbartonshire","65-74 years","Number of Hours",79010
"Financial Year","2021/22","West Dunbartonshire","75-84 years","Rate per 1,000 People",144
"Financial Year","2021/22","West Dunbartonshire","75-84 years","Number of People",780
"Financial Year","2021/22","West Dunbartonshire","75-84 years","Number of Hours",150180
"Financial Year","2021/22","West Dunbartonshire","85+ years","Rate per 1,000 People",374.2
"Financial Year","2021/22","West Dunbartonshire","85+ years","Number of People",735
"Financial Year","2021/22","West Dunbartonshire","85+ years","Number of Hours",167005
"Financial Year","2021/22","West Dunbartonshire","Unknown","Rate per 1,000 People",0
"Financial Year","2021/22","West Dunbartonshire","Unknown","Number of People",0
"Financial Year","2021/22","West Dunbartonshire","Unknown","Number of Hours",0
"Financial Year","2021/22","West Lothian","All Ages","Rate per 1,000 People",14.9
"Financial Year","2021/22","West Lothian","All Ages","Number of People",2700
"Financial Year","2021/22","West Lothian","All Ages","Number of Hours",1353920
"Financial Year","2021/22","West Lothian","0-17 years","Rate per 1,000 People",0.1
"Financial Year","2021/22","West Lothian","0-17 years","Number of People",5
"Financial Year","2021/22","West Lothian","0-17 years","Number of Hours",1760
"Financial Year","2021/22","West Lothian","18-64 years","Rate per 1,000 People",6.7
"Financial Year","2021/22","West Lothian","18-64 years","Number of People",750
"Financial Year","2021/22","West Lothian","18-64 years","Number of Hours",652820
"Financial Year","2021/22","West Lothian","65-74 years","Rate per 1,000 People",25.9
"Financial Year","2021/22","West Lothian","65-74 years","Number of People",470
"Financial Year","2021/22","West Lothian","65-74 years","Number of Hours",208425
"Financial Year","2021/22","West Lothian","75-84 years","Rate per 1,000 People",76.5
"Financial Year","2021/22","West Lothian","75-84 years","Number of People",765
"Financial Year","2021/22","West Lothian","75-84 years","Number of Hours",247975
"Financial Year","2021/22","West Lothian","85+ years","Rate per 1,000 People",230.6
"Financial Year","2021/22","West Lothian","85+ years","Number of People",710
"Financial Year","2021/22","West Lothian","85+ years","Number of Hours",242940
"Financial Year","2021/22","West Lothian","Unknown","Rate per 1,000 People",0
"Financial Year","2021/22","West Lothian","Unknown","Number of People",0
"Financial Year","2021/22","West Lothian","Unknown","Number of Hours",0
"Financial Year","2022/23","Scotland (Estimated)","All Ages","Number of People",92400
"Financial Year","2022/23","Scotland (Estimated)","All Ages","Number of Hours",39338115
"Financial Year","2022/23","Scotland (Estimated)","All Ages","Rate per 1,000 People",17
"Financial Year","2022/23","Scotland (Estimated)","0-17 years","Number of People",150
"Financial Year","2022/23","Scotland (Estimated)","0-17 years","Number of Hours",77080
"Financial Year","2022/23","Scotland (Estimated)","0-17 years","Rate per 1,000 People",0.1
"Financial Year","2022/23","Scotland (Estimated)","18-64 years","Number of People",16975
"Financial Year","2022/23","Scotland (Estimated)","18-64 years","Number of Hours",16424470
"Financial Year","2022/23","Scotland (Estimated)","18-64 years","Rate per 1,000 People",5.1
"Financial Year","2022/23","Scotland (Estimated)","65-74 years","Number of People",13945
"Financial Year","2022/23","Scotland (Estimated)","65-74 years","Number of Hours",5215760
"Financial Year","2022/23","Scotland (Estimated)","65-74 years","Rate per 1,000 People",23.3
"Financial Year","2022/23","Scotland (Estimated)","75-84 years","Number of People",28830
"Financial Year","2022/23","Scotland (Estimated)","75-84 years","Number of Hours",8166135
"Financial Year","2022/23","Scotland (Estimated)","75-84 years","Rate per 1,000 People",78.7
"Financial Year","2022/23","Scotland (Estimated)","85+ years","Number of People",32465
"Financial Year","2022/23","Scotland (Estimated)","85+ years","Number of Hours",9450330
"Financial Year","2022/23","Scotland (Estimated)","85+ years","Rate per 1,000 People",247.1
"Financial Year","2022/23","Scotland (Estimated)","Unknown","Number of People",40
"Financial Year","2022/23","Scotland (Estimated)","Unknown","Number of Hours",4340
"Financial Year","2022/23","Scotland (Estimated)","Unknown","Rate per 1,000 People",0
"Financial Year","2022/23","Aberdeen City","All Ages","Number of People",2845
"Financial Year","2022/23","Aberdeen City","All Ages","Number of Hours",1412005
"Financial Year","2022/23","Aberdeen City","All Ages","Rate per 1,000 People",12.7
"Financial Year","2022/23","Aberdeen City","0-17 years","Number of People",5
"Financial Year","2022/23","Aberdeen City","0-17 years","Number of Hours",7560
"Financial Year","2022/23","Aberdeen City","0-17 years","Rate per 1,000 People",0.1
"Financial Year","2022/23","Aberdeen City","18-64 years","Number of People",450
"Financial Year","2022/23","Aberdeen City","18-64 years","Number of Hours",647740
"Financial Year","2022/23","Aberdeen City","18-64 years","Rate per 1,000 People",3.1
"Financial Year","2022/23","Aberdeen City","65-74 years","Number of People",405
"Financial Year","2022/23","Aberdeen City","65-74 years","Number of Hours",153065
"Financial Year","2022/23","Aberdeen City","65-74 years","Rate per 1,000 People",19.4
"Financial Year","2022/23","Aberdeen City","75-84 years","Number of People",830
"Financial Year","2022/23","Aberdeen City","75-84 years","Number of Hours",256530
"Financial Year","2022/23","Aberdeen City","75-84 years","Rate per 1,000 People",66.2
"Financial Year","2022/23","Aberdeen City","85+ years","Number of People",1155
"Financial Year","2022/23","Aberdeen City","85+ years","Number of Hours",347110
"Financial Year","2022/23","Aberdeen City","85+ years","Rate per 1,000 People",232.1
"Financial Year","2022/23","Aberdeen City","Unknown","Number of People",0
"Financial Year","2022/23","Aberdeen City","Unknown","Number of Hours",0
"Financial Year","2022/23","Aberdeen City","Unknown","Rate per 1,000 People",0
"Financial Year","2022/23","Aberdeenshire","All Ages","Number of People",4190
"Financial Year","2022/23","Aberdeenshire","All Ages","Number of Hours",2477960
"Financial Year","2022/23","Aberdeenshire","All Ages","Rate per 1,000 People",15.9
"Financial Year","2022/23","Aberdeenshire","0-17 years","Number of People",10
"Financial Year","2022/23","Aberdeenshire","0-17 years","Number of Hours",2965
"Financial Year","2022/23","Aberdeenshire","0-17 years","Rate per 1,000 People",0.2
"Financial Year","2022/23","Aberdeenshire","18-64 years","Number of People",875
"Financial Year","2022/23","Aberdeenshire","18-64 years","Number of Hours",1370555
"Financial Year","2022/23","Aberdeenshire","18-64 years","Rate per 1,000 People",5.7
"Financial Year","2022/23","Aberdeenshire","65-74 years","Number of People",535
"Financial Year","2022/23","Aberdeenshire","65-74 years","Number of Hours",240810
"Financial Year","2022/23","Aberdeenshire","65-74 years","Rate per 1,000 People",17.2
"Financial Year","2022/23","Aberdeenshire","75-84 years","Number of People",1265
"Financial Year","2022/23","Aberdeenshire","75-84 years","Number of Hours",388485
"Financial Year","2022/23","Aberdeenshire","75-84 years","Rate per 1,000 People",68.5
"Financial Year","2022/23","Aberdeenshire","85+ years","Number of People",1505
"Financial Year","2022/23","Aberdeenshire","85+ years","Number of Hours",475150
"Financial Year","2022/23","Aberdeenshire","85+ years","Rate per 1,000 People",235.7
"Financial Year","2022/23","Aberdeenshire","Unknown","Number of People",0
"Financial Year","2022/23","Aberdeenshire","Unknown","Number of Hours",0
"Financial Year","2022/23","Aberdeenshire","Unknown","Rate per 1,000 People",0
"Financial Year","2022/23","Angus","All Ages","Number of People",2300
"Financial Year","2022/23","Angus","All Ages","Number of Hours",669800
"Financial Year","2022/23","Angus","All Ages","Rate per 1,000 People",20.1
"Financial Year","2022/23","Angus","0-17 years","Number of People",5
"Financial Year","2022/23","Angus","0-17 years","Number of Hours",555
"Financial Year","2022/23","Angus","0-17 years","Rate per 1,000 People",0.2
"Financial Year","2022/23","Angus","18-64 years","Number of People",460
"Financial Year","2022/23","Angus","18-64 years","Number of Hours",196245
"Financial Year","2022/23","Angus","18-64 years","Rate per 1,000 People",7.1
"Financial Year","2022/23","Angus","65-74 years","Number of People",315
"Financial Year","2022/23","Angus","65-74 years","Number of Hours",95335
"Financial Year","2022/23","Angus","65-74 years","Rate per 1,000 People",20.7
"Financial Year","2022/23","Angus","75-84 years","Number of People",680
"Financial Year","2022/23","Angus","75-84 years","Number of Hours",168590
"Financial Year","2022/23","Angus","75-84 years","Rate per 1,000 People",68.2
"Financial Year","2022/23","Angus","85+ years","Number of People",845
"Financial Year","2022/23","Angus","85+ years","Number of Hours",209075
"Financial Year","2022/23","Angus","85+ years","Rate per 1,000 People",232.6
"Financial Year","2022/23","Angus","Unknown","Number of People",0
"Financial Year","2022/23","Angus","Unknown","Number of Hours",0
"Financial Year","2022/23","Angus","Unknown","Rate per 1,000 People",0
"Financial Year","2022/23","Argyll and Bute","All Ages","Number of People",2005
"Financial Year","2022/23","Argyll and Bute","All Ages","Number of Hours",1162890
"Financial Year","2022/23","Argyll and Bute","All Ages","Rate per 1,000 People",22.8
"Financial Year","2022/23","Argyll and Bute","0-17 years","Number of People",0
"Financial Year","2022/23","Argyll and Bute","0-17 years","Number of Hours",60
"Financial Year","2022/23","Argyll and Bute","0-17 years","Rate per 1,000 People",0
"Financial Year","2022/23","Argyll and Bute","18-64 years","Number of People",390
"Financial Year","2022/23","Argyll and Bute","18-64 years","Number of Hours",506045
"Financial Year","2022/23","Argyll and Bute","18-64 years","Rate per 1,000 People",7.8
"Financial Year","2022/23","Argyll and Bute","65-74 years","Number of People",255
"Financial Year","2022/23","Argyll and Bute","65-74 years","Number of Hours",163250
"Financial Year","2022/23","Argyll and Bute","65-74 years","Rate per 1,000 People",20
"Financial Year","2022/23","Argyll and Bute","75-84 years","Number of People",555
"Financial Year","2022/23","Argyll and Bute","75-84 years","Number of Hours",197135
"Financial Year","2022/23","Argyll and Bute","75-84 years","Rate per 1,000 People",69.4
"Financial Year","2022/23","Argyll and Bute","85+ years","Number of People",800
"Financial Year","2022/23","Argyll and Bute","85+ years","Number of Hours",296400
"Financial Year","2022/23","Argyll and Bute","85+ years","Rate per 1,000 People",286.6
"Financial Year","2022/23","Argyll and Bute","Unknown","Number of People",0
"Financial Year","2022/23","Argyll and Bute","Unknown","Number of Hours",0
"Financial Year","2022/23","Argyll and Bute","Unknown","Rate per 1,000 People",0
"Financial Year","2022/23","City of Edinburgh","All Ages","Number of People",7980
"Financial Year","2022/23","City of Edinburgh","All Ages","Number of Hours",4692245
"Financial Year","2022/23","City of Edinburgh","All Ages","Rate per 1,000 People",15.5
"Financial Year","2022/23","City of Edinburgh","0-17 years","Number of People",10
"Financial Year","2022/23","City of Edinburgh","0-17 years","Number of Hours",5790
"Financial Year","2022/23","City of Edinburgh","0-17 years","Rate per 1,000 People",0.1
"Financial Year","2022/23","City of Edinburgh","18-64 years","Number of People",2300
"Financial Year","2022/23","City of Edinburgh","18-64 years","Number of Hours",2425505
"Financial Year","2022/23","City of Edinburgh","18-64 years","Rate per 1,000 People",6.6
"Financial Year","2022/23","City of Edinburgh","65-74 years","Number of People",1120
"Financial Year","2022/23","City of Edinburgh","65-74 years","Number of Hours",639615
"Financial Year","2022/23","City of Edinburgh","65-74 years","Rate per 1,000 People",25.5
"Financial Year","2022/23","City of Edinburgh","75-84 years","Number of People",1960
"Financial Year","2022/23","City of Edinburgh","75-84 years","Number of Hours",700525
"Financial Year","2022/23","City of Edinburgh","75-84 years","Rate per 1,000 People",72.6
"Financial Year","2022/23","City of Edinburgh","85+ years","Number of People",2585
"Financial Year","2022/23","City of Edinburgh","85+ years","Number of Hours",920805
"Financial Year","2022/23","City of Edinburgh","85+ years","Rate per 1,000 People",223.3
"Financial Year","2022/23","City of Edinburgh","Unknown","Number of People",0
"Financial Year","2022/23","City of Edinburgh","Unknown","Number of Hours",0
