"Date","Month","Year","Trust","Dept","Type","Under 4 Hours","Between 4 - 12 Hours","Over 12 Hours","Total","Percent Under 4 Hours"
"2022-04-01","Apr 2022","2022/23","Southern","Craigavon Area","Type 1","2,886","2,392","1,298","6,576","43.9%"
"2022-04-01","Apr 2022","2022/23","Southern","Daisy Hill","Type 1","2,780","1,666","213","4,659","59.7%"
"2022-04-01","Apr 2022","2022/23","Southern","South Tyrone","Type 3","1,882","0","0","1,882","100.0%"
"2022-04-01","Apr 2022","2022/23","Western","Altnagelvin Area","Type 1","2,215","2,326","909","5,450","40.6%"
"2022-04-01","Apr 2022","2022/23","Western","South West Acute","Type 1","1,389","1,165","523","3,077","45.1%"
"2022-04-01","Apr 2022","2022/23","Western","Altnagelvin Area MIU","Type 3","1,614","29","0","1,643","98.2%"
"2022-03-01","Mar 2022","2021/22","Belfast","Mater","Type 1","1,273","1,104","288","2,665","47.8%"
"2022-03-01","Mar 2022","2021/22","Belfast","RVH","Type 1","1,896","3,379","1,797","7,072","26.8%"
"2022-03-01","Mar 2022","2021/22","Belfast","RVH-RAES","Type 2","753","105","0","858","87.8%"
"2022-03-01","Mar 2022","2021/22","Belfast","RBHSC","Type 1","2,675","1,458","7","4,140","64.6%"
"2022-03-01","Mar 2022","2021/22","Northern","Antrim Area","Type 1","3,718","3,165","998","7,881","47.2%"
"2022-03-01","Mar 2022","2021/22","Northern","Causeway","Type 1","2,126","1,409","421","3,956","53.7%"
"2022-03-01","Mar 2022","2021/22","Northern","Mid-Ulster","Type 3","571","0","0","571","100.0%"
"2022-03-01","Mar 2022","2021/22","South Eastern","Ards MIU","Type 3","972","0","0","972","100.0%"
"2022-03-01","Mar 2022","2021/22","South Eastern","Lagan Valley","Type 2","1,570","457","4","2,031","77.3%"
"2022-03-01","Mar 2022","2021/22","South Eastern","Ulster","Type 1","4,288","3,109","1,502","8,899","48.2%"
"2022-03-01","Mar 2022","2021/22","Southern","Craigavon Area","Type 1","2,949","2,486","1,387","6,822","43.2%"
"2022-03-01","Mar 2022","2021/22","Southern","Daisy Hill","Type 1","2,560","1,699","450","4,709","54.4%"
"2022-03-01","Mar 2022","2021/22","Southern","South Tyrone","Type 3","1,976","1","0","1,977","99.9%"
"2022-03-01","Mar 2022","2021/22","Western","Altnagelvin Area","Type 1","2,344","2,491","961","5,796","40.4%"
"2022-03-01","Mar 2022","2021/22","Western","South West Acute","Type 1","1,504","1,316","379","3,199","47.0%"
"2022-03-01","Mar 2022","2021/22","Western","Altnagelvin Area MIU","Type 3","1,558","32","1","1,591","97.9%"
"2022-02-01","Feb 2022","2021/22","Belfast","Mater","Type 1","1,052","903","277","2,232","47.1%"
"2022-02-01","Feb 2022","2021/22","Belfast","RVH","Type 1","1,725","3,135","1,517","6,377","27.1%"
"2022-02-01","Feb 2022","2021/22","Belfast","RVH-RAES","Type 2","592","110","0","702","84.3%"
"2022-02-01","Feb 2022","2021/22","Belfast","RBHSC","Type 1","2,098","1,046","35","3,179","66.0%"
"2022-02-01","Feb 2022","2021/22","Northern","Antrim Area","Type 1","3,035","2,413","993","6,441","47.1%"
"2022-02-01","Feb 2022","2021/22","Northern","Causeway","Type 1","1,778","1,136","353","3,267","54.4%"
"2022-02-01","Feb 2022","2021/22","Northern","Mid-Ulster","Type 3","426","0","0","426","100.0%"
"2022-02-01","Feb 2022","2021/22","South Eastern","Ards MIU","Type 3","808","0","0","808","100.0%"
"2022-02-01","Feb 2022","2021/22","South Eastern","Lagan Valley","Type 2","1,270","367","0","1,637","77.6%"
"2022-02-01","Feb 2022","2021/22","South Eastern","Ulster","Type 1","3,558","2,434","1,346","7,338","48.5%"
"2022-02-01","Feb 2022","2021/22","Southern","Craigavon Area","Type 1","2,092","2,338","1,317","5,747","36.4%"
"2022-02-01","Feb 2022","2021/22","Southern","Daisy Hill","Type 1","1,923","1,492","534","3,949","48.7%"
"2022-02-01","Feb 2022","2021/22","Southern","South Tyrone","Type 3","1,486","0","0","1,486","100.0%"
"2022-02-01","Feb 2022","2021/22","Western","Altnagelvin Area","Type 1","1,944","2,135","837","4,916","39.5%"
"2022-02-01","Feb 2022","2021/22","Western","South West Acute","Type 1","1,403","995","372","2,770","50.6%"
"2022-02-01","Feb 2022","2021/22","Western","Altnagelvin Area MIU","Type 3","1,206","8","0","1,214","99.3%"
"2022-01-01","Jan 2022","2021/22","Belfast","Mater","Type 1","1,017","920","267","2,204","46.1%"
"2022-01-01","Jan 2022","2021/22","Belfast","RVH","Type 1","1,998","2,966","1,626","6,590","30.3%"
"2022-01-01","Jan 2022","2021/22","Belfast","RVH-RAES","Type 2","666","73","0","739","90.1%"
"2022-01-01","Jan 2022","2021/22","Belfast","RBHSC","Type 1","2,464","965","14","3,443","71.6%"
"2022-01-01","Jan 2022","2021/22","Northern","Antrim Area","Type 1","3,512","2,794","908","7,214","48.7%"
"2022-01-01","Jan 2022","2021/22","Northern","Causeway","Type 1","2,093","1,211","226","3,530","59.3%"
"2022-01-01","Jan 2022","2021/22","Northern","Mid-Ulster","Type 3","441","0","0","441","100.0%"
"2022-01-01","Jan 2022","2021/22","South Eastern","Ards MIU","Type 3","787","0","0","787","100.0%"
"2022-01-01","Jan 2022","2021/22","South Eastern","Lagan Valley","Type 2","1,286","350","4","1,640","78.4%"
"2022-01-01","Jan 2022","2021/22","South Eastern","Ulster","Type 1","3,945","2,671","1,344","7,960","49.6%"
"2022-01-01","Jan 2022","2021/22","Southern","Craigavon Area","Type 1","2,292","2,449","1,287","6,028","38.0%"
"2022-01-01","Jan 2022","2021/22","Southern","Daisy Hill","Type 1","2,163","1,488","489","4,140","52.2%"
"2022-01-01","Jan 2022","2021/22","Southern","South Tyrone","Type 3","1,505","1","0","1,506","99.9%"
"2022-01-01","Jan 2022","2021/22","Western","Altnagelvin Area","Type 1","2,186","2,109","860","5,155","42.4%"
"2022-01-01","Jan 2022","2021/22","Western","South West Acute","Type 1","1,601","988","370","2,959","54.1%"
"2022-01-01","Jan 2022","2021/22","Western","Altnagelvin Area MIU","Type 3","1,190","11","0","1,201","99.1%"
"2021-12-01","Dec 2021","2021/22","Belfast","Mater","Type 1","935","717","297","1,949","48.0%"
"2021-12-01","Dec 2021","2021/22","Belfast","RVH","Type 1","2,031","2,981","1,390","6,402","31.7%"
"2021-12-01","Dec 2021","2021/22","Belfast","RVH-RAES","Type 2","590","71","0","661","89.3%"
"2021-12-01","Dec 2021","2021/22","Belfast","RBHSC","Type 1","2,447","1,340","19","3,806","64.3%"
"2021-12-01","Dec 2021","2021/22","Northern","Antrim Area","Type 1","3,514","2,748","959","7,221","48.7%"
"2021-12-01","Dec 2021","2021/22","Northern","Causeway","Type 1","2,158","1,209","208","3,575","60.4%"
"2021-12-01","Dec 2021","2021/22","Northern","Mid-Ulster","Type 3","352","0","0","352","100.0%"
"2021-12-01","Dec 2021","2021/22","South Eastern","Ards MIU","Type 3","768","0","0","768","100.0%"
"2021-12-01","Dec 2021","2021/22","South Eastern","Lagan Valley","Type 2","1,403","353","1","1,757","79.9%"
"2021-12-01","Dec 2021","2021/22","South Eastern","Ulster","Type 1","3,798","2,929","1,314","8,041","47.2%"
"2021-12-01","Dec 2021","2021/22","Southern","Craigavon Area","Type 1","2,512","2,423","1,224","6,159","40.8%"
"2021-12-01","Dec 2021","2021/22","Southern","Daisy Hill","Type 1","2,153","1,490","496","4,139","52.0%"
"2021-12-01","Dec 2021","2021/22","Southern","South Tyrone","Type 3","1,361","1","0","1,362","99.9%"
"2021-12-01","Dec 2021","2021/22","Western","Altnagelvin Area","Type 1","2,054","2,435","818","5,307","38.7%"
"2021-12-01","Dec 2021","2021/22","Western","South West Acute","Type 1","1,474","1,108","386","2,968","49.7%"
"2021-12-01","Dec 2021","2021/22","Western","Altnagelvin Area MIU","Type 3","1,140","27","1","1,168","97.6%"
"2021-11-01","Nov 2021","2021/22","Belfast","Mater","Type 1","1,027","713","293","2,033","50.5%"
"2021-11-01","Nov 2021","2021/22","Belfast","RVH","Type 1","2,057","2,959","1,404","6,420","32.0%"
"2021-11-01","Nov 2021","2021/22","Belfast","RVH-RAES","Type 2","631","57","0","688","91.7%"
"2021-11-01","Nov 2021","2021/22","Belfast","RBHSC","Type 1","2,537","1,744","30","4,311","58.8%"
"2021-11-01","Nov 2021","2021/22","Northern","Antrim Area","Type 1","3,844","2,300","878","7,022","54.7%"
"2021-11-01","Nov 2021","2021/22","Northern","Causeway","Type 1","2,091","1,027","300","3,418","61.2%"
"2021-11-01","Nov 2021","2021/22","Northern","Mid-Ulster","Type 3","457","0","0","457","100.0%"
"2021-11-01","Nov 2021","2021/22","South Eastern","Ards MIU","Type 3","944","0","0","944","100.0%"
"2021-11-01","Nov 2021","2021/22","South Eastern","Lagan Valley","Type 2","1,551","324","3","1,878","82.6%"
"2021-11-01","Nov 2021","2021/22","South Eastern","Ulster","Type 1","4,021","2,639","1,324","7,984","50.4%"
"2021-11-01","Nov 2021","2021/22","Southern","Craigavon Area","Type 1","2,728","2,443","935","6,106","44.7%"
"2021-11-01","Nov 2021","2021/22","Southern","Daisy Hill","Type 1","2,332","1,519","382","4,233","55.1%"
"2021-11-01","Nov 2021","2021/22","Southern","South Tyrone","Type 3","1,706","0","0","1,706","100.0%"
"2021-11-01","Nov 2021","2021/22","Western","Altnagelvin Area","Type 1","2,195","2,223","785","5,203","42.2%"
"2021-11-01","Nov 2021","2021/22","Western","South West Acute","Type 1","1,588","1,071","388","3,047","52.1%"
"2021-11-01","Nov 2021","2021/22","Western","Altnagelvin Area MIU","Type 3","1,235","16","0","1,251","98.7%"
"2021-10-01","Oct 2021","2021/22","Belfast","Mater","Type 1","1,033","742","310","2,085","49.5%"
"2021-10-01","Oct 2021","2021/22","Belfast","RVH","Type 1","1,962","3,436","1,698","7,096","27.6%"
"2021-10-01","Oct 2021","2021/22","Belfast","RVH-RAES","Type 2","689","76","0","765","90.1%"
"2021-10-01","Oct 2021","2021/22","Belfast","RBHSC","Type 1","2,776","1,635","22","4,433","62.6%"
"2021-10-01","Oct 2021","2021/22","Northern","Antrim Area","Type 1","4,303","2,580","909","7,792","55.2%"
"2021-10-01","Oct 2021","2021/22","Northern","Causeway","Type 1","2,461","978","341","3,780","65.1%"
"2021-10-01","Oct 2021","2021/22","Northern","Mid-Ulster","Type 3","478","0","0","478","100.0%"
"2021-10-01","Oct 2021","2021/22","South Eastern","Ards MIU","Type 3","868","0","0","868","100.0%"
"2021-10-01","Oct 2021","2021/22","South Eastern","Lagan Valley","Type 2","1,566","411","2","1,979","79.1%"
"2021-10-01","Oct 2021","2021/22","South Eastern","Ulster","Type 1","4,403","2,864","1,393","8,660","50.8%"
"2021-10-01","Oct 2021","2021/22","Southern","Craigavon Area","Type 1","2,773","2,934","1,185","6,892","40.2%"
"2021-10-01","Oct 2021","2021/22","Southern","Daisy Hill","Type 1","2,803","1,553","352","4,708","59.5%"
"2021-10-01","Oct 2021","2021/22","Southern","South Tyrone","Type 3","1,802","0","0","1,802","100.0%"
"2021-10-01","Oct 2021","2021/22","Western","Altnagelvin Area","Type 1","2,486","2,398","839","5,723","43.4%"
"2021-10-01","Oct 2021","2021/22","Western","South West Acute","Type 1","1,855","1,128","381","3,364","55.1%"
"2021-10-01","Oct 2021","2021/22","Western","Altnagelvin Area MIU","Type 3","1,420","20","0","1,440","98.6%"
"2021-09-01","Sep 2021","2021/22","Belfast","Mater","Type 1","1,049","647","237","1,933","54.3%"
"2021-09-01","Sep 2021","2021/22","Belfast","RVH","Type 1","1,883","3,615","1,537","7,035","26.8%"
"2021-09-01","Sep 2021","2021/22","Belfast","RVH-RAES","Type 2","675","72","0","747","90.4%"
"2021-09-01","Sep 2021","2021/22","Belfast","RBHSC","Type 1","2,914","1,560","6","4,480","65.0%"
"2021-09-01","Sep 2021","2021/22","Northern","Antrim Area","Type 1","4,218","2,538","843","7,599","55.5%"
"2021-09-01","Sep 2021","2021/22","Northern","Causeway","Type 1","2,263","904","427","3,594","63.0%"
"2021-09-01","Sep 2021","2021/22","Northern","Mid-Ulster","Type 3","519","0","0","519","100.0%"
"2021-09-01","Sep 2021","2021/22","South Eastern","Ards MIU","Type 3","1,011","0","0","1,011","100.0%"
"2021-09-01","Sep 2021","2021/22","South Eastern","Lagan Valley","Type 2","1,795","593","3","2,391","75.1%"
"2021-09-01","Sep 2021","2021/22","South Eastern","Ulster","Type 1","4,325","3,102","1,268","8,695","49.7%"
"2021-09-01","Sep 2021","2021/22","Southern","Craigavon Area","Type 1","2,573","2,848","1,142","6,563","39.2%"
"2021-09-01","Sep 2021","2021/22","Southern","Daisy Hill","Type 1","2,741","1,554","421","4,716","58.1%"
"2021-09-01","Sep 2021","2021/22","Southern","South Tyrone","Type 3","1,875","0","0","1,875","100.0%"
"2021-09-01","Sep 2021","2021/22","Western","Altnagelvin Area","Type 1","2,244","2,638","852","5,734","39.1%"
"2021-09-01","Sep 2021","2021/22","Western","South West Acute","Type 1","1,561","1,143","425","3,129","49.9%"
"2021-09-01","Sep 2021","2021/22","Western","Altnagelvin Area MIU","Type 3","1,365","10","0","1,375","99.3%"
"2021-08-01","Aug 2021","2021/22","Belfast","Mater","Type 1","1,110","750","167","2,027","54.8%"
"2021-08-01","Aug 2021","2021/22","Belfast","RVH","Type 1","2,059","3,976","1,265","7,300","28.2%"
"2021-08-01","Aug 2021","2021/22","Belfast","RVH-RAES","Type 2","651","61","0","712","91.4%"
"2021-08-01","Aug 2021","2021/22","Belfast","RBHSC","Type 1","2,471","1,066","1","3,538","69.8%"
"2021-08-01","Aug 2021","2021/22","Northern","Antrim Area","Type 1","4,108","2,764","886","7,758","53.0%"
"2021-08-01","Aug 2021","2021/22","Northern","Causeway","Type 1","2,152","1,547","405","4,104","52.4%"
"2021-08-01","Aug 2021","2021/22","Northern","Mid-Ulster","Type 3","492","0","0","492","100.0%"
"2021-08-01","Aug 2021","2021/22","South Eastern","Ards MIU","Type 3","920","0","0","920","100.0%"
"2021-08-01","Aug 2021","2021/22","South Eastern","Lagan Valley","Type 2","1,743","454","1","2,198","79.3%"
"2021-08-01","Aug 2021","2021/22","South Eastern","Ulster","Type 1","4,271","3,195","1,322","8,788","48.6%"
"2021-08-01","Aug 2021","2021/22","Southern","Craigavon Area","Type 1","2,537","2,833","1,111","6,481","39.1%"
"2021-08-01","Aug 2021","2021/22","Southern","Daisy Hill","Type 1","2,489","1,784","339","4,612","54.0%"
"2021-08-01","Aug 2021","2021/22","Southern","South Tyrone","Type 3","2,046","0","0","2,046","100.0%"
"2021-08-01","Aug 2021","2021/22","Western","Altnagelvin Area","Type 1","2,312","2,714","771","5,797","39.9%"
"2021-08-01","Aug 2021","2021/22","Western","South West Acute","Type 1","1,708","1,202","396","3,306","51.7%"
"2021-08-01","Aug 2021","2021/22","Western","Altnagelvin Area MIU","Type 3","1,327","23","2","1,352","98.2%"
"2021-07-01","Jul 2021","2021/22","Belfast","Mater","Type 1","1,451","886","243","2,580","56.2%"
"2021-07-01","Jul 2021","2021/22","Belfast","RVH","Type 1","2,115","4,035","1,335","7,485","28.3%"
"2021-07-01","Jul 2021","2021/22","Belfast","RVH-RAES","Type 2","660","69","0","729","90.5%"
"2021-07-01","Jul 2021","2021/22","Belfast","RBHSC","Type 1","3,077","805","0","3,882","79.3%"
"2021-07-01","Jul 2021","2021/22","Northern","Antrim Area","Type 1","4,647","2,702","817","8,166","56.9%"
"2021-07-01","Jul 2021","2021/22","Northern","Causeway","Type 1","2,461","1,485","394","4,340","56.7%"
"2021-07-01","Jul 2021","2021/22","Northern","Mid-Ulster","Type 3","521","1","0","522","99.8%"
"2021-07-01","Jul 2021","2021/22","South Eastern","Ards MIU","Type 3","941","0","0","941","100.0%"
"2021-07-01","Jul 2021","2021/22","South Eastern","Lagan Valley","Type 2","1,807","417","5","2,229","81.1%"
"2021-07-01","Jul 2021","2021/22","South Eastern","Ulster","Type 1","4,748","3,303","1,081","9,132","52.0%"
"2021-07-01","Jul 2021","2021/22","Southern","Craigavon Area","Type 1","2,957","2,943","1,192","7,092","41.7%"
"2021-07-01","Jul 2021","2021/22","Southern","Daisy Hill","Type 1","2,956","1,799","319","5,074","58.3%"
"2021-07-01","Jul 2021","2021/22","Southern","South Tyrone","Type 3","2,206","1","0","2,207","100.0%"
"2021-07-01","Jul 2021","2021/22","Western","Altnagelvin Area","Type 1","2,387","2,752","817","5,956","40.1%"
"2021-07-01","Jul 2021","2021/22","Western","South West Acute","Type 1","1,977","1,319","310","3,606","54.8%"
"2021-07-01","Jul 2021","2021/22","Western","Altnagelvin Area MIU","Type 3","1,513","14","0","1,527","99.1%"
"2021-06-01","Jun 2021","2021/22","Belfast","Mater","Type 1","1,387","840","199","2,426","57.2%"
"2021-06-01","Jun 2021","2021/22","Belfast","RVH","Type 1","2,128","3,675","1,134","6,937","30.7%"
"2021-06-01","Jun 2021","2021/22","Belfast","RVH-RAES","Type 2","693","115","0","808","85.8%"
"2021-06-01","Jun 2021","2021/22","Belfast","RBHSC","Type 1","3,197","927","0","4,124","77.5%"
"2021-06-01","Jun 2021","2021/22","Northern","Antrim Area","Type 1","5,075","2,598","671","8,344","60.8%"
"2021-06-01","Jun 2021","2021/22","Northern","Causeway","Type 1","2,724","1,197","280","4,201","64.8%"
"2021-06-01","Jun 2021","2021/22","Northern","Mid-Ulster","Type 3","637","1","0","638","99.8%"
"2021-06-01","Jun 2021","2021/22","South Eastern","Ards MIU","Type 3","940","1","0","941","99.9%"
"2021-06-01","Jun 2021","2021/22","South Eastern","Lagan Valley","Type 2","1,862","489","4","2,355","79.1%"
"2021-06-01","Jun 2021","2021/22","South Eastern","Ulster","Type 1","5,674","2,961","1,166","9,801","57.9%"
"2021-06-01","Jun 2021","2021/22","Southern","Craigavon Area","Type 1","3,167","3,249","939","7,355","43.1%"
"2021-06-01","Jun 2021","2021/22","Southern","Daisy Hill","Type 1","3,087","1,685","233","5,005","61.7%"
"2021-06-01","Jun 2021","2021/22","Southern","South Tyrone","Type 3","2,479","1","0","2,480","100.0%"
"2021-06-01","Jun 2021","2021/22","Western","Altnagelvin Area","Type 1","2,598","2,873","617","6,088","42.7%"
"2021-06-01","Jun 2021","2021/22","Western","South West Acute","Type 1","2,157","1,193","245","3,595","60.0%"
"2021-06-01","Jun 2021","2021/22","Western","Altnagelvin Area MIU","Type 3","1,578","58","0","1,636","96.5%"
"2021-05-01","May 2021","2021/22","Belfast","Mater","Type 1","1,098","748","170","2,016","54.5%"
"2021-05-01","May 2021","2021/22","Belfast","RVH","Type 1","2,412","3,832","948","7,192","33.5%"
"2021-05-01","May 2021","2021/22","Belfast","RVH-RAES","Type 2","659","105","0","764","86.3%"
"2021-05-01","May 2021","2021/22","Belfast","RBHSC","Type 1","3,109","491","0","3,600","86.4%"
"2021-05-01","May 2021","2021/22","Northern","Antrim Area","Type 1","4,705","2,610","735","8,050","58.4%"
"2021-05-01","May 2021","2021/22","Northern","Causeway","Type 1","2,725","1,173","259","4,157","65.6%"
"2021-05-01","May 2021","2021/22","Northern","Mid-Ulster","Type 3","503","0","0","503","100.0%"
"2021-05-01","May 2021","2021/22","South Eastern","Ards MIU","Type 3","760","0","0","760","100.0%"
"2021-05-01","May 2021","2021/22","South Eastern","Lagan Valley","Type 2","1,771","401","1","2,173","81.5%"
"2021-05-01","May 2021","2021/22","South Eastern","Ulster","Type 1","5,772","2,790","1,020","9,582","60.2%"
"2021-05-01","May 2021","2021/22","Southern","Craigavon Area","Type 1","2,986","3,314","817","7,117","42.0%"
"2021-05-01","May 2021","2021/22","Southern","Daisy Hill","Type 1","2,951","1,822","214","4,987","59.2%"
"2021-05-01","May 2021","2021/22","Southern","South Tyrone","Type 3","2,432","0","0","2,432","100.0%"
"2021-05-01","May 2021","2021/22","Western","Altnagelvin Area","Type 1","2,480","2,868","543","5,891","42.1%"
"2021-05-01","May 2021","2021/22","Western","South West Acute","Type 1","2,029","1,391","206","3,626","56.0%"
"2021-05-01","May 2021","2021/22","Western","Altnagelvin Area MIU","Type 3","1,276","21","0","1,297","98.4%"
"2021-04-01","Apr 2021","2021/22","Belfast","Mater","Type 1","890","633","55","1,578","56.4%"
"2021-04-01","Apr 2021","2021/22","Belfast","RVH","Type 1","2,164","3,568","822","6,554","33.0%"
"2021-04-01","Apr 2021","2021/22","Belfast","RVH-RAES","Type 2","623","71","0","694","89.8%"
"2021-04-01","Apr 2021","2021/22","Belfast","RBHSC","Type 1","2,769","481","0","3,250","85.2%"
"2021-04-01","Apr 2021","2021/22","Northern","Antrim Area","Type 1","4,755","2,236","563","7,554","62.9%"
"2021-04-01","Apr 2021","2021/22","Northern","Causeway","Type 1","2,370","1,004","138","3,512","67.5%"
"2021-04-01","Apr 2021","2021/22","Northern","Mid-Ulster","Type 3","461","0","0","461","100.0%"
"2021-04-01","Apr 2021","2021/22","South Eastern","Ards MIU","Type 3","740","0","0","740","100.0%"
"2021-04-01","Apr 2021","2021/22","South Eastern","Lagan Valley","Type 2","1,648","416","0","2,064","79.8%"
"2021-04-01","Apr 2021","2021/22","South Eastern","Ulster","Type 1","5,364","2,734","730","8,828","60.8%"
"2021-04-01","Apr 2021","2021/22","Southern","Craigavon Area","Type 1","3,059","2,986","612","6,657","46.0%"
"2021-04-01","Apr 2021","2021/22","Southern","Daisy Hill","Type 1","2,972","1,428","180","4,580","64.9%"
"2021-04-01","Apr 2021","2021/22","Southern","South Tyrone","Type 3","2,032","0","0","2,032","100.0%"
"2021-04-01","Apr 2021","2021/22","Western","Altnagelvin Area","Type 1","2,672","2,405","551","5,628","47.5%"
"2021-04-01","Apr 2021","2021/22","Western","South West Acute","Type 1","2,073","888","164","3,125","66.3%"
"2021-04-01","Apr 2021","2021/22","Western","Altnagelvin Area MIU","Type 3","1,145","6","0","1,151","99.5%"
"2021-03-01","Mar 2021","2020/21","Belfast","Mater","Type 1","773","547","35","1,355","57.0%"
"2021-03-01","Mar 2021","2020/21","Belfast","RVH","Type 1","1,894","3,782","761","6,437","29.4%"
"2021-03-01","Mar 2021","2020/21","Belfast","RVH-RAES","Type 2","496","101","0","597","83.1%"
"2021-03-01","Mar 2021","2020/21","Belfast","RBHSC","Type 1","2,267","403","0","2,670","84.9%"
"2021-03-01","Mar 2021","2020/21","Northern","Antrim Area","Type 1","4,237","2,010","583","6,830","62.0%"
"2021-03-01","Mar 2021","2020/21","Northern","Causeway","Type 1","2,134","914","189","3,237","65.9%"
"2021-03-01","Mar 2021","2020/21","Northern","Mid-Ulster","Type 3","429","0","0","429","100.0%"
"2021-03-01","Mar 2021","2020/21","South Eastern","Ards MIU","Type 3","748","0","0","748","100.0%"
"2021-03-01","Mar 2021","2020/21","South Eastern","Lagan Valley","Type 2","1,421","413","1","1,835","77.4%"
"2021-03-01","Mar 2021","2020/21","South Eastern","Ulster","Type 1","4,702","2,592","747","8,041","58.5%"
"2021-03-01","Mar 2021","2020/21","Southern","Craigavon Area","Type 1","2,977","2,798","465","6,240","47.7%"
"2021-03-01","Mar 2021","2020/21","Southern","Daisy Hill","Type 1","2,414","1,261","163","3,838","62.9%"
"2021-03-01","Mar 2021","2020/21","Southern","South Tyrone","Type 3","1,759","0","0","1,759","100.0%"
"2021-03-01","Mar 2021","2020/21","Western","Altnagelvin Area","Type 1","2,669","1,909","356","4,934","54.1%"
"2021-03-01","Mar 2021","2020/21","Western","South West Acute","Type 1","1,812","800","187","2,799","64.7%"
"2021-03-01","Mar 2021","2020/21","Western","Altnagelvin Area MIU","Type 3","948","7","0","955","99.3%"
"2021-02-01","Feb 2021","2020/21","Belfast","Mater","Type 1","514","436","22","972","52.9%"
"2021-02-01","Feb 2021","2020/21","Belfast","RVH","Type 1","1,760","3,263","461","5,484","32.1%"
"2021-02-01","Feb 2021","2020/21","Belfast","RVH-RAES","Type 2","432","69","0","501","86.2%"
"2021-02-01","Feb 2021","2020/21","Belfast","RBHSC","Type 1","1,749","280","1","2,030","86.2%"
"2021-02-01","Feb 2021","2020/21","Northern","Antrim Area","Type 1","3,235","1,515","497","5,247","61.7%"
"2021-02-01","Feb 2021","2020/21","Northern","Causeway","Type 1","1,787","713","134","2,634","67.8%"
"2021-02-01","Feb 2021","2020/21","Northern","Mid-Ulster","Type 3","359","1","0","360","99.7%"
"2021-02-01","Feb 2021","2020/21","South Eastern","Ards MIU","Type 3","545","0","0","545","100.0%"
"2021-02-01","Feb 2021","2020/21","South Eastern","Lagan Valley","Type 2","1,039","297","1","1,337","77.7%"
"2021-02-01","Feb 2021","2020/21","South Eastern","Ulster","Type 1","3,862","2,256","365","6,483","59.6%"
"2021-02-01","Feb 2021","2020/21","Southern","Craigavon Area","Type 1","2,234","1,921","567","4,722","47.3%"
"2021-02-01","Feb 2021","2020/21","Southern","Daisy Hill","Type 1","1,990","909","109","3,008","66.2%"
"2021-02-01","Feb 2021","2020/21","Southern","South Tyrone","Type 3","1,253","1","0","1,254","99.9%"
"2021-02-01","Feb 2021","2020/21","Western","Altnagelvin Area","Type 1","2,002","1,462","415","3,879","51.6%"
"2021-02-01","Feb 2021","2020/21","Western","South West Acute","Type 1","1,406","640","202","2,248","62.5%"
"2021-02-01","Feb 2021","2020/21","Western","Altnagelvin Area MIU","Type 3","702","9","0","711","98.7%"
"2021-01-01","Jan 2021","2020/21","Belfast","Mater","Type 1","582","482","173","1,237","47.0%"
"2021-01-01","Jan 2021","2020/21","Belfast","RVH","Type 1","1,800","2,924","594","5,318","33.8%"
"2021-01-01","Jan 2021","2020/21","Belfast","RVH-RAES","Type 2","501","48","0","549","91.3%"
"2021-01-01","Jan 2021","2020/21","Belfast","RBHSC","Type 1","1,704","258","1","1,963","86.8%"
"2021-01-01","Jan 2021","2020/21","Northern","Antrim Area","Type 1","3,120","1,164","730","5,014","62.2%"
"2021-01-01","Jan 2021","2020/21","Northern","Causeway","Type 1","1,593","604","320","2,517","63.3%"
"2021-01-01","Jan 2021","2020/21","Northern","Mid-Ulster","Type 3","282","0","0","282","100.0%"
"2021-01-01","Jan 2021","2020/21","South Eastern","Ards MIU","Type 3","529","0","0","529","100.0%"
"2021-01-01","Jan 2021","2020/21","South Eastern","Lagan Valley","Type 2","1,008","305","0","1,313","76.8%"
"2021-01-01","Jan 2021","2020/21","South Eastern","Ulster","Type 1","3,785","1,989","545","6,319","59.9%"
"2021-01-01","Jan 2021","2020/21","Southern","Craigavon Area","Type 1","2,128","1,559","814","4,501","47.3%"
"2021-01-01","Jan 2021","2020/21","Southern","Daisy Hill","Type 1","1,789","809","199","2,797","64.0%"
"2021-01-01","Jan 2021","2020/21","Southern","South Tyrone","Type 3","1,158","1","0","1,159","99.9%"
"2021-01-01","Jan 2021","2020/21","Western","Altnagelvin Area","Type 1","2,021","1,295","516","3,832","52.7%"
"2021-01-01","Jan 2021","2020/21","Western","South West Acute","Type 1","1,300","644","205","2,149","60.5%"
"2021-01-01","Jan 2021","2020/21","Western","Altnagelvin Area MIU","Type 3","697","8","0","705","98.9%"
"2020-12-01","Dec 2020","2020/21","Belfast","Mater","Type 1","514","354","201","1,069","48.1%"
"2020-12-01","Dec 2020","2020/21","Belfast","RVH","Type 1","1,849","3,000","922","5,771","32.0%"
"2020-12-01","Dec 2020","2020/21","Belfast","RVH-RAES","Type 2","520","91","0","611","85.1%"
"2020-12-01","Dec 2020","2020/21","Belfast","RBHSC","Type 1","1,955","296","0","2,251","86.9%"
"2020-12-01","Dec 2020","2020/21","Northern","Antrim Area","Type 1","3,302","1,280","862","5,444","60.7%"
"2020-12-01","Dec 2020","2020/21","Northern","Causeway","Type 1","1,665","743","340","2,748","60.6%"
"2020-12-01","Dec 2020","2020/21","Northern","Mid-Ulster","Type 3","395","0","0","395","100.0%"
"2020-12-01","Dec 2020","2020/21","South Eastern","Ards MIU","Type 3","654","0","0","654","100.0%"
